Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Fixed Assets,"1,884,930,704","1,874,593,502","1,730,369,583","1,570,412,585","1,530,271,617","1,257,180,351","1,032,835,239","1,043,431,744","1,056,427,512","812,389,308","595,649,450","538,758,709","515,880,685"
Investments,"1,143,271,734","1,279,384,332","1,226,340,224","968,421,409","773,952,424","659,495,002","563,634,496","515,547,832","380,004,152","222,497,204","179,322,652","170,199,602","181,740,088"
Cash in Hand and Bank,"160,261,980","395,616,672","94,907,701","70,322,608","443,897,567","59,934,581","19,588,873","59,144,225","23,323,280","275,419,871","249,272,798","78,010,106","50,991,915"
Stores and Spares,"83,974,351","82,920,357","74,917,689","71,500,760","71,681,859","66,812,457","52,546,097","52,363,686","50,088,449","61,063,477","57,982,709","55,283,110","49,179,693"
Stock in Trade,"384,560,366","1,070,394,211","1,295,298,830","2,003,773,663","677,017,828","2,051,511,321","822,353,667","614,368,882","552,016,475","1,541,972,660","368,208,249","479,118,267","482,667,509"
Trade Debts,"183,347,585","128,065,098","190,421,040","81,979,302","3,612,017","26,489,901","2,558,098","3,130,583","119,475,733","5,352,840","121,109,078","88,552,218","66,154,191"
Current Assets,"1,526,364,443","2,467,791,051","2,852,010,869","2,612,328,096","1,592,115,220","2,676,338,100","1,272,149,528","976,400,361","988,234,985","2,121,221,038","979,588,459","818,849,436","807,893,726"
Quick Assets,"1,057,829,726","1,314,476,483","1,481,794,350","537,053,673","843,415,533","558,014,322","397,249,764","309,667,793","386,130,061","518,184,901","553,397,501","284,448,059","276,046,524"
Total Assets,"4,563,154,975","5,636,897,579","5,773,658,944","5,153,633,846","3,898,000,124","4,594,874,317","2,870,456,249","2,530,615,821","2,426,060,688","3,157,703,849","1,755,709,600","1,528,975,786","1,463,152,336"
Interest Bearing Long Term Liability,"126,928,993","154,623,652","224,485,367","126,953,996","179,135,078","119,464,030","58,858,310",0,0,0,0,0,"19,643,545"
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,"1,509,733,480","1,610,713,241","2,018,139,158","2,166,280,094","73,106,323","547,102,037","110,966,719","299,997,250","307,000,000","191,734,972",0,"219,829,569","82,700,007"
* Non Interest Bearing Short Term Liability,"390,734,231","1,039,623,030","997,997,231","879,945,690","1,264,145,122","1,976,888,883","1,012,346,844","685,451,259","684,173,583","1,818,459,549","824,798,921","463,397,126","622,065,993"
Trades Payables,"360,289,683","966,416,874","941,014,620","840,177,784","1,258,944,851","1,968,278,190","1,006,078,899","677,332,245","674,434,228","1,801,788,939","824,798,921","463,397,126","622,065,993"
Total Current Liabilities,"1,916,239,959","2,660,440,695","3,023,429,613","3,046,225,784","1,337,251,445","2,523,990,920","1,123,313,563","985,448,509","991,173,583","2,036,013,552","850,866,662","700,499,518","711,747,670"
Total Liabilities,"2,438,691,063","3,316,767,152","3,736,158,151","3,558,316,618","1,993,667,530","3,049,429,050","1,566,374,329","1,370,037,100","1,476,622,429","2,457,091,933","1,237,697,006","1,081,815,729","1,100,773,174"
Paid Up Capital,"250,069,550","250,069,550","250,069,550","250,069,550","250,069,550","250,069,550","250,069,550","238,161,480","216,510,440","216,510,440","216,510,440","216,510,440","216,510,440"
Reserves,"1,873,259,513","2,069,583,604","1,782,914,576","1,345,247,678","1,654,263,044","1,295,375,717","1,054,012,370","922,417,241","732,927,819","484,101,476","301,502,154","230,649,617","145,868,722"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,"1,134,849","477,273","4,516,667",0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"2,124,463,912","2,320,130,427","2,037,500,793","1,595,317,228","1,904,332,594","1,545,445,267","1,304,081,920","1,160,578,721","949,438,259","700,611,916","518,012,594","447,160,057","362,379,162"
Paid Up Value,10,10,10,10,10,10,10,10,10,0,10,10,10
Number of Shares,"25,006,955","25,006,955","25,006,955","25,006,955","25,006,955","25,006,955","25,006,955","23,816,148","21,651,044","21,651,044","21,651,044","21,651,044","21,651,044"
