Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"5,751,429,749","4,619,071,612","6,291,201,817","4,435,671,135","6,484,885,643","2,938,402,472","4,555,257,069","4,166,932,990","4,100,626,649","3,855,074,526","3,989,927,964","2,409,498,357","1,503,675,490"
COGS,"5,482,886,163","4,336,087,350","5,742,988,354","4,532,717,380","5,844,854,320","2,615,166,109","4,250,179,642","3,803,146,327","3,787,506,928","3,442,701,348","3,746,036,221","2,218,840,761","1,359,157,085"
Gross Profit,"268,543,586","282,984,262","548,213,463","-97,046,245","640,031,323","323,236,363","305,077,427","363,786,663","313,119,721","412,373,178","243,891,743","190,657,596","144,518,405"
Administrative Expenses,"158,665,059","170,534,980","137,572,941","119,754,596","124,395,701","101,443,359","82,729,929","74,032,826","70,217,151","55,844,967","49,008,628","51,316,298","33,957,285"
Selling & Distributive Expenses,"16,986,153","27,586,890","210,140,350","35,305,862","10,320,784","11,701,715","76,667,344","67,156,015","16,649,169","9,093,537","4,205,686","6,070,946","29,111,777"
Financial Charges,"301,324,109","310,379,413","156,098,669","140,806,772","38,094,806","104,655,755","84,028,342","89,103,664","52,174,865","99,118,414","51,948,812","48,790,645","21,109,986"
Other Income,"62,931,651","785,453,877","620,363,084","225,683,113","180,554,073","260,138,134","176,359,003","167,414,176","212,555,991","83,846,913","32,658,985","9,460,096","17,599,871"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"6,298,805","38,707,689","40,377,531","11,376,828","39,180,459","69,034,605","21,131,411","16,652,486","17,468,897","21,862,452","14,070,666","4,135,340","1,690,309"
EBITDA,"253,802,979","931,258,734","868,337,038","47,427,710","719,440,441","466,581,564","359,783,589","433,491,374","469,439,955","451,066,950","242,572,081","199,143,263","160,271,678"
EBIT,"149,525,220","831,608,580","780,485,725","-37,800,418","646,688,452","401,194,818","300,907,746","373,359,512","421,340,495","409,419,135","209,265,748","164,932,707","128,841,602"
EBT,"-151,798,889","521,229,167","624,387,056","-178,607,190","608,593,646","296,539,063","216,879,404","284,255,848","369,165,630","310,300,721","157,316,936","116,142,062","107,731,616"
Tax,"19,518,247","140,784,058","182,015,612","5,439,159","125,930,331","-13,227,046","58,708,034","51,238,887","64,370,465","75,964,972","49,411,987","30,466,503","30,000,000"
PAT,"-171,317,136","380,445,109","442,371,444","-184,046,349","482,663,315","309,766,109","158,171,370","233,016,961","304,795,165","234,335,749","107,904,949","85,675,559","77,731,616"
EPS,-6.85,15.21,17.69,-7.36,19.3,12.39,6.33,9.78,14.08,10.82,4.98,3.97,3.59
