Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Cash in Hand and Bank,"67,000,659","25,816,921","55,860,220","91,589,475","148,389,275","93,391,827","122,877,035","95,850,777","172,466,408","250,848,245","61,337,661","59,740,384"
Current Assets,"96,634,330","80,809,704","207,015,750","203,309,339","256,852,629","239,200,280","224,868,075","150,538,357","354,579,815","466,860,372","456,806,567","433,940,994"
Musharika & Morabaha finances-Assets,"45,240,081","62,841,707","52,562,016","51,232,508","500,000","500,000","8,746,672","20,773,335","140,355,677","157,620,015","327,686,408","330,658,906"
Investments,"295,224,298","258,262,848","242,332,836","334,150,916","267,209,735","273,881,478","185,283,856","154,635,726","81,859,327","42,218,300","104,047,999","82,548,301"
Fixed Assets,"103,237,878","122,738,772","249,593,269","310,930,722","396,203,157","392,090,538","464,269,014","505,677,477","290,301,131","150,775,157","96,218,466","107,289,854"
Total Assets,"532,542,570","491,937,812","696,439,298","857,182,288","880,372,885","867,458,323","828,748,122","794,233,312","715,929,605","659,927,929","640,295,587","613,947,256"
Total Current Liabilities,"42,978,594","43,421,729","97,926,623","117,173,378","99,625,286","90,401,302","86,002,722","41,431,368","44,688,157","35,265,349","41,163,897","38,470,443"
Total Non Current Liabilities,"7,058,520","11,093,024","10,310,476","19,220,856","137,720,835","146,327,044","164,854,627","201,341,888","166,553,393","130,000,614","123,966,840","125,156,079"
Musharika & Morabaha finances-Liability,"1,567,704","4,255,152",0,0,0,0,0,0,0,0,0,0
Total Liabilities,"50,037,114","54,514,753","108,237,099","136,394,234","237,346,121","236,728,346","250,857,349","242,773,256","211,241,550","165,265,963","165,130,737","163,626,522"
Paid Up Capital,"319,277,710","290,252,470","263,865,890","263,865,890","263,865,890","263,865,890","263,865,890","263,865,890","263,865,890","263,865,890","263,865,890","263,865,890"
Reserves,"140,512,702","171,603,053","253,522,786","289,780,113","283,636,990","315,269,132","244,688,179","229,709,745","240,936,946","230,796,076","210,812,346","186,430,543"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"482,505,454","437,423,060","588,202,199","720,788,053","643,026,764","630,729,977","577,890,773","551,460,056","504,688,055","494,661,966","475,164,850","450,320,734"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"31,927,771","29,025,247","26,386,589","26,386,589","26,386,589","26,386,589","26,386,589","26,386,589","26,386,589","26,386,589","26,386,589","26,386,589"
Surplus On Revaluation of Assets,"22,715,042","-24,432,463","70,813,523","167,142,050","95,523,884","51,594,955","69,336,704","57,884,421","-114,781",0,"486,614","24,301"
