Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Operating Income,"29,531,744","31,612,593","233,403,790","209,408,428","168,964,096","218,508,595","248,692,472","166,886,643","137,168,618","139,079,861","98,886,489","69,663,317"
Other Income,"8,763,897","2,851,830",0,"67,336,120","6,173,830","178,747,376","32,545,911","27,943,155","29,642,244","9,228,446","24,004,688","40,011,646"
Operating Expenses,"41,000,359","44,000,752","233,028,869","230,976,358","141,946,000","48,622,097","40,531,446","45,321,619","24,529,836","19,923,843","21,082,918","17,925,537"
Financial Charges,"653,426","2,473,157","2,650,594","117,695","135,972","106,568","30,732","37,822","23,150","7,141","3,819","2,732"
Other Expenses,0,0,0,"7,763,629","5,164,013","200,627,095","179,286,112","113,420,809","95,611,634","51,224,352","53,097,555","32,442,003"
Change in Value of Investment,"557,519","-3,346,838","-2,622,368","-5,357,154","6,442,391","1,840,510","7,051,189","5,496,429","2,871,454","-3,710,940","2,061,507","-22,211,605"
EBT,"-2,800,625","-15,356,324","-4,898,041","32,529,712","34,334,331","149,740,720","68,441,282","41,545,977","49,517,696","73,442,031","50,768,392","37,093,086"
Tax,0,"382,329","2,334,038",0,0,0,0,0,0,"482,065",0,0
PAT,"-2,800,625","-15,738,653","-7,232,079","32,529,712","34,334,331","149,740,720","68,441,282","41,545,977","49,517,696","72,959,966","50,768,392","37,093,086"
EPS,-0.09,-1.71,-0.27,1.23,1.3,5.67,2.59,1.57,1.88,2.77,1.92,1.41
