Year,2019,2018,2017
Sales,"31,217,479,000","27,554,687,000","23,248,578,000"
COGS,"28,324,756,000","25,609,797,000","21,919,785,000"
Gross Profit,"2,892,723,000","1,944,890,000","1,328,793,000"
Administrative Expenses,"276,932,000","224,245,000","193,915,000"
Selling & Distributive Expenses,"401,764,000","437,311,000","279,821,000"
Financial Charges,"1,097,949,000","574,682,000","342,601,000"
Other Income,"627,829,000","926,387,000","661,782,000"
Change In Value of Investment,0,0,0
Other Expenses,"97,601,000","161,393,000","89,300,000"
EBITDA,"3,539,082,000","2,784,612,000","2,171,489,000"
EBIT,"2,744,255,000","2,048,328,000","1,427,539,000"
EBT,"1,646,306,000","1,473,646,000","1,084,938,000"
Tax,"480,013,000","288,350,000","277,952,000"
PAT,"1,166,293,000","1,185,296,000","806,986,000"
EPS,41.61,42.29,28.79
