Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Fixed Assets,"42,463,061","45,526,323","49,016,388","52,882,175","55,216,055","35,961,902","38,254,831","40,876,547","40,876,547","43,698,818","50,434,279","54,423,839"
Investments,0,0,0,0,0,0,0,0,0,0,0,0
Cash in Hand and Bank,"5,193,020","2,891,719","3,012,603","2,055,272","1,304,111,000","4,049,564","10,046,889","4,802,316","4,802,316","25,030,970","26,192,090","8,602,876"
Stores and Spares,0,"699,752","811,920","1,260,918","1,264,142","660,064","665,012","813,630","813,630","604,560","412,870","427,344"
Stock in Trade,"57,941,885","52,233,052","74,343,659","41,993,070","46,327,688","103,107,226","87,521,496","104,542,071","104,542,071","102,995,652","85,041,708","68,426,215"
Trade Debts,"60,853,796","109,263,959","146,200,650","149,999,483","163,420,980","194,391,374","197,782,798","191,349,591","191,349,591","196,240,945","177,021,704","146,180,119"
Current Assets,"190,329,904","244,912,776","295,001,803","275,161,113","274,298,391","375,545,419","359,909,816","363,639,431","363,639,431","386,221,349","363,799,972","286,846,835"
Quick Assets,"132,388,019","191,979,972","219,846,224","231,907,125","226,706,561","271,778,129","271,723,308","258,283,730","258,283,730","282,621,137","278,345,394","217,993,276"
Total Assets,"233,391,665","291,037,799","344,616,891","328,578,988","356,739,958","586,716,665","423,174,651","428,282,212","428,282,212","453,686,401","432,217,843","341,789,160"
Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0,"7,200,000","10,800,000"
Non Interest Bearing Long Term Liability,"39,500,000","39,500,000",0,0,0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,0,0,0,0,0,"5,690,207","93,853,774","91,745,645","91,745,645","101,008,699","88,993,703","78,629,987"
* Non Interest Bearing Short Term Liability,"184,720,893","193,183,024","262,774,547","239,393,200","213,839,632","211,891,473","269,514,768","273,064,123","273,064,123","279,497,486","224,621,409","164,789,352"
Trades Payables,"184,720,893","193,183,024","262,774,547","127,288,200","98,734,632","94,893,274","96,636,918","102,962,592","104,959,123","198,892,486","145,636,409","127,864,352"
Total Current Liabilities,"185,330,639","193,792,770","263,384,293","239,393,200","214,400,340","219,385,942","364,612,312","365,676,077","365,676,077","380,506,185","313,615,112","243,419,339"
Total Liabilities,"224,830,639","233,292,770","263,384,293","239,393,200","214,400,340","219,385,942","364,612,312","365,676,077","365,676,077","380,506,185","320,815,112","254,219,339"
Paid Up Capital,"500,288,800","500,288,800","500,000,000","500,000,000","500,000,000","500,000,000","200,000,000","200,000,000","200,000,000","200,000,000","200,000,000","200,000,000"
Reserves,"-491,727,774","-442,543,771","-418,767,402","-410,814,212","-357,660,382","-132,669,277","-141,437,661","-137,393,865","-137,393,865","-126,819,784","-88,597,269","-112,430,179"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"8,561,026","57,745,029","81,232,598","89,185,788","142,339,618","367,330,723","58,562,339","62,606,135","62,606,135","73,180,216","111,402,731","87,569,821"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"50,028,880","50,028,880","50,000,000","50,000,000","50,000,000","50,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000"
