Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Sales,"70,293,928","148,992,292","192,227,417","116,198,431","56,070,841","126,664,437","124,376,978","173,261,883","173,261,883","367,740,103","381,699,290","230,005,410"
COGS,"88,193,462","168,259,371","189,865,952","128,310,763","90,366,550","148,293,570","116,850,937","172,699,655","172,699,655","386,857,967","352,886,548","226,355,024"
Gross Profit,"-17,899,534","-19,267,079","2,361,465","-12,112,332","-34,295,709","-21,629,133","7,526,041","562,228","562,228","-19,117,864","28,812,742","3,650,386"
Administrative Expenses,"15,706,163","33,790,412","20,072,330","10,428,596","8,273,401","7,701,568","4,008,230","3,111,810","3,111,810","10,090,043","12,990,336","11,080,053"
Selling & Distributive Expenses,"4,364,313","11,999,638","13,086,047","16,341,959","12,868,005","11,765,044","9,867,057","10,943,762","10,943,762","16,560,080","15,196,934","18,012,562"
Financial Charges,"56,362","182,227","319,389","172,284","289,625","3,568,438","8,779,122","11,892,631","11,892,631","14,840,378","14,643,513","17,862,896"
Other Income,"6,124,958","44,273,371","25,085,385","22,417,797","29,001,465","56,064,082","11,084,572","15,678,203","15,678,203","22,494,000","23,130,000","1,140,586"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,0,"5,344",0,"8,085,973","50,168,976","786,593",0,0,0,0,"596,109",0
EBITDA,"-28,781,789","-17,364,381","-1,843,800","-20,403,452","-73,507,922","16,539,023","7,368,142","5,115,761","5,115,761","-19,989,899","27,237,503","-19,782,164"
EBIT,"-31,845,052","-20,789,102","-5,711,527","-24,551,063","-76,604,626","14,181,744","4,735,326","2,184,859","2,184,859","-23,273,987","23,159,363","-24,301,643"
EBT,"-31,901,414","-20,971,329","-6,030,916","-24,723,347","-76,894,251","10,613,306","-4,043,796","-9,707,772","-9,707,772","-38,114,365","8,515,850","-42,164,539"
Tax,"1,046,795","2,776,160","1,922,274","28,430,483","-1,903,146","1,844,922",0,"866,309","866,309","3,200,000","-15,317,060",0
PAT,"-32,948,209","-23,747,489","-7,953,190","-53,153,830","-74,991,105","8,768,384","-4,043,796","-10,574,081","-10,574,081","-41,314,365","23,832,910","-42,164,539"
EPS,-0.66,-0.47,-0.16,-1.06,-1.5,0.2,-0.2,-0.53,-0.53,-2.07,1.19,-2.11
