Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Fixed Assets,"3,577,722,000","2,359,404,000","1,843,643,000","2,022,061,000","1,952,288,000","1,837,233,000","1,797,791,000","1,719,259,000","1,860,764,000","2,047,881,000","2,357,159,000","2,429,297,000","2,447,092,000"
Investments,"875,097,000","602,830,000","597,563,000","597,589,000","597,614,000","597,642,000","597,769,000","300,632,000","300,750,000","300,515,000","300,500,000","300,500,000","300,500,000"
Cash in Hand and Bank,"64,157,000","70,317,000","47,399,000","32,501,000","64,329,000","79,140,000","103,971,000","52,408,000","105,271,000","67,984,000","59,303,000","45,038,000","94,729,000"
Stores and Spares,"762,932,000","692,348,000","539,823,000","460,898,000","460,556,000","447,100,000","494,777,000","426,851,000","366,610,000","319,019,000","332,675,000","302,048,000","289,551,000"
Stock in Trade,"2,394,758,000","2,840,779,000","2,734,755,000","2,196,552,000","2,020,492,000","2,510,177,000","2,315,281,000","2,644,785,000","2,145,909,000","1,932,038,000","1,392,237,000","1,956,512,000","1,719,387,000"
Trade Debts,"2,230,264,000","1,528,561,000","1,128,940,000","1,623,415,000","748,713,000","767,713,000","1,088,765,000","1,155,689,000","800,947,000","1,191,968,000","523,609,000","544,109,000","643,811,000"
Current Assets,"5,699,899,000","5,784,987,000","5,059,281,000","4,921,715,000","3,958,822,000","4,233,600,000","4,394,362,000","4,690,308,000","3,712,500,000","3,713,325,000","2,671,278,000","3,102,234,000","3,119,717,000"
Quick Assets,"2,542,209,000","2,251,860,000","1,784,703,000","2,264,265,000","1,477,774,000","1,276,323,000","1,584,304,000","1,618,672,000","1,199,981,000","1,462,268,000","946,366,000","843,674,000","1,110,779,000"
Total Assets,"10,285,279,000","8,750,043,000","7,502,407,000","7,543,783,000","6,511,637,000","6,670,948,000","6,791,804,000","6,711,602,000","5,875,594,000","6,062,965,000","5,330,519,000","5,833,549,000","5,868,839,000"
Interest Bearing Long Term Liability,"1,174,783,000","126,540,000",0,"122,431,000",0,0,0,0,0,"79,158,000","298,815,000","337,472,000","415,405,000"
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,"1,675,111,000","864,718,000","580,017,000","2,157,477,000","1,506,252,000","762,879,000","1,387,334,000","934,867,000","156,514,000","497,650,000","616,347,000","1,745,801,000","1,127,933,000"
* Non Interest Bearing Short Term Liability,"1,631,102,000","2,041,131,000","2,216,148,000","1,458,488,000","1,171,270,000","1,793,764,000","1,198,905,000","1,458,991,000","1,396,296,000","1,360,210,000","977,850,000","651,188,000","1,524,724,000"
Trades Payables,"1,577,633,000","2,032,547,000","2,216,006,000","1,453,905,000","1,163,624,000","1,776,975,000","1,173,025,000","1,439,226,000","1,396,285,000","1,353,384,000","959,183,000","621,349,000","1,490,728,000"
Total Current Liabilities,"3,362,395,000","2,946,343,000","2,891,778,000","3,655,306,000","2,767,766,000","2,620,345,000","2,614,420,000","2,393,858,000","1,662,539,000","2,026,364,000","1,603,698,000","2,396,989,000","2,652,657,000"
Total Liabilities,"4,952,550,000","3,446,045,000","3,229,038,000","4,172,245,000","3,192,970,000","3,024,958,000","3,014,948,000","2,788,778,000","2,099,956,000","2,569,292,000","2,373,244,000","3,229,702,000","3,586,765,000"
Paid Up Capital,"383,645,000","383,645,000","383,645,000","383,645,000","383,645,000","383,645,000","383,645,000","383,645,000","383,645,000","383,645,000","383,645,000","383,645,000","383,645,000"
Reserves,"4,949,084,000","4,920,353,000","3,889,724,000","2,987,893,000","2,935,022,000","3,262,345,000","3,393,211,000","3,539,179,000","3,391,993,000","3,110,028,000","2,573,630,000","2,220,202,000","1,898,429,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"5,332,729,000","5,303,998,000","4,273,369,000","3,371,538,000","3,318,667,000","3,645,990,000","3,776,856,000","3,922,824,000","3,775,638,000","3,493,673,000","2,957,275,000","2,603,847,000","2,282,074,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"38,364,500","38,364,500","38,364,500","38,364,480","38,364,480","38,364,480","38,364,480","38,364,480","38,364,480","38,364,480","38,364,480","38,364,480","38,364,480"
