Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"12,938,377,000","17,707,325,000","13,006,437,000","12,325,651,000","8,766,903,000","10,275,281,000","11,763,699,000","11,348,105,000","11,199,270,000","10,780,531,000","8,620,045,000","7,497,075,000","7,056,483,000"
COGS,"11,993,325,000","16,051,671,000","11,759,047,000","12,063,707,000","9,030,767,000","10,239,016,000","11,183,064,000","10,851,677,000","10,081,790,000","9,908,833,000","8,053,171,000","6,929,076,000","6,271,176,000"
Gross Profit,"945,052,000","1,655,654,000","1,247,390,000","261,944,000","-263,864,000","36,265,000","580,635,000","496,428,000","1,117,480,000","871,698,000","566,874,000","567,999,000","785,307,000"
Administrative Expenses,"290,659,000","256,259,000","232,994,000","233,039,000","229,898,000","268,100,000","236,541,000","217,083,000","148,671,000","124,641,000","104,327,000","90,262,000","86,043,000"
Selling & Distributive Expenses,"172,446,000","187,631,000","194,294,000","186,656,000","237,748,000","234,300,000","238,248,000","199,499,000","209,737,000","174,406,000","133,078,000","130,996,000","115,030,000"
Financial Charges,"205,681,000","17,390,000","14,381,000","32,860,000","59,341,000","104,904,000","118,547,000","77,588,000","23,083,000","66,508,000","173,062,000","255,629,000","152,715,000"
Other Income,"1,295,211,000","1,132,821,000","473,191,000","230,070,000","581,576,000","675,178,000","240,053,000","292,251,000","245,080,000","318,997,000","308,206,000","19,235,000","8,737,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"113,158,000","223,272,000","184,868,000","33,458,000","5,365,000","44,039,000","64,548,000","65,909,000","118,862,000","50,817,000","41,170,000","101,653,000","208,651,000"
EBITDA,"2,069,405,000","2,438,315,000","1,421,980,000","351,305,000","159,301,000","459,191,000","555,292,000","591,618,000","1,196,968,000","1,222,800,000","888,065,000","899,519,000","645,427,000"
EBIT,"1,664,000,000","2,121,313,000","1,108,425,000","38,861,000","-155,299,000","165,004,000","281,351,000","306,188,000","885,290,000","840,831,000","596,505,000","640,573,000","384,320,000"
EBT,"1,458,319,000","2,103,923,000","1,094,044,000","6,001,000","-214,640,000","60,100,000","162,804,000","228,600,000","862,207,000","774,323,000","423,443,000","384,944,000","231,605,000"
Tax,"397,686,000","309,188,000","112,188,000","-51,463,000","39,855,000","-28,811,000","17,048,000","-91,226,000","209,914,000","161,196,000","12,468,000","5,624,000","74,961,000"
PAT,"1,060,633,000","1,794,735,000","981,856,000","57,464,000","-254,495,000","88,911,000","145,756,000","319,826,000","652,293,000","613,127,000","410,975,000","379,320,000","156,644,000"
EPS,27.65,46.78,25.59,1.5,-6.63,2.32,3.8,8.34,17,15.98,10.71,9.89,4.08
