Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,45.21,56.65,40.05,0.00,0.00,151.02,144.77,47.98,55.87,31.29,18.67,15.17,36.74
Plow Back,54.79,43.35,59.95,100.00,100.00,-51.02,-44.77,52.02,44.13,68.71,81.33,84.83,63.26
Return on Equity,19.89,33.84,22.98,1.70,-7.67,2.44,3.86,8.15,17.28,17.55,13.90,14.57,6.86
Return on Assets,10.31,20.51,13.09,0.76,-3.91,1.33,2.15,4.77,11.10,10.11,7.71,6.50,2.67
Book Value per Share,139.00,138.25,111.39,87.88,86.50,95.04,98.45,102.25,98.41,91.07,77.08,67.87,59.48
Earning Per Share,27.65,46.78,25.59,1.50,-6.63,2.32,3.80,8.34,17.00,15.98,10.71,9.89,4.08
Net Working Capital to Total Asseets,0.23,0.32,0.29,0.17,0.18,0.24,0.26,0.34,0.35,0.28,0.20,0.12,0.08
Current Ratio,1.70,1.96,1.75,1.35,1.43,1.62,1.68,1.96,2.23,1.83,1.67,1.29,1.18
Acid Test,0.76,0.76,0.62,0.62,0.53,0.49,0.61,0.68,0.72,0.72,0.59,0.35,0.42
Times Interest Earned,8.09,121.98,77.08,1.18,-2.62,1.57,2.37,3.95,38.35,12.64,3.45,2.51,2.52
Total Debt Ratio,0.48,0.39,0.43,0.55,0.49,0.45,0.44,0.42,0.36,0.42,0.45,0.55,0.61
Debt To Equity,0.93,0.65,0.76,1.24,0.96,0.83,0.80,0.71,0.56,0.74,0.80,1.24,1.57
Return on Capital Employed,0.24,0.37,0.24,0.01,-0.04,0.04,0.07,0.07,0.21,0.21,0.16,0.19,0.12
Average Collection Period,62.92,31.51,31.68,48.07,31.17,27.27,33.78,37.17,26.10,40.36,22.17,26.49,33.30
Days sales Inventory,96.10,80.34,101.64,80.40,100.28,105.42,91.72,103.32,90.96,82.92,78.18,118.97,116.93
Total Assets Turnover,1.26,2.02,1.73,1.63,1.35,1.54,1.73,1.69,1.91,1.78,1.62,1.29,1.20
Gross Profit Margin,7.30,9.35,9.59,2.13,-3.01,0.35,4.94,4.38,9.98,8.09,6.58,7.58,11.13
Net Profit Margin,8.20,10.14,7.55,0.47,-2.90,0.86,1.24,2.82,5.82,5.69,4.77,5.06,2.22
