Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Fixed Assets,"26,250,178,000","18,994,305,000","16,104,319,000","15,969,256,000","12,050,465,000","9,038,685,000","8,209,553,000","7,132,112,000","6,828,920,000","6,653,725,000","6,140,114,000","6,105,833,000","5,827,621,000"
Investments,"2,423,450,000","58,450,000","58,450,000","58,450,000","58,450,000","58,450,000","58,450,000","58,450,000","58,450,000","58,450,000","58,450,000","58,450,000","58,450,000"
Cash in Hand and Bank,"488,884,000","491,984,000","470,250,000","269,882,000","307,777,000","117,301,000","114,954,000","101,921,000","120,013,000","83,355,000","84,966,000","99,667,000","69,034,000"
Stores and Spares,"2,047,067,000","1,469,564,000","961,088,000","988,216,000","903,447,000","699,062,000","855,530,000","723,435,000","739,986,000","706,350,000","475,422,000","447,063,000","485,957,000"
Stock in Trade,"25,829,952,000","21,369,532,000","16,143,933,000","12,469,962,000","13,854,292,000","11,283,818,000","11,914,365,000","9,555,224,000","7,415,451,000","10,334,360,000","4,943,904,000","3,886,171,000","2,915,550,000"
Trade Debts,"5,701,537,000","7,071,272,000","5,398,565,000","3,345,046,000","2,364,302,000","1,913,872,000","1,366,694,000","2,573,268,000","2,074,159,000","2,030,723,000","2,359,265,000","2,532,581,000","2,490,258,000"
Current Assets,"39,519,947,000","34,921,711,000","26,836,418,000","20,380,509,000","19,869,536,000","15,728,300,000","15,895,904,000","13,921,865,000","10,754,152,000","13,616,576,000","8,350,600,000","7,359,272,000","6,398,312,000"
Quick Assets,"11,642,928,000","12,082,615,000","9,731,397,000","6,922,331,000","5,111,797,000","3,745,420,000","3,126,009,000","3,643,206,000","2,598,715,000","2,575,866,000","2,931,274,000","3,026,038,000","2,996,805,000"
Total Assets,"68,721,195,000","54,452,207,000","43,263,445,000","36,718,672,000","32,169,263,000","24,943,347,000","24,277,207,000","21,188,930,000","17,718,758,000","20,404,679,000","14,599,691,000","13,583,734,000","12,331,702,000"
Interest Bearing Long Term Liability,"15,637,303,000","8,856,901,000","6,911,869,000","7,146,403,000","4,630,604,000","2,407,732,000","2,239,239,000","2,154,999,000","2,096,432,000","2,198,591,000","2,222,650,000","2,566,604,000","2,354,317,000"
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,"26,316,259,000","20,142,184,000","16,441,938,000","12,613,854,000","13,353,893,000","9,552,182,000","8,524,476,000","8,852,354,000","7,953,701,000","10,391,234,000","6,421,590,000","6,044,805,000","5,803,456,000"
* Non Interest Bearing Short Term Liability,"12,517,523,000","9,937,524,000","7,184,581,000","5,722,276,000","5,121,470,000","5,419,671,000","6,481,156,000","4,403,410,000","2,888,602,000","2,803,312,000","2,121,558,000","1,914,323,000","1,281,656,000"
Trades Payables,"12,111,544,000","9,637,514,000","7,008,948,000","5,583,378,000","5,007,102,000","5,213,190,000","6,303,992,000","4,211,618,000","2,702,707,000","2,586,514,000","1,964,969,000","1,735,918,000","1,135,427,000"
Total Current Liabilities,"38,913,545,000","30,104,046,000","23,643,992,000","18,336,130,000","18,475,363,000","14,971,853,000","15,005,632,000","13,255,764,000","10,851,954,000","13,194,546,000","8,574,679,000","7,749,618,000","7,085,112,000"
Total Liabilities,"54,757,995,000","39,118,994,000","30,642,718,000","25,804,755,000","23,451,024,000","17,773,875,000","17,617,304,000","15,760,428,000","13,246,249,000","15,691,806,000","11,003,926,000","10,465,502,000","9,569,673,000"
Paid Up Capital,"4,277,946,000","3,564,955,000","3,564,955,000","3,564,955,000","2,970,796,000","2,285,228,000","1,828,182,000","1,523,486,000","1,269,571,000","634,785,000","634,785,000","634,785,000","551,987,000"
Reserves,"9,685,254,000","11,768,258,000","9,055,772,000","7,348,962,000","5,747,443,000","4,884,244,000","4,831,721,000","3,905,016,000","3,202,938,000","4,078,088,000","2,960,980,000","2,483,447,000","2,210,042,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"13,963,200,000","15,333,213,000","12,620,727,000","10,913,917,000","8,718,239,000","7,169,472,000","6,659,903,000","5,428,502,000","4,472,509,000","4,712,873,000","3,595,765,000","3,118,232,000","2,762,029,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"427,794,600","356,495,500","356,495,500","356,495,525","297,079,604","228,522,772","182,818,218","152,348,515","126,957,096","63,478,548","63,478,548","63,478,548","55,198,738"
