Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"53,941,017,000","57,287,837,000","45,625,872,000","39,904,322,000","32,274,556,000","33,354,784,000","33,012,724,000","30,242,719,000","25,063,924,000","25,435,465,000","19,688,794,000","13,906,465,000","11,725,851,000"
COGS,"44,871,541,000","45,305,673,000","36,049,884,000","32,858,482,000","24,968,291,000","27,260,395,000","27,036,675,000","25,491,927,000","21,520,222,000","20,808,843,000","16,515,934,000","11,568,139,000","9,951,072,000"
Gross Profit,"9,069,476,000","11,982,164,000","9,575,988,000","7,045,840,000","7,306,265,000","6,094,389,000","5,976,049,000","4,750,792,000","3,543,702,000","4,626,622,000","3,172,860,000","2,338,326,000","1,774,779,000"
Administrative Expenses,"2,712,937,000","2,615,417,000","2,310,347,000","2,304,764,000","1,833,967,000","1,531,584,000","1,313,920,000","1,086,920,000","891,511,000","808,926,000","715,293,000","685,566,000","563,336,000"
Selling & Distributive Expenses,"4,528,465,000","4,710,208,000","3,940,730,000","3,483,858,000","3,242,285,000","2,602,887,000","2,122,660,000","1,509,886,000","1,298,665,000","1,090,588,000","776,234,000","452,791,000","278,966,000"
Financial Charges,"2,007,673,000","1,473,407,000","987,076,000","877,417,000","910,488,000","1,334,289,000","1,162,850,000","1,268,651,000","1,375,463,000","1,097,981,000","944,603,000","1,038,990,000","733,839,000"
Other Income,"367,679,000","1,137,104,000","198,601,000","487,338,000","152,538,000","343,095,000","235,555,000","38,558,000","21,173,000","24,931,000","25,116,000","26,277,000","18,250,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"264,192,000","311,783,000","208,043,000","58,377,000","137,554,000","185,397,000","116,197,000","72,356,000","653,000","116,604,000","53,619,000","17,395,000","15,050,000"
EBITDA,"4,751,404,000","7,441,591,000","5,185,957,000","3,260,653,000","3,370,603,000","3,093,789,000","3,519,058,000","2,900,105,000","2,128,866,000","3,359,415,000","2,347,024,000","1,859,421,000","1,464,809,000"
EBIT,"1,931,561,000","5,481,860,000","3,315,469,000","1,686,179,000","2,244,997,000","2,117,616,000","2,658,827,000","2,120,188,000","1,374,046,000","2,635,435,000","1,652,830,000","1,208,851,000","935,677,000"
EBT,"-76,112,000","4,008,453,000","2,328,393,000","808,762,000","1,334,509,000","783,327,000","1,495,977,000","851,537,000","-1,417,000","1,537,454,000","708,227,000","169,861,000","201,838,000"
Tax,"403,253,000","399,233,000","253,420,000","-9,660,000","193,079,000","178,384,000","261,179,000","140,474,000","238,947,000","340,997,000","230,694,000","89,651,000","99,000,000"
PAT,"-479,365,000","3,609,220,000","2,074,973,000","818,422,000","1,141,430,000","604,943,000","1,234,798,000","711,063,000","-240,364,000","1,196,457,000","477,533,000","80,210,000","102,838,000"
EPS,-1.12,10.12,5.82,2.5,4.27,2.65,6.75,4.09,-1.89,18.85,7.52,1.45,1.86
