Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Fixed Assets,0,0,"3,044,313,000","2,939,108,000","2,761,715,000","2,335,449,000","2,348,255,000","1,569,934,000","1,419,564,000","1,234,950,616","1,088,312,106","1,057,528,095"
Investments,"2,779,267,000","2,779,267,000","593,000,000","593,000,000","500,000","45,133,000","45,000,000",0,0,0,0,0
Cash in Hand and Bank,"2,048,000",0,"173,762,000","234,156,000","1,089,641,000","226,739,000","234,489,000","242,824,000","259,471,000","104,029,772","85,604,562","8,310,416"
Stores and Spares,0,0,"201,566,000","107,236,000","103,532,000","70,765,000","68,865,000","49,797,000","35,036,000","19,961,223","2,565,530","1,055,300"
Stock in Trade,0,0,"94,343,000","37,740,000","26,282,000","36,206,000","23,225,000","13,752,000","11,182,000","31,880,087","19,034,784","6,734,694"
Trade Debts,0,0,"468,959,000","529,520,000","406,397,000","294,870,000","157,264,000","144,349,000","31,264,000","39,731,149","19,603,725","9,640,239"
Current Assets,0,"1,973,000","1,606,976,000","1,375,061,000","2,070,629,000","963,017,000","679,629,000","898,157,000","404,189,000","254,611,789","178,414,351","57,785,386"
Quick Assets,0,"1,973,000","1,311,067,000","1,230,085,000","1,940,815,000","856,046,000","587,539,000","834,608,000","357,971,000","202,770,479","156,814,037","49,995,392"
Total Assets,"2,782,822,000","2,781,310,000","5,327,177,000","4,964,995,000","4,901,823,000","3,643,043,000","3,137,396,000","2,547,890,000","1,890,528,000","1,532,835,694","1,284,110,727","1,129,296,481"
Interest Bearing Long Term Liability,0,0,"846,356,000","1,040,938,000","439,962,000","575,264,000","422,095,000","522,204,000","261,375,000","274,130,880","336,815,816","261,692,179"
Non Interest Bearing Long Term Liability,0,0,"33,025,000","26,620,000","19,800,000","1,047,419,000","1,025,654,000","635,731,000","461,633,000","281,437,030","128,872,030","93,126,943"
Interest Bearing Short Term Liability,0,0,"1,198,266,000","502,179,000","1,165,841,000","627,384,000","520,364,000","313,778,000","237,992,000","127,590,530","75,425,955","18,474,482"
* Non Interest Bearing Short Term Liability,"1,826,000","890,000","223,894,000","122,210,000","321,556,000","151,983,000","138,697,000","142,776,000","109,762,000","119,097,258","95,812,596","46,231,945"
Trades Payables,"1,826,000","890,000","199,937,000","105,675,000","296,823,000","139,271,000","124,621,000","132,413,000","100,606,000","108,899,898","88,180,911","34,037,499"
Total Current Liabilities,"2,670,000","1,803,000","1,426,491,000","655,173,000","1,534,421,000","821,671,000","676,662,000","462,651,000","355,658,000","252,256,804","172,855,736","64,706,427"
Total Liabilities,"2,670,000","1,803,000","2,588,706,000","1,977,179,000","2,188,410,000","2,528,670,000","2,136,954,000","1,620,586,000","1,078,666,000","807,824,714","638,543,582","419,525,549"
Paid Up Capital,"1,533,059,000","1,533,059,000","1,322,682,000","1,247,813,000","1,247,813,000","742,746,000","742,746,000","724,630,000","724,630,000","724,500,000","724,500,000","724,500,000"
Reserves,"1,247,093,000","1,246,448,000","1,415,789,000","1,740,003,000","1,465,600,000","371,627,000","257,696,000","202,674,000","87,232,000","510,980","-78,932,855","-14,729,068"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"2,780,152,000","2,779,507,000","2,738,471,000","2,987,816,000","2,713,413,000","1,114,373,000","1,000,442,000","927,304,000","811,862,000","725,010,980","645,567,145","709,770,932"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"153,305,900","153,305,900","132,268,200","124,781,286","124,781,286","74,274,575","74,274,575","72,463,000","72,463,000","72,450,000","72,450,000","72,450,000"
