Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Sales,"10,050,000",0,"2,048,597,000","1,804,472,000","1,766,743,000","1,720,131,000","1,347,426,000","1,217,455,000","740,142,000","444,462,401","270,616,567","25,650,633"
COGS,"10,050,000",0,"1,409,899,000","1,235,838,000","1,191,108,000","1,150,207,000","1,020,109,000","826,848,000","464,608,000","298,931,641","245,108,290","23,740,993"
Gross Profit,0,0,"638,698,000","568,634,000","575,635,000","569,924,000","327,317,000","390,607,000","275,534,000","145,530,760","25,508,277","1,909,640"
Administrative Expenses,"1,050,000","1,471,000","115,649,000","117,127,000","108,153,000","82,830,000","62,186,000","60,060,000","57,441,000","46,782,757","51,165,979","25,915,842"
Selling & Distributive Expenses,0,0,"229,973,000","179,993,000","137,463,000","119,625,000","105,471,000","110,492,000","94,222,000","63,091,023","52,334,840","10,843,855"
Financial Charges,0,0,"123,484,000","96,513,000","117,597,000","114,013,000","51,860,000","55,409,000","72,864,000","57,120,542","34,571,079","2,001,381"
Other Income,"2,790,000","2,600,000","18,177,000","22,757,000","78,426,000","10,190,000","3,401,000","2,824,000","51,155,000","112,883,534","52,820,526","1,403,985"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"1,095,000","890,000","28,984,000","16,674,000","14,236,000","14,407,000","7,665,000","9,467,000","7,538,000","6,407,121","2,815,014","2,920,134"
EBITDA,"645,000","239,000","388,658,000","365,200,000","469,017,000","438,028,000","203,575,000","262,560,000","215,496,000","174,051,801","28,440,248","-20,831,390"
EBIT,"645,000","239,000","282,269,000","277,597,000","394,209,000","363,252,000","155,396,000","213,412,000","167,488,000","142,133,393","-27,987,030","-36,366,206"
EBT,"645,000","239,000","158,785,000","181,084,000","276,612,000","249,239,000","103,536,000","158,003,000","94,624,000","85,012,851","-62,558,109","-38,367,587"
Tax,0,"69,000","1,080,000","43,981,000","114,631,000","90,743,000","30,398,000","6,097,000","7,904,000","5,569,016","1,645,678",0
PAT,"645,000","170,000","157,705,000","137,103,000","161,981,000","158,496,000","73,138,000","151,906,000","86,720,000","79,443,835","-64,203,787","-38,367,587"
EPS,0,0,1.19,1.1,1.9,2.13,0.98,2.1,1.2,1.1,-0.89,-0.79
