Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Payout,0.00,0.00,0.00,0.00,0.00,74.98,0.00,23.85,0.00,0.00,0.00,0.00
Plow Back,100.00,100.00,100.00,100.00,100.00,25.02,100.00,76.15,100.00,100.00,100.00,100.00
Return on Equity,0.02,0.01,5.76,4.59,5.97,14.22,7.31,16.38,10.68,10.96,-9.95,-5.41
Return on Assets,0.02,0.01,2.96,2.76,3.30,4.35,2.33,5.96,4.59,5.18,-5.00,-3.40
Book Value per Share,18.13,18.13,20.70,23.94,21.75,15.00,13.47,12.80,11.20,10.01,8.91,9.80
Earning Per Share,0.00,0.00,1.19,1.10,1.90,2.13,0.98,2.10,1.20,1.10,-0.89,-0.79
Net Working Capital to Total Asseets,-0.00,0.00,0.03,0.14,0.11,0.04,0.00,0.17,0.03,0.00,0.00,-0.01
Current Ratio,0.00,1.09,1.13,2.10,1.35,1.17,1.00,1.94,1.14,1.01,1.03,0.89
Acid Test,0.00,1.09,0.92,1.88,1.26,1.04,0.87,1.80,1.01,0.80,0.91,0.77
Times Interest Earned,0.00,0.00,2.29,2.88,3.35,3.19,3.00,3.85,2.30,2.49,-0.81,-18.17
Total Debt Ratio,0.00,0.00,0.49,0.40,0.45,0.69,0.68,0.64,0.57,0.53,0.50,0.37
Debt To Equity,0.00,0.00,0.95,0.66,0.81,2.27,2.14,1.75,1.33,1.11,0.99,0.59
Return on Capital Employed,0.00,0.00,0.07,0.06,0.12,0.13,0.06,0.10,0.11,0.11,-0.03,-0.03
Average Collection Period,0.00,0.00,83.56,107.11,83.96,62.57,42.60,43.28,15.42,32.63,26.44,137.18
Days sales Inventory,0.00,0.00,76.61,42.82,39.78,33.95,32.95,28.05,36.31,63.30,32.17,119.77
Total Assets Turnover,0.00,0.00,0.38,0.36,0.36,0.47,0.43,0.48,0.39,0.29,0.21,0.02
Gross Profit Margin,0.00,0.00,31.18,31.51,32.58,33.13,24.29,32.08,37.23,32.74,9.43,7.45
Net Profit Margin,6.42,0.00,7.70,7.60,9.17,9.21,5.43,12.48,11.72,17.87,-23.73,-149.58
