Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Sales,"17,096,244,083","17,248,127,446","14,417,169,642","13,210,117,240","11,784,846,929","11,260,189,883","10,200,398,815","10,361,879,035","8,619,601,728","6,869,476,221","6,533,755,609","5,191,729,144"
COGS,"14,490,568,552","12,869,809,062","9,922,721,042","8,914,439,147","8,162,052,986","8,024,067,984","7,757,966,908","8,032,349,105","6,620,565,149","4,868,014,697","4,644,759,751","3,665,638,916"
Gross Profit,"2,605,675,531","4,378,318,384","4,494,448,600","4,295,678,093","3,622,793,943","3,236,121,899","2,442,431,907","2,329,529,930","1,999,036,579","2,001,461,524","1,888,995,858","1,526,090,228"
Administrative Expenses,"675,048,506","790,729,095","651,675,041","548,076,981","445,608,214","326,780,992","304,434,348","275,362,037","300,287,754","216,495,175","187,079,813","151,917,298"
Selling & Distributive Expenses,"341,518,277","438,218,309","900,675,995","771,308,978","710,235,530","631,108,164","688,324,349","652,768,593","399,547,977","330,980,042","291,733,849","234,398,219"
Financial Charges,"33,971,799","12,520,829","9,762,457","9,528,536","37,437,226","328,472,801","373,853,448","335,835,715","79,818,857","40,559,019","60,800,696","93,097,740"
Other Income,"316,451,337","320,972,727","346,417,220","175,714,799","165,642,848","149,849,452","253,666,002","80,798,305","65,228,286","30,327,585","7,178,482","22,213,832"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"268,224,869","226,955,509","228,196,309","208,947,190","185,298,224","76,852,525","79,326,047","79,098,971","88,638,109","94,876,367","78,556,248","75,606,111"
EBITDA,"2,889,236,663","4,144,783,799","3,804,654,069","3,692,310,632","3,137,506,752","3,050,306,532","2,273,902,587","1,994,808,928","1,591,827,439","1,681,558,474","1,588,357,415","1,316,371,961"
EBIT,"1,637,335,216","3,243,388,198","3,060,318,475","2,943,059,743","2,447,294,823","2,351,229,670","1,624,013,165","1,403,098,634","1,275,791,025","1,389,437,525","1,338,804,430","1,086,382,432"
EBT,"1,603,363,417","3,230,867,369","3,050,556,018","2,933,531,207","2,409,857,597","2,022,756,869","1,250,159,717","1,067,262,919","1,195,972,168","1,348,878,506","1,278,003,734","993,284,692"
Tax,"90,287,958","87,347,633","184,444,670","631,250,020","436,463,915","435,998,591","333,782,038","196,684,195","35,205,530","378,309,129","330,808,134","280,523,480"
PAT,"1,513,075,459","3,143,519,736","2,866,111,348","2,302,281,187","1,973,393,682","1,586,758,278","916,377,679","870,578,724","1,160,766,638","970,569,377","947,195,600","712,761,212"
EPS,2.79,5.98,6.93,5.84,9.16,12.78,7.44,7.42,9.89,9.1,9.77,7.35
