Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Payout,71.58,77.52,58.14,104.75,105.55,46.59,0.00,0.00,45.95,10.99,25.60,37.11
Plow Back,28.42,22.48,41.86,-4.75,-5.55,53.41,100.00,100.00,54.05,89.01,74.40,62.89
Return on Equity,9.43,20.18,22.21,21.16,19.25,17.55,12.76,13.90,21.53,21.95,22.86,20.59
Return on Assets,6.00,13.78,15.97,14.77,14.12,12.55,7.52,7.95,11.57,13.59,16.54,14.32
Book Value per Share,29.64,28.76,30.98,49.63,46.77,73.37,58.26,53.37,50.55,41.45,42.72,35.68
Earning Per Share,2.79,5.98,6.93,5.84,9.16,12.78,7.44,7.42,9.89,9.10,9.77,7.35
Net Working Capital to Total Asseets,0.18,0.15,0.17,0.24,0.21,0.15,0.14,0.08,-0.02,0.18,0.28,0.22
Current Ratio,1.66,1.57,1.78,2.07,2.12,1.73,1.63,1.33,0.94,1.71,2.37,1.98
Acid Test,0.64,0.76,1.26,1.42,1.13,0.78,0.76,0.56,0.34,-0.91,1.02,0.71
Times Interest Earned,48.20,259.04,313.48,308.87,65.37,7.16,4.34,4.18,15.98,34.26,22.02,11.67
Total Debt Ratio,0.36,0.32,0.28,0.30,0.27,0.28,0.41,0.43,0.46,0.32,0.28,0.30
Debt To Equity,0.57,0.46,0.39,0.43,0.36,0.40,0.70,0.75,0.86,0.47,0.38,0.44
Return on Capital Employed,0.09,0.19,0.22,0.24,0.21,0.23,0.17,0.17,0.21,0.26,0.29,0.28
Average Collection Period,48.32,47.41,41.65,52.17,51.73,32.80,41.82,23.89,22.40,28.32,35.45,24.57
Days sales Inventory,171.43,135.04,74.53,91.66,113.81,110.50,113.74,97.79,125.51,362.40,124.62,139.79
Total Assets Turnover,0.68,0.76,0.80,0.85,0.84,0.89,0.84,0.95,0.86,0.96,1.14,1.04
Gross Profit Margin,15.24,25.38,31.17,32.52,30.74,28.74,23.94,22.48,23.19,29.14,28.91,29.39
Net Profit Margin,8.85,18.23,19.88,17.43,16.75,14.09,8.98,8.40,13.47,14.13,14.50,13.73
