Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Fixed Assets,"4,453,947,000","2,770,727,000","2,463,605,000","2,021,453,000","1,941,250,000","1,674,230,000","1,678,603,000","1,703,088,000","1,447,944,000","1,465,156,000","1,476,350,000","1,018,986,000","1,028,798,000"
Investments,"89,569,000","89,813,000","90,057,000","90,301,000","90,545,000","90,795,000","91,045,000","91,295,000","91,545,000","91,795,000","92,055,000","92,314,000","92,573,000"
Cash in Hand and Bank,"340,906,000","500,441,000","497,261,000","805,135,000","585,735,000","135,710,000","34,597,000","40,289,000","91,218,000","9,523,000","149,688,000","21,510,000","22,919,000"
Stores and Spares,"22,469,000","8,328,000","10,281,000","2,560,000","1,980,000","2,009,000","1,859,000","2,285,000","1,714,000","4,294,000","5,872,000","15,000","21,000"
Stock in Trade,"7,547,063,000","10,359,425,000","6,888,220,000","3,779,300,000","1,623,753,000","612,623,000","1,055,872,000","1,355,715,000","928,892,000","691,703,000","711,728,000","373,852,000","468,052,000"
Trade Debts,"638,588,000","88,406,000","95,230,000","485,472,000","259,680,000","42,653,000","220,786,000","293,428,000","136,939,000","173,375,000","84,771,000","103,203,000","56,903,000"
Current Assets,"14,357,634,000","12,949,157,000","9,463,476,000","6,446,030,000","3,114,021,000","1,577,926,000","1,927,344,000","2,335,346,000","1,917,080,000","1,796,949,000","1,256,795,000","807,697,000","1,017,480,000"
Quick Assets,"6,788,102,000","2,581,404,000","2,564,975,000","2,664,170,000","1,488,288,000","963,294,000","869,613,000","977,346,000","986,474,000","1,100,952,000","539,195,000","433,830,000","549,407,000"
Total Assets,"18,929,454,000","15,922,702,000","12,034,209,000","8,594,804,000","5,160,199,000","3,347,427,000","3,719,025,000","4,136,320,000","3,494,353,000","3,361,990,000","2,831,997,000","1,923,441,000","2,143,311,000"
Interest Bearing Long Term Liability,"66,237,000","51,745,000","34,526,000","19,563,000","35,999,000","10,584,000","7,939,000","15,102,000","13,614,000","19,738,000","26,757,000","2,452,000","8,165,000"
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,"6,547,806,000","6,310,049,000","3,640,075,000","810,302,000","202,627,000","204,977,000","1,087,697,000","1,222,022,000","849,646,000","169,646,000","152,875,000","333,656,000","98,328,000"
* Non Interest Bearing Short Term Liability,"7,102,593,000","4,778,610,000","3,475,369,000","4,029,156,000","1,723,323,000","804,425,000","578,311,000","854,941,000","980,598,000","1,492,087,000","925,302,000","413,887,000","592,923,000"
Trades Payables,"6,872,811,000","4,582,157,000","3,427,060,000","4,004,872,000","1,697,510,000","783,464,000","547,796,000","822,680,000","943,781,000","1,461,200,000","915,182,000","396,773,000","583,403,000"
Total Current Liabilities,"13,751,331,000","11,189,769,000","7,184,529,000","4,839,458,000","1,925,950,000","1,009,402,000","1,666,008,000","2,076,963,000","1,830,244,000","1,661,733,000","1,078,177,000","747,543,000","822,799,000"
Total Liabilities,"13,854,795,000","11,274,318,000","7,310,080,000","4,904,636,000","2,051,646,000","1,098,040,000","1,698,813,000","2,139,155,000","1,858,632,000","1,695,186,000","1,147,781,000","766,514,000","848,899,000"
Paid Up Capital,"426,088,000","426,088,000","213,044,000","213,044,000","213,044,000","213,044,000","213,044,000","213,044,000","213,044,000","213,044,000","213,044,000","213,044,000","213,044,000"
Reserves,"897,105,000","2,172,735,000","2,651,071,000","1,612,010,000","1,022,517,000","365,002,000","133,989,000","105,527,000","-27,772,000","-2,250,000","9,598,000","-129,314,000","4,822,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,"3,751,466,000","2,049,561,000","1,860,014,000","1,865,114,000","1,872,992,000","1,671,341,000","1,673,179,000","1,678,594,000","1,450,448,000","1,456,011,000","1,461,574,000","1,073,197,000","1,076,546,000"
Shareholder Equity,"5,074,659,000","4,648,384,000","4,724,129,000","3,690,168,000","3,108,553,000","2,249,387,000","2,020,212,000","1,997,165,000","1,635,720,000","1,666,805,000","1,684,216,000","1,156,927,000","1,294,412,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"42,608,800","42,608,800","21,304,400","21,304,422","21,304,422","21,304,422","21,304,422","21,304,422","21,304,422","21,304,422","21,304,422","21,304,422","21,304,422"
