Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,0.00,0.00,8.76,40.15,28.56,42.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plow Back,100.00,100.00,91.24,59.85,71.44,57.16,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Return on Equity,-25.28,1.29,28.84,21.57,23.99,9.95,1.19,6.40,-1.90,0.47,8.05,-11.88,1.40
Return on Assets,-6.78,0.38,11.32,9.26,14.45,6.69,0.65,3.09,-0.89,0.23,4.79,-7.15,0.85
Book Value per Share,119.10,109.09,221.74,173.21,145.91,105.58,94.83,93.74,76.78,78.24,79.05,54.30,60.76
Earning Per Share,-30.11,1.41,63.95,37.36,35.01,10.50,1.13,6.00,-1.46,0.36,6.36,-6.45,0.85
Net Working Capital to Total Asseets,0.03,0.11,0.19,0.19,0.23,0.17,0.07,0.06,0.02,0.04,0.06,0.03,0.09
Current Ratio,1.04,1.16,1.32,1.33,1.62,1.56,1.16,1.12,1.05,1.08,1.17,1.08,1.24
Acid Test,0.49,0.23,0.36,0.55,0.77,0.95,0.52,0.47,0.54,0.66,0.50,0.58,0.67
Times Interest Earned,-0.04,1.19,9.83,6.55,10.71,2.96,1.09,2.04,0.72,1.13,3.04,-0.68,2.11
Total Debt Ratio,0.73,0.71,0.61,0.57,0.40,0.33,0.46,0.52,0.53,0.50,0.41,0.40,0.40
Debt To Equity,2.73,2.43,1.55,1.33,0.66,0.49,0.84,1.07,1.14,1.02,0.68,0.66,0.66
Return on Capital Employed,-0.01,0.19,0.45,0.39,0.37,0.21,0.09,0.17,0.07,0.04,0.10,-0.05,0.04
Average Collection Period,19.77,2.32,2.07,16.50,16.27,4.73,32.68,38.07,25.39,38.79,14.83,28.67,11.18
Days sales Inventory,249.01,307.45,184.31,161.68,138.68,86.17,178.29,212.89,196.12,174.35,146.35,115.20,99.67
Total Assets Turnover,0.62,0.87,1.39,1.25,1.13,0.98,0.66,0.68,0.56,0.49,0.74,0.68,0.87
Gross Profit Margin,5.88,11.51,18.55,20.51,26.55,20.95,12.19,17.23,12.01,10.68,14.22,9.84,7.70
Net Profit Margin,-10.88,0.43,8.12,7.41,12.80,6.79,0.98,4.54,-1.58,0.47,6.50,-10.46,0.98
