Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Fixed Assets,"4,105,816,000","3,912,436,000","2,133,465,000","1,983,445,000","1,852,218,000","1,749,285,000","1,764,038,000","1,326,108,000","1,382,669,000","1,441,345,000","1,496,234,000","1,534,924,000"
Investments,"222,906,000","612,231,000","323,834,000","242,630,000","242,630,000","222,722,000","190,630,000","422,190,000","394,182,000","408,628,000","305,064,000","278,869,000"
Cash in Hand and Bank,"311,091,000","150,109,000","1,314,660,000","514,390,000","375,408,000","328,915,000","148,618,000","52,528,000","33,452,000","31,004,000","72,570,000","36,293,000"
Stores and Spares,"136,504,000","124,506,000","91,767,000","86,474,000","68,048,000","50,174,000","44,055,000","32,268,000","35,990,000","36,075,000","34,602,000","40,842,000"
Stock in Trade,"902,496,000","1,069,654,000","738,323,000","277,690,000","604,689,000","623,847,000","692,474,000","295,470,000","565,196,000","530,701,000","1,063,893,000","1,053,749,000"
Trade Debts,"322,111,000","252,479,000","260,537,000","181,088,000","188,332,000","345,727,000","395,583,000","305,183,000","246,889,000","535,878,000","234,671,000","283,402,000"
Current Assets,"1,980,518,000","2,285,843,000","2,672,025,000","1,151,791,000","1,480,807,000","1,606,151,000","1,505,273,000","791,940,000","955,318,000","1,233,688,000","1,547,103,000","1,572,422,000"
Quick Assets,"941,518,000","1,091,683,000","1,841,935,000","787,627,000","808,070,000","932,130,000","768,744,000","464,202,000","354,132,000","666,912,000","448,608,000","477,831,000"
Total Assets,"6,901,852,000","7,097,988,000","5,825,353,000","3,857,777,000","4,081,090,000","3,571,264,000","3,434,954,000","2,547,105,000","2,740,106,000","3,096,033,000","3,360,482,000","3,392,096,000"
Interest Bearing Long Term Liability,"121,604,000","44,767,000","47,439,000","53,699,000","40,177,000","45,635,000","13,006,000","111,000","1,115,000","65,750,000","151,855,000","2,006,000"
Non Interest Bearing Long Term Liability,"22,611,000","8,611,000","9,611,000","9,611,000","8,611,000","9,611,000","9,611,000","9,611,000","9,611,000","9,611,000","9,611,000","10,611,000"
Interest Bearing Short Term Liability,"94,351,000","192,234,000","17,721,000","18,474,000","13,659,000","162,448,000","506,897,000","315,160,000","641,372,000","781,881,000","906,865,000","1,020,031,000"
* Non Interest Bearing Short Term Liability,"445,761,000","403,488,000","702,317,000","629,156,000","1,126,186,000","650,866,000","774,018,000","456,769,000","360,981,000","392,794,000","514,493,000","460,237,000"
Trades Payables,"433,591,000","381,201,000","695,581,000","628,809,000","1,126,050,000","642,881,000","768,840,000","442,993,000","339,938,000","365,137,000","493,118,000","421,161,000"
Total Current Liabilities,"554,526,000","606,333,000","835,684,000","719,796,000","1,139,845,000","813,314,000","1,280,915,000","771,929,000","1,002,353,000","1,187,659,000","1,421,358,000","1,480,268,000"
Total Liabilities,"1,023,212,000","1,014,023,000","1,157,472,000","1,065,639,000","1,462,210,000","1,248,858,000","1,556,366,000","872,785,000","1,110,250,000","1,380,209,000","1,746,749,000","1,689,470,000"
Paid Up Capital,"570,025,000","570,025,000","450,025,000","450,025,000","450,025,000","450,025,000","450,025,000","450,025,000","450,025,000","450,025,000","450,025,000","450,025,000"
Reserves,"3,085,321,000","3,252,582,000","3,245,615,000","1,353,543,000","1,151,191,000","824,086,000","374,375,000","209,525,000","148,993,000","212,767,000","183,176,000","248,225,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,"2,223,294,000","2,261,358,000","972,241,000","988,570,000","1,017,664,000","1,048,295,000","1,054,188,000","1,014,770,000","1,030,838,000","1,053,032,000","980,532,000","1,004,376,000"
Shareholder Equity,"5,878,640,000","6,083,965,000","4,667,881,000","2,792,138,000","2,618,880,000","2,322,406,000","1,878,588,000","1,674,320,000","1,629,856,000","1,715,824,000","1,613,733,000","1,702,626,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"57,002,500","57,002,500","45,002,500","45,002,500","45,002,500","45,002,500","45,002,500","45,002,500","45,002,500","45,002,500","45,002,500","45,002,500"
