Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Sales,"1,663,080,000","2,373,750,000","2,218,734,000","4,858,178,000","5,005,148,000","5,445,392,000","2,619,910,000","1,852,238,000","1,388,002,000","2,650,068,000","2,402,617,000","2,053,959,000"
COGS,"1,658,058,000","2,053,661,000","1,785,430,000","3,927,183,000","3,912,947,000","4,314,378,000","2,148,821,000","1,626,373,000","1,257,424,000","2,397,795,000","2,283,238,000","2,048,631,000"
Gross Profit,"5,022,000","320,089,000","433,304,000","930,995,000","1,092,201,000","1,131,014,000","471,089,000","225,865,000","130,578,000","252,273,000","119,379,000","5,328,000"
Administrative Expenses,"232,861,000","228,397,000","213,207,000","201,836,000","204,369,000","168,995,000","124,565,000","117,836,000","109,021,000","111,432,000","105,696,000","117,891,000"
Selling & Distributive Expenses,"72,756,000","70,051,000","53,669,000","39,842,000","55,528,000","56,435,000","19,318,000","18,559,000","21,387,000","30,865,000","29,916,000","35,928,000"
Financial Charges,"64,094,000","263,821,000","22,782,000","8,139,000","18,443,000","86,294,000","50,218,000","80,578,000","109,137,000","175,977,000","147,328,000","344,953,000"
Other Income,"148,757,000","259,882,000","1,130,227,000","114,320,000","80,351,000","26,335,000","12,695,000","38,355,000","11,284,000","50,508,000","40,454,000","9,429,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,0,"12,281,000","21,677,000","54,889,000","61,701,000","58,348,000","19,988,000","1,328,000",0,0,"500,000","550,000"
EBITDA,"-8,557,000","389,378,000","1,383,456,000","843,939,000","937,956,000","949,146,000","374,493,000","184,719,000","73,729,000","227,451,000","91,575,000","-50,077,000"
EBIT,"-151,838,000","269,242,000","1,274,978,000","748,748,000","850,954,000","873,571,000","319,913,000","126,497,000","11,454,000","160,484,000","23,721,000","-139,612,000"
EBT,"-215,932,000","5,421,000","1,252,196,000","740,609,000","832,511,000","787,277,000","269,695,000","45,919,000","-97,683,000","-15,493,000","-123,607,000","-484,565,000"
Tax,"-9,309,000","34,227,000","214,675,000","330,649,000","286,248,000","278,410,000","95,765,000","7,534,000","-11,715,000","-22,590,000","-34,714,000","-172,392,000"
PAT,"-206,623,000","-28,806,000","1,037,521,000","409,960,000","546,263,000","508,867,000","173,930,000","38,385,000","-85,968,000","7,097,000","-88,893,000","-312,173,000"
EPS,-3.62,-0.51,23.02,9.11,12.14,11.31,3.86,0.85,-1.91,0.16,-1.98,-6.94
