Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Payout,0.00,0.00,0.00,54.89,49.43,39.80,51.75,0.00,0.00,0.00,0.00,0.00
Plow Back,100.00,100.00,100.00,45.11,50.57,60.20,48.25,100.00,100.00,100.00,100.00,100.00
Return on Equity,-3.52,-0.47,22.23,14.68,20.86,21.91,9.26,2.29,-5.28,0.41,-5.51,-18.34
Return on Assets,-2.99,-0.41,17.81,10.63,13.39,14.25,5.06,1.51,-3.14,0.23,-2.65,-9.20
Book Value per Share,103.13,106.73,103.72,62.04,58.19,51.61,41.74,37.21,36.22,38.13,35.86,37.83
Earning Per Share,-3.62,-0.51,23.02,9.11,12.14,11.31,3.86,0.85,-1.91,0.16,-1.98,-6.94
Net Working Capital to Total Asseets,0.21,0.24,0.32,0.11,0.08,0.22,0.07,0.01,-0.02,0.01,0.04,0.03
Current Ratio,3.57,3.77,3.20,1.60,1.30,1.97,1.18,1.03,0.95,1.04,1.09,1.06
Acid Test,1.70,1.80,2.20,1.09,0.71,1.15,0.60,0.60,0.35,0.56,0.32,0.32
Times Interest Earned,-2.37,1.02,55.96,92.00,46.14,10.12,6.37,1.57,0.10,0.91,0.16,-0.40
Total Debt Ratio,0.15,0.14,0.20,0.28,0.36,0.35,0.45,0.34,0.41,0.45,0.52,0.50
Debt To Equity,0.17,0.17,0.25,0.38,0.56,0.54,0.83,0.52,0.68,0.80,1.08,0.99
Return on Capital Employed,-0.02,0.04,0.26,0.24,0.29,0.32,0.15,0.07,0.01,0.08,0.01,-0.07
Average Collection Period,70.69,38.82,42.86,13.61,13.73,23.17,55.11,60.14,64.92,73.81,35.65,50.36
Days sales Inventory,228.72,212.24,169.70,33.85,62.75,57.02,125.11,73.55,174.51,86.28,175.61,195.02
Total Assets Turnover,0.24,0.33,0.38,1.26,1.23,1.52,0.76,0.73,0.51,0.86,0.71,0.61
Gross Profit Margin,0.30,13.48,19.53,19.16,21.82,20.77,17.98,12.19,9.41,9.52,4.97,0.26
Net Profit Margin,-12.42,-1.21,46.76,8.44,10.91,9.35,6.64,2.07,-6.19,0.27,-3.70,-15.20
