Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Sales,"36,581,749,000","34,006,840,000","32,773,770,000","27,563,533,000","23,821,926,000","27,882,887,000","25,230,878,000","23,149,964,000","21,750,147,000","18,916,191,000","16,753,873,000"
COGS,"28,870,246,000","25,593,240,000","24,095,384,000","20,099,062,000","17,397,755,000","20,537,116,000","19,007,165,000","17,068,949,000","15,931,728,000","14,063,242,000","12,514,592,000"
Gross Profit,"7,711,503,000","8,413,600,000","8,678,386,000","7,464,471,000","6,424,171,000","7,345,771,000","6,223,713,000","6,081,015,000","5,818,419,000","4,852,949,000","4,239,281,000"
Administrative Expenses,"1,098,946,000","1,076,631,000","982,786,000","944,201,000","971,144,000","1,020,261,000","920,396,000","771,322,000","1,022,493,000","826,236,000","850,868,000"
Selling & Distributive Expenses,"3,320,549,000","3,571,512,000","3,278,792,000","2,816,163,000","2,787,942,000","3,694,682,000","3,635,914,000","3,046,675,000","2,790,373,000","2,301,516,000","1,949,079,000"
Financial Charges,"289,611,000","147,392,000","88,282,000","19,032,000","54,361,000","20,363,000","159,217,000","47,512,000","36,526,000","20,026,000","44,645,000"
Other Income,"1,991,462,000","1,497,663,000","990,133,000","1,040,556,000","1,159,017,000","491,528,000","454,916,000","289,207,000","461,927,000","397,696,000","463,693,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"393,563,000","397,582,000","439,456,000","372,750,000","255,635,000","253,411,000","153,230,000","192,617,000","194,066,000","171,143,000","151,802,000"
EBITDA,"5,699,846,000","5,569,068,000","5,827,803,000","4,950,935,000","4,070,491,000","3,312,944,000","2,482,711,000","2,746,268,000","2,634,587,000","2,323,887,000","2,061,546,000"
EBIT,"4,889,907,000","4,865,538,000","4,967,485,000","4,371,913,000","3,568,467,000","2,868,945,000","1,969,089,000","2,359,608,000","2,273,414,000","1,951,750,000","1,751,225,000"
EBT,"4,600,296,000","4,718,146,000","4,879,203,000","4,352,881,000","3,514,106,000","2,848,582,000","1,809,872,000","2,312,096,000","2,236,888,000","1,931,724,000","1,706,580,000"
Tax,"1,559,173,000","1,460,195,000","1,898,180,000","1,717,969,000","1,003,380,000","1,161,511,000","747,609,000","992,000,000","1,095,972,000","874,341,000","665,289,000"
PAT,"3,041,123,000","3,257,951,000","2,981,023,000","2,644,912,000","2,643,230,000","1,687,071,000","1,062,263,000","1,320,096,000","1,140,916,000","1,057,383,000","1,041,291,000"
EPS,9.55,10.23,9.36,8.68,8.3,5.3,3.67,5.02,4.77,5.08,5.22
