Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Fixed Assets,"32,644,000",0,0,0,0,0,0,0,"7,335,000","5,282,000","527,000","1,278,000"
Investments,0,"557,312,000",0,"94,536,000","186,538,000","435,409,000","318,036,000","375,420,000","240,000,000","120,459,000","201,000,000","313,000,000"
Cash in Hand and Bank,"14,558,000","5,625,000","1,092,000","13,864,000","13,920,000","166,576,000","176,559,000","149,071,000","41,279,000","1,748,000","8,788,000","8,071,000"
Stores and Spares,0,0,0,0,0,0,0,0,0,0,0,0
Stock in Trade,"511,860,000","326,792,000","382,081,000","582,269,000","565,767,000","650,445,000","596,236,000","450,545,000","256,824,000","355,182,000","196,761,000","145,372,000"
Trade Debts,"193,290,000","156,356,000","168,062,000","248,020,000","192,618,000","241,018,000","165,317,000","144,539,000","149,678,000","135,032,000","126,089,000","97,922,000"
Current Assets,"1,429,724,000","1,189,379,000","845,966,000","124,312,217,000","1,065,436,000","1,597,431,000","1,384,154,000","1,217,499,000","774,209,000","716,496,000","592,035,000","623,102,000"
Quick Assets,"917,864,000","862,587,000","463,885,000","123,729,948,000","499,669,000","946,986,000","787,918,000","766,954,000","517,385,000","361,314,000","395,274,000","477,730,000"
Total Assets,"1,462,583,000","1,189,995,000","846,582,000","1,431,833,000","1,066,052,000","1,598,047,000","1,384,770,000","1,217,937,000","781,682,000","721,928,000","592,788,000","624,680,000"
Interest Bearing Long Term Liability,"25,781,000",0,0,0,0,0,0,0,0,0,0,0
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,"9,661,000",0,"144,774,000",0,0,0,0,0,0,0,0,0
* Non Interest Bearing Short Term Liability,"517,012,000","449,186,000","157,828,000","900,721,000","343,387,000","755,588,000","661,088,000","536,655,000","355,360,000","357,196,000","203,491,000","261,267,000"
Trades Payables,"517,012,000","449,186,000","157,828,000","900,721,000","343,387,000","755,588,000","661,088,000","536,655,000","355,360,000","357,196,000","203,491,000","261,267,000"
Total Current Liabilities,"634,217,000","536,509,000","303,507,000","900,721,000","343,387,000","755,588,000","661,088,000","536,655,000","355,360,000","357,196,000","203,491,000","261,267,000"
Total Liabilities,"680,314,000","548,081,000","314,232,000","909,887,000","349,467,000","759,948,000","664,909,000","538,202,000","355,360,000","357,196,000","203,491,000","261,267,000"
Paid Up Capital,"192,000,000","192,000,000","192,000,000","192,000,000","192,000,000","192,000,000","192,000,000","192,000,000","192,000,000","192,000,000","192,000,000","192,000,000"
Reserves,"590,269,000","449,914,000","340,350,000","329,946,000","524,585,000","646,099,000","527,861,000","487,735,000","234,322,000","172,732,000","197,297,000","171,413,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"782,269,000","641,914,000","532,350,000","521,946,000","716,585,000","838,099,000","719,861,000","679,735,000","426,322,000","364,732,000","389,297,000","363,413,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"19,200,000","19,200,000","19,200,000","19,200,000","19,200,000","19,200,000","20,000,000","19,200,000","19,200,000","19,200,000","19,200,000","19,200,000"
