Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Sales,"1,971,294,000","1,962,721,000","1,828,717,000","1,834,575,000","1,902,154,000","2,079,790,000","2,060,302,000","1,769,225,000","1,408,301,000","1,032,769,000","796,671,000","727,573,000"
COGS,"1,313,194,000","1,310,766,000","1,233,559,000","1,506,003,000","1,482,919,000","1,551,442,000","1,600,903,000","1,143,145,000","1,017,362,000","768,631,000","550,743,000","457,963,000"
Gross Profit,"658,100,000","651,955,000","595,158,000","328,572,000","419,235,000","528,348,000","459,399,000","626,080,000","390,939,000","264,138,000","245,928,000","269,610,000"
Administrative Expenses,"47,132,000","45,786,000","29,132,000","22,234,000","72,678,000","58,328,000","56,525,000","47,379,000","33,056,000","35,248,000","43,756,000","50,138,000"
Selling & Distributive Expenses,"287,045,000","328,538,000","336,221,000","302,272,000","291,378,000","313,440,000","288,009,000","257,467,000","253,704,000","218,669,000","186,207,000","147,090,000"
Financial Charges,"5,891,000","7,593,000","8,930,000","17,000","27,000","95,000","45,000","50,000","314,000","311,000","25,000","301,000"
Other Income,"59,972,000","30,244,000","2,910,000","11,562,000","20,787,000","80,390,000","54,141,000","43,474,000","26,397,000","51,998,000","42,521,000","52,642,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"26,473,000","41,811,000","107,217,000","99,028,000","1,445,000","4,470,000","5,452,000","29,465,000","2,691,000","19,491,000",0,0
EBITDA,"367,385,000","266,064,000","125,498,000","-83,400,000","74,521,000","232,500,000","163,554,000","336,675,000","130,412,000","44,073,000","59,237,000","125,766,000"
EBIT,"357,422,000","266,064,000","125,498,000","-83,400,000","74,521,000","232,500,000","163,554,000","335,243,000","127,885,000","42,728,000","58,486,000","125,024,000"
EBT,"351,531,000","258,471,000","116,568,000","-83,417,000","74,494,000","232,405,000","163,509,000","335,193,000","127,571,000","42,417,000","58,461,000","124,723,000"
Tax,"129,407,000","94,078,000","112,246,000","110,045,000","103,817,000","115,808,000","105,798,000","81,780,000","65,981,000","66,982,000","32,577,000","15,369,000"
PAT,"222,124,000","164,393,000","4,322,000","-193,462,000","-29,323,000","116,597,000","57,711,000","253,413,000","61,590,000","-24,565,000","25,884,000","109,354,000"
EPS,11.57,8.56,0.23,-10.08,-1.53,6.07,3.01,13.2,3.21,-1.28,1.35,5.7
