Year,2016,2015,2014,2013,2012,2011,2010,2009,2008
Fixed Assets,"41,303,796","45,375,623","42,093,546","34,687,877","35,817,460","37,269,351","37,329,736","35,981,652","36,215,525"
Investments,"28,188,818","28,346,680","28,302,048","28,268,184","26,879,065","28,183,889","43,946,892","83,877,214","111,956,166"
Cash in Hand and Bank,"48,780,548","33,336,841","10,535,411","12,012,747","16,739,483","5,366,650","8,241,182","10,572,852","4,193,425"
Stores and Spares,"1,454,887","1,275,527","1,512,419","2,001,202","2,178,591","1,774,167","1,017,595","498,525","109,020"
Stock in Trade,"128,657,739","119,136,229","101,278,533","101,430,109","91,378,752","90,143,639","79,386,117","71,989,866","63,895,929"
Trade Debts,"16,755,894","22,629,007","27,004,079","9,142,932","23,484,390","23,150,361","29,324,716","22,587,199","22,975,270"
Current Assets,"239,658,829","210,361,688","186,329,949","149,314,313","153,351,795","144,705,356","141,546,318","124,190,922","121,343,532"
Quick Assets,"109,546,203","89,949,932","83,538,997","45,883,002","59,794,452","52,787,550","61,142,606","51,702,531","57,338,583"
Total Assets,"309,801,246","284,733,794","239,348,750","212,912,700","216,690,646","212,713,381","221,385,731","242,134,273","267,970,432"
Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,0,0,0,0,0,0,0,0,0
* Non Interest Bearing Short Term Liability,"49,337,186","48,748,298","39,557,139","26,516,185","33,281,903","23,812,957","17,808,590","16,879,540","16,469,232"
Trades Payables,"49,337,186","48,748,298","39,557,139","26,516,185","33,281,903","23,812,957","17,808,590","16,879,540","16,469,232"
Total Current Liabilities,"52,518,606","50,766,958","41,813,012","29,086,243","35,424,331","26,303,195","20,205,056","18,939,821","19,683,117"
Total Liabilities,"52,518,606","50,766,958","41,813,012","29,086,243","35,424,331","26,303,195","20,205,056","18,939,821","19,683,117"
Paid Up Capital,"73,493,410","73,493,410","73,493,410","73,493,410","73,493,410","73,493,410","73,493,410","16,331,870","16,331,870"
Reserves,"183,789,230","160,473,426","124,042,328","110,333,047","107,772,905","112,916,776","127,687,265","206,862,582","231,955,445"
Preferred Equity,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0
Shareholder Equity,"257,282,640","233,966,836","197,535,738","183,826,457","181,266,315","186,410,186","201,180,675","223,194,452","248,287,315"
Paid Up Value,10,10,10,10,10,10,10,10,10
Number of Shares,"7,349,341","7,349,341","7,349,341","7,349,341","7,349,341","7,349,341","7,349,341","1,633,187","1,633,187"
