Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Fixed Assets,"5,087,420,000","5,127,169,000","4,247,309,000","3,669,151,000","3,168,699,000","1,935,858,000","1,913,568,000","1,938,491,000","1,746,827,000","1,820,663,000","1,877,157,000","1,894,228,000"
Investments,"13,240,000","16,091,000","15,363,000","10,114,000","6,019,000","3,321,000","2,924,000","1,848,000","655,000","836,000",0,0
Cash in Hand and Bank,"182,749,000","155,931,000","91,120,000","99,572,000","116,851,000","241,769,000","220,159,000","187,680,000","148,422,000","122,406,000","99,710,000","146,292,000"
Stores and Spares,"629,508,000","659,566,000","596,494,000","489,293,000","496,552,000","491,657,000","462,164,000","408,060,000","385,806,000","372,207,000","356,248,000","370,458,000"
Stock in Trade,"3,318,231,000","3,721,748,000","3,324,857,000","2,074,728,000","1,570,594,000","1,456,593,000","1,999,156,000","1,788,330,000","1,881,404,000","2,280,412,000","1,372,150,000","725,690,000"
Trade Debts,"1,157,946,000","1,237,309,000","1,027,027,000","879,333,000","1,024,670,000","851,269,000","1,390,553,000","1,186,976,000","949,821,000","848,001,000","856,577,000","680,286,000"
Current Assets,"6,746,654,000","7,278,420,000","6,350,173,000","4,824,967,000","3,558,021,000","3,362,778,000","4,603,229,000","4,035,930,000","3,711,170,000","3,930,458,000","2,923,361,000","2,062,500,000"
Quick Assets,"2,798,915,000","2,897,106,000","2,428,822,000","2,260,946,000","1,490,875,000","1,414,528,000","2,141,909,000","1,839,540,000","1,443,960,000","1,277,839,000","1,194,963,000","966,352,000"
Total Assets,"11,871,265,000","12,475,052,000","10,686,095,000","8,602,886,000","6,812,509,000","5,348,065,000","6,563,164,000","6,005,742,000","5,472,914,000","5,765,184,000","4,813,373,000","3,966,239,000"
Interest Bearing Long Term Liability,"1,135,773,000","1,020,748,000","1,247,285,000","1,018,583,000","920,276,000","383,334,000","100,001,000","166,667,000",0,"86,643,000","173,286,000","321,250,000"
Non Interest Bearing Long Term Liability,"9,861,000","9,351,000","9,351,000","9,471,000",0,"8,990,000","11,170,000","9,320,000","9,220,000","9,110,000","8,640,000","9,720,000"
Interest Bearing Short Term Liability,"5,363,880,000","5,484,408,000","3,160,051,000","1,679,333,000","988,966,000","869,085,000","2,961,209,000","2,136,143,000","1,986,100,000","2,318,444,000","1,839,153,000","1,489,427,000"
* Non Interest Bearing Short Term Liability,"1,965,966,000","1,914,593,000","1,987,229,000","1,339,186,000","1,325,965,000","1,185,089,100","916,746,000","1,345,363,000","1,518,988,000","1,427,171,000","1,103,300,000","827,819,000"
Trades Payables,"1,794,516,000","1,783,757,000","1,928,381,000","1,281,726,000","1,293,036,000","1,183,356,000","838,429,000","1,282,552,000","1,445,412,000","1,345,845,000","1,020,721,000","754,365,000"
Total Current Liabilities,"7,398,333,000","7,468,539,000","5,214,722,000","3,139,047,000","2,424,213,000","2,145,566,000","3,981,312,000","3,553,581,000","3,577,053,000","3,821,318,000","2,996,257,000","2,383,332,000"
Total Liabilities,"8,916,974,000","9,134,270,000","7,114,899,000","4,806,500,000","3,862,987,000","2,989,918,000","4,532,174,000","4,206,891,000","3,949,880,000","4,295,457,000","3,482,703,000","2,853,895,000"
Paid Up Capital,"1,219,334,000","1,016,112,000","597,713,000","597,713,000","597,713,000","597,713,000","597,713,000","597,713,000","597,713,000","597,713,000","597,713,000","597,713,000"
Reserves,"1,734,957,000","2,324,670,000","2,973,483,000","3,198,673,000","2,351,809,000","1,760,434,000","1,433,277,000","1,201,138,000","925,321,000","872,014,000","732,957,000","514,631,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"2,954,291,000","3,340,782,000","3,571,196,000","3,796,386,000","2,949,522,000","2,358,147,000","2,030,990,000","1,798,851,000","1,523,034,000","1,469,727,000","1,330,670,000","1,112,344,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"121,933,400","101,611,200","59,771,300","59,771,250","59,771,250","59,771,250","59,771,250","59,771,250","59,771,250","59,771,250","59,771,250","59,771,250"
