Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Sales,"8,793,341,000","10,486,282,000","11,785,457,000","9,645,367,000","9,479,045,000","9,491,652,000","8,606,649,000","8,167,086,000","7,806,470,000","7,477,695,000","6,355,293,000","5,351,341,000"
COGS,"7,744,581,000","8,896,798,000","9,699,779,000","7,589,305,000","7,157,029,000","7,553,193,000","7,011,584,000","6,838,488,000","6,808,073,000","6,479,592,000","5,389,956,000","4,810,589,000"
Gross Profit,"1,048,760,000","1,589,484,000","2,085,678,000","2,056,062,000","2,322,016,000","1,938,459,000","1,595,065,000","1,328,598,000","998,397,000","998,103,000","965,337,000","540,752,000"
Administrative Expenses,"275,675,000","296,870,000","322,390,000","247,790,000","210,598,000","200,241,000","188,307,000","138,137,000","116,373,000","101,755,000","87,950,000","79,928,000"
Selling & Distributive Expenses,"415,593,000","395,422,000","497,851,000","452,016,000","399,335,000","331,593,000","357,994,000","307,027,000","230,711,000","198,931,000","206,641,000","173,277,000"
Financial Charges,"848,806,000","585,032,000","256,782,000","124,064,000","136,159,000","258,301,000","326,251,000","289,217,000","381,671,000","318,633,000","259,916,000","300,830,000"
Other Income,"65,255,000","72,238,000","80,901,000","67,032,000","68,328,000","65,964,000","119,380,000","69,550,000","49,129,000","65,968,000","49,715,000","44,306,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"20,605,000","130,761,000","149,511,000","115,002,000","149,509,000","117,253,000","93,677,000","84,157,000","71,455,000","49,394,000","51,259,000","173,293,000"
EBITDA,"892,871,000","1,244,482,000","1,563,976,000","1,564,486,000","1,811,521,000","1,525,572,000","1,237,659,000","1,021,335,000","777,755,000","863,218,000","813,441,000","285,195,000"
EBIT,"402,142,000","838,669,000","1,196,827,000","1,308,286,000","1,630,902,000","1,355,336,000","1,074,467,000","868,827,000","628,987,000","713,991,000","669,202,000","158,560,000"
EBT,"-446,664,000","253,637,000","940,045,000","1,184,222,000","1,494,743,000","1,097,035,000","748,216,000","579,610,000","247,316,000","395,358,000","409,286,000","-142,270,000"
Tax,"-114,573,000","130,761,000","224,494,000","302,825,000","462,456,000","364,180,000","234,475,000","184,250,000","44,581,000","136,758,000","190,960,000","-32,446,000"
PAT,"-332,091,000","122,876,000","715,551,000","881,397,000","1,032,287,000","732,180,000","513,741,000","395,360,000","202,735,000","258,600,000","218,326,000","-109,824,000"
EPS,-2.72,1.21,11.97,14.75,17.27,12.26,8.6,6.61,3.39,4.33,3.65,-1.84
