Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Payout,0.00,0.00,50.12,101.72,0.00,57.14,75.62,68.03,58.97,57.78,54.75,0.00
Plow Back,100.00,100.00,49.88,-1.72,100.00,42.86,24.38,31.97,41.03,42.22,45.25,100.00
Return on Equity,-11.24,3.68,20.04,23.22,35.00,31.05,25.30,21.98,13.31,17.59,16.41,-9.87
Return on Assets,-2.80,0.98,6.70,10.25,15.15,13.69,7.83,6.58,3.70,4.49,4.54,-2.77
Book Value per Share,24.23,32.88,59.75,63.52,49.35,39.45,33.98,30.10,25.48,24.59,22.26,18.61
Earning Per Share,-2.72,1.21,11.97,14.75,17.27,12.26,8.60,6.61,3.39,4.33,3.65,-1.84
Net Working Capital to Total Asseets,-0.05,-0.02,0.11,0.20,0.17,0.23,0.09,0.08,0.02,0.02,-0.02,-0.08
Current Ratio,0.91,0.97,1.22,1.54,1.47,1.57,1.16,1.14,1.04,1.03,0.98,0.87
Acid Test,0.38,0.39,0.47,0.72,0.61,0.66,0.54,0.52,0.40,0.33,0.40,0.41
Times Interest Earned,0.47,1.43,4.66,10.55,11.98,5.25,3.29,3.00,1.65,2.24,2.57,0.53
Total Debt Ratio,0.75,0.73,0.67,0.56,0.57,0.56,0.69,0.70,0.72,0.75,0.72,0.72
Debt To Equity,3.02,2.73,1.99,1.27,1.31,1.27,2.23,2.34,2.59,2.92,2.62,2.57
Return on Capital Employed,0.09,0.17,0.22,0.24,0.37,0.42,0.42,0.35,0.33,0.37,0.37,0.10
Average Collection Period,48.06,43.07,31.81,33.28,39.46,32.73,58.97,53.05,44.41,41.39,49.20,46.40
Days sales Inventory,186.06,179.75,147.56,123.31,105.42,94.15,128.13,117.23,121.55,149.42,117.05,83.17
Total Assets Turnover,0.74,0.84,1.10,1.12,1.39,1.77,1.31,1.36,1.43,1.30,1.32,1.35
Gross Profit Margin,11.93,15.16,17.70,21.32,24.50,20.42,18.53,16.27,12.79,13.35,15.19,10.11
Net Profit Margin,-3.78,1.17,6.07,9.14,10.89,7.71,5.97,4.84,2.60,3.46,3.44,-2.05
