Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2010,2009,2008
Fixed Assets,"20,303,484,000","18,241,973,000","19,136,955,000","18,677,798,000","15,397,173,000","13,722,670,000","13,159,141,000","11,476,898,000","11,497,131,000","12,044,869,000","10,259,678,000","9,199,686,000"
Investments,0,0,0,"20,000,000","104,172,000",0,0,0,0,0,0,"653,000"
Cash in Hand and Bank,"431,400,000","431,760,000","107,869,000","103,632,000","384,924,000","178,699,000","32,964,000","22,718,000","16,777,000","21,140,000","67,980,000","156,506,000"
Stores and Spares,"1,739,944,000","1,530,955,000","1,570,322,000","1,133,278,000","878,719,000","812,526,000","580,663,000","647,243,000","383,978,000","351,604,000","278,334,000","262,388,000"
Stock in Trade,"527,599,000","898,581,000","632,241,000","624,850,000","290,099,000","624,954,000","887,682,000","167,020,000","112,122,000","109,483,000","371,989,000","77,753,000"
Trade Debts,"592,680,000","626,963,000","557,366,000","509,006,000","360,210,000","240,255,000","252,013,000","188,929,000","129,592,000","33,762,000","52,694,000",0
Current Assets,"5,157,726,000","4,947,128,000","3,591,975,000","4,282,706,000","2,560,928,000","2,070,404,000","1,929,682,000","1,209,835,000","977,091,000","819,327,000","1,203,029,000","1,128,354,000"
Quick Assets,"2,890,183,000","2,517,592,000","1,389,412,000","2,524,578,000","1,392,110,000","632,924,000","461,337,000","395,572,000","480,991,000","358,240,000","552,706,000","788,213,000"
Total Assets,"25,510,082,000","23,262,396,000","22,843,005,000","21,615,065,000","18,052,290,000","15,883,604,000","15,179,894,000","12,901,950,000","12,528,415,000","12,922,111,000","11,525,061,000","10,419,551,000"
Interest Bearing Long Term Liability,"2,488,998,000","2,909,384,000","2,994,763,000","3,675,833,000","2,724,118,000","1,489,620,000","2,323,642,000","3,800,694,000","3,640,384,000","3,371,563,000","3,221,700,000","5,665,364,000"
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,"805,393,000","1,099,749,000","1,121,531,000","684,614,000","426,264,000","1,104,036,000","1,006,128,000","1,392,301,000","1,542,603,000","1,804,616,000","3,333,476,000","761,845,000"
* Non Interest Bearing Short Term Liability,"3,757,860,000","3,367,085,000","3,918,939,000","2,737,281,000","1,461,552,000","2,120,634,000","2,226,935,000","1,453,596,000","1,803,404,000","3,030,644,000","2,356,534,000","1,036,856,000"
Trades Payables,"3,596,641,000","3,282,647,000","3,655,564,000","2,676,233,000","1,310,092,000","1,466,913,000","1,618,068,000","862,653,000","852,326,000","1,601,621,000","1,309,743,000","684,227,000"
Total Current Liabilities,"4,661,163,000","4,501,227,000","5,044,568,000","4,282,706,000","3,054,820,000","4,283,740,000","3,877,147,000","3,152,207,000","3,851,410,000","4,835,260,000","5,690,010,000","1,798,701,000"
Total Liabilities,"11,003,968,000","10,780,950,000","10,352,448,000","10,234,020,000","8,224,306,000","8,401,881,000","8,869,776,000","8,968,085,000","9,787,856,000","8,921,690,000","9,058,745,000","7,583,387,000"
Paid Up Capital,"4,002,739,000","4,002,739,000","4,002,739,000","4,002,739,000","4,002,739,000","4,002,739,000","4,002,739,000","4,002,739,000","4,002,739,000","2,318,764,000","2,318,764,000","2,318,764,000"
Reserves,"5,476,138,000","5,392,574,000","5,082,961,000","4,004,397,000","2,316,298,000","43,127,000","-1,420,184,000","-2,339,643,000","-3,462,382,000","-678,507,000","-863,555,000","-524,049,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,"5,027,237,000","3,086,133,000","3,404,857,000","3,373,909,000","3,508,947,000","3,435,857,000","3,727,563,000","2,270,769,000","2,200,202,000","2,360,164,000","1,011,107,000","1,041,449,000"
Shareholder Equity,"14,506,114,000","12,481,446,000","12,490,557,000","11,381,045,000","9,827,984,000","7,481,723,000","6,310,118,000","3,933,865,000","2,740,559,000","4,000,421,000","2,466,316,000","2,836,164,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"400,273,900","400,273,900","400,273,900","400,273,960","400,273,960","400,273,960","400,273,960","400,273,960","400,273,960","231,876,417","231,876,417","231,876,417"
