Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2010,2009,2008
Sales,"8,714,089,000","11,355,918,000","11,484,392,000","11,222,789,000","10,522,318,000","9,601,246,000","8,547,263,000","6,230,216,000","4,976,032,000","2,113,818,000","1,250,254,000",0
COGS,"8,627,816,000","8,715,542,000","8,771,957,000","7,368,843,000","6,350,064,000","6,632,635,000","6,197,024,000","4,531,002,000","3,986,902,000","2,628,699,000","1,126,459,000","75,230,000"
Gross Profit,"86,273,000","2,640,376,000","2,712,435,000","3,853,946,000","4,172,254,000","2,968,611,000","2,350,239,000","1,699,214,000","989,130,000","-514,881,000","123,795,000","-75,230,000"
Administrative Expenses,"332,430,000","376,969,000","383,201,000","320,295,000","307,069,000","255,594,000","149,455,000","140,517,000","161,123,000","82,870,000","68,157,000","71,778,000"
Selling & Distributive Expenses,"22,121,000","213,661,000","26,328,000","27,530,000","20,703,000","20,633,000","23,848,000","17,140,000","25,383,000","292,689,000","8,793,000","5,408,000"
Financial Charges,"606,607,000","607,873,000","429,535,000","308,059,000","266,014,000","504,737,000","634,810,000","770,936,000","989,224,000","1,184,656,000","370,766,000","154,047,000"
Other Income,"367,500,000","49,152,000","37,660,000","62,879,000","353,672,000","1,890,000","2,135,000","378,153,000","14,833,000","37,914,000","10,702,000","13,281,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"54,304,000","111,116,000","127,482,000","216,202,000","224,663,000","97,770,000","134,329,000","82,754,000","19,907,000","105,049,000","45,771,000","400,000"
EBITDA,"990,508,000","2,979,816,000","3,165,239,000","4,066,905,000","4,642,244,000","3,277,126,000","2,638,354,000","2,180,415,000","1,123,639,000","-716,968,000","180,311,000","-345,580,000"
EBIT,"44,918,000","1,987,782,000","2,213,084,000","3,352,798,000","3,973,491,000","2,596,504,000","2,044,742,000","1,836,956,000","797,550,000","-957,575,000","11,776,000","-410,099,000"
EBT,"-561,689,000","1,379,909,000","1,783,549,000","3,044,739,000","3,707,477,000","2,091,767,000","1,409,932,000","1,066,020,000","-191,674,000","-2,142,231,000","-358,990,000","-564,146,000"
Tax,"-693,006,000","643,497,000","273,895,000","760,980,000","1,013,573,000","807,898,000","561,334,000","15,475,000","49,760,000","-1,114,741,000","10,858,000","-47,884,000"
PAT,"131,317,000","736,412,000","1,509,654,000","2,283,759,000","2,693,904,000","1,283,869,000","848,598,000","1,050,545,000","-241,434,000","-1,027,490,000","-369,848,000","-516,262,000"
EPS,0.33,1.84,3.77,5.71,6.73,3.21,2.12,2.62,-0.6,-4.43,-1.6,-4.34
