Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Fixed Assets,"2,495,847,000","2,478,920,000","2,645,188,000","2,692,170,000","2,161,885,000","1,542,980,000","1,353,601,000","952,130,000","771,839,000","795,194,000","817,860,000","834,424,000"
Investments,"2,696,602,000","2,299,658,000","2,948,619,000","2,403,065,000","2,025,968,000","4,520,822,000","1,451,587,000","3,127,130,000","2,001,263,000","923,856,000","695,432,000","555,710,000"
Cash in Hand and Bank,"4,071,821,000","2,464,584,000","766,875,000","924,206,000","2,575,276,000","296,863,000","2,198,559,000","331,639,000","636,083,000","1,222,138,000","1,307,268,000","1,595,667,000"
Stores and Spares,"189,864,000","171,935,000","162,734,000","119,735,000","108,843,000","113,583,000","87,983,000","99,876,000","89,561,000","76,762,000","68,782,000","58,386,000"
Stock in Trade,"876,021,000","1,840,405,000","2,764,095,000","1,673,612,000","401,847,000","719,141,000","956,881,000","698,845,000","897,543,000","580,092,000","319,376,000","211,039,000"
Trade Debts,"149,005,000","387,297,000","511,542,000","254,380,000","64,168,000","391,479,000","619,832,000","284,227,000","397,115,000","185,699,000","114,178,000","353,397,000"
Current Assets,"5,904,354,000","5,959,710,000","4,857,577,000","4,036,776,000","4,428,079,000","4,609,485,000","4,167,349,000","3,926,616,000","2,497,320,000","2,287,890,000","1,915,962,000","2,409,420,000"
Quick Assets,"4,838,469,000","3,947,370,000","1,930,748,000","2,243,429,000","3,917,389,000","3,776,761,000","3,122,485,000","3,127,895,000","1,510,216,000","1,631,036,000","1,527,804,000","2,139,995,000"
Total Assets,"11,106,205,000","10,749,005,000","10,460,111,000","9,142,609,000","8,624,071,000","7,870,576,000","6,980,891,000","5,884,486,000","5,277,629,000","4,016,747,000","3,436,062,000","3,806,509,000"
Interest Bearing Long Term Liability,"13,948,000",0,0,0,0,0,0,0,0,0,0,0
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,"5,178,000",0,0,0,0,0,0,0,0,0,0,"426,000,000"
* Non Interest Bearing Short Term Liability,"2,027,986,000","2,004,077,000","1,500,164,000","1,368,854,000","1,641,396,000","1,651,555,000","1,203,746,000","911,734,000","599,898,000","345,626,000","469,409,000","778,949,000"
Trades Payables,"2,027,986,000","2,004,077,000","1,500,164,000","1,368,854,000","1,641,396,000","1,651,555,000","1,203,746,000","911,734,000","599,898,000","345,626,000","469,409,000","774,314,000"
Total Current Liabilities,"2,440,295,000","2,604,312,000","2,270,141,000","2,060,774,000","1,988,634,000","1,908,354,000","1,441,639,000","1,176,719,000","1,141,278,000","417,157,000","498,340,000","1,265,349,000"
Total Liabilities,"2,483,243,000","2,673,312,000","2,356,141,000","2,159,274,000","2,092,634,000","2,010,354,000","1,531,639,000","1,251,719,000","1,222,778,000","498,657,000",0,0
Paid Up Capital,"750,000,000","750,000,000","750,000,000","750,000,000","750,000,000","750,000,000","750,000,000","750,000,000","750,000,000","750,000,000","600,000,000","480,000,000"
Reserves,"7,872,962,000","7,325,693,000","7,353,970,000","6,233,335,000","5,781,437,000","5,110,222,000","4,699,252,000","3,882,767,000","3,304,851,000","2,768,090,000","2,251,222,000","1,973,660,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"8,622,962,000","8,075,693,000","8,103,970,000","6,983,335,000","6,531,437,000","5,860,222,000","5,449,252,000","4,632,767,000","4,054,851,000","3,518,090,000","2,851,222,000","2,453,660,000"
Paid Up Value,5,5,5,5,5,5,5,5,5,5,5,5
Number of Shares,"150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","120,000,000","96,000,000"
