Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Sales,"10,138,211,000","9,873,134,000","7,758,520,000","7,134,930,000","8,517,094,000","8,197,388,000","9,050,916,000","8,812,069,000","7,096,467,000","7,467,944,000","5,919,338,000","4,584,186,000"
COGS,"9,038,874,000","8,381,862,000","6,484,368,000","6,544,790,000","7,499,710,000","7,222,293,000","7,983,079,000","7,607,698,000","5,847,461,000","6,201,551,000","4,960,283,000","3,720,221,000"
Gross Profit,"1,099,337,000","1,491,272,000","1,274,152,000","590,140,000","1,017,384,000","975,095,000","1,067,837,000","1,204,371,000","1,249,006,000","1,266,393,000","959,055,000","863,965,000"
Administrative Expenses,"201,393,000","191,074,000","176,524,000","157,764,000","146,174,000","138,593,000","129,552,000","125,342,000","119,501,000","103,778,000","93,626,000","79,678,000"
Selling & Distributive Expenses,"231,394,000","274,294,000","252,147,000","175,440,000","153,447,000","191,582,000","204,977,000","218,366,000","180,002,000","153,401,000","128,129,000","141,118,000"
Financial Charges,"63,992,000","69,728,000","42,139,000","62,482,000","62,226,000","89,050,000","59,789,000","12,926,000","55,861,000","45,380,000",0,0
Other Income,"460,946,000","464,641,000","212,317,000","335,017,000","369,775,000","481,945,000","332,694,000","172,014,000","164,995,000","165,216,000","79,404,000","60,934,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"259,209,000","78,541,000","56,883,000","32,054,000","54,350,000","67,585,000","84,122,000","87,193,000","77,487,000","79,034,000","57,169,000","49,287,000"
EBITDA,"1,114,696,000","1,662,696,000","1,260,309,000","752,385,000","1,184,911,000","1,178,616,000","1,086,195,000","1,027,320,000","1,116,379,000","1,174,955,000","840,409,000","739,498,000"
EBIT,"868,287,000","1,412,004,000","1,000,915,000","559,899,000","1,033,188,000","1,059,280,000","981,880,000","945,484,000","1,037,011,000","1,095,396,000","759,535,000","654,816,000"
EBT,"804,295,000","1,342,276,000","958,776,000","497,417,000","970,962,000","970,230,000","922,091,000","932,558,000","981,150,000","1,050,016,000","759,535,000","654,816,000"
Tax,"110,000,000","140,000,000","57,500,000","-60,000,000","146,000,000","155,000,000","125,000,000","155,000,000","200,000,000","295,000,000","225,000,000","165,000,000"
PAT,"694,295,000","1,202,276,000","901,276,000","557,417,000","824,962,000","815,230,000","797,091,000","777,558,000","781,150,000","755,016,000","534,535,000","489,816,000"
EPS,4.63,8.02,6.01,3.72,5.5,5.43,5.31,5.18,5.21,5.03,4.45,4.08
