Year,2019,2018,2017,2016,2015,2014,2013,2012
Fixed Assets,"33,870,864,000","22,563,232,000","13,680,349,000","8,688,947,000","6,277,928,000","3,290,784,000","2,286,425,000","1,723,990,000"
Investments,"4,375,853,000","1,333,814,000","1,899,518,000","1,961,977,000","1,955,310,000","781,542,000",0,0
Cash in Hand and Bank,"13,586,382,000","8,799,447,000","9,628,057,000","7,821,070,000","4,071,547,000","1,760,933,000","864,748,000","445,902,000"
Stores and Spares,0,0,0,0,0,0,0,0
Stock in Trade,"19,219,871,000","22,615,303,000","18,557,106,000","16,477,668,000","8,470,018,000","3,473,704,000","3,753,723,000","617,090,000"
Trade Debts,"11,040,583,000","13,552,235,000","11,518,218,000","7,871,281,000","4,263,595,000","4,548,823,000","2,716,778,000","1,300,814,000"
Current Assets,"48,757,423,000","49,485,355,000","42,183,808,000","33,710,180,000","17,915,595,000","10,974,980,000","6,706,606,000","2,595,149,000"
Quick Assets,"29,537,552,000","26,870,052,000","23,626,702,000","17,232,512,000","9,445,577,000","7,501,276,000","2,952,883,000","1,978,059,000"
Total Assets,"87,474,651,000","73,932,738,000","58,095,212,000","44,649,986,000","26,619,082,000","15,617,158,000","9,354,706,000","4,510,843,000"
Interest Bearing Long Term Liability,"3,970,413,000","3,641,843,000","2,617,766,000","2,779,480,000","499,081,000","327,275,000","143,425,000","274,883,000"
Non Interest Bearing Long Term Liability,0,0,0,0,"64,132,000",0,"90,872,000","81,423,000"
Interest Bearing Short Term Liability,"38,556,478,000","20,348,688,000","8,062,716,000","4,637,095,000","1,801,288,000","1,588,551,000","803,917,000","526,995,000"
* Non Interest Bearing Short Term Liability,"51,774,606,000","34,843,123,000","34,438,631,000","29,913,943,000","17,409,907,000","8,163,022,000","6,422,268,000","2,229,826,000"
Trades Payables,"50,225,203,000","34,531,147,000","34,321,373,000","29,822,758,000","17,355,596,000","8,103,145,000","6,404,267,000","2,221,920,000"
Total Current Liabilities,"92,160,684,000","56,874,605,000","43,798,288,000","35,034,907,000","20,171,147,000","12,058,676,000","7,629,517,000","3,066,758,000"
Total Liabilities,"96,388,379,000","61,447,748,000","47,829,176,000","38,544,968,000","20,833,450,000","12,517,795,000","7,910,868,000","3,454,157,000"
Paid Up Capital,"1,991,207,000","1,810,188,000","1,448,150,000","1,206,792,000","1,206,792,000","906,000,000","656,000,000","656,000,000"
Reserves,"-14,937,988,000","6,285,646,000","7,792,097,000","3,755,346,000","3,322,311,000","1,872,813,000","429,462,000","4,485,000"
Preferred Equity,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,"4,033,053,000","4,389,156,000","1,025,789,000","1,142,880,000","1,256,529,000","320,550,000","358,376,000","396,201,000"
Shareholder Equity,"-8,913,728,000","12,484,990,000","10,266,036,000","6,105,018,000","5,785,632,000","3,099,363,000","1,443,838,000","1,056,686,000"
Paid Up Value,10,10,10,10,10,10,10,10
Number of Shares,"199,120,700","181,018,800","144,815,000","120,679,200","120,679,200","90,600,000","65,600,000","65,600,000"
