Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Sales,"55,046,264,000","95,128,289,000","91,522,872,000","62,802,753,000","40,085,521,000","37,764,159,000","39,153,254,000","30,274,604,000","16,599,608,000","22,026,109,000","15,854,142,000","14,149,646,000"
COGS,"50,955,042,000","87,824,215,000","81,073,777,000","53,681,061,000","34,038,741,000","32,991,341,000","36,296,009,000","28,827,522,000","16,643,607,000","21,826,799,000","16,093,687,000","13,973,144,000"
Gross Profit,"4,091,222,000","7,304,074,000","10,449,095,000","9,121,692,000","6,046,780,000","4,772,818,000","2,857,245,000","1,447,082,000","-43,999,000","199,310,000","-239,545,000","176,502,000"
Administrative Expenses,"738,757,000","800,040,000","677,602,000","497,269,000","351,863,000","319,940,000","287,026,000","201,908,000","158,943,000","171,729,000","136,131,000","139,749,000"
Selling & Distributive Expenses,"667,901,000","931,787,000","916,906,000","542,321,000","333,046,000","434,257,000","340,556,000","218,707,000","130,550,000","139,185,000","124,916,000","190,088,000"
Financial Charges,"727,444,000","11,189,000","14,476,000","23,443,000","6,991,000","18,666,000","38,075,000","190,967,000","151,926,000","152,255,000","455,128,000","222,769,000"
Other Income,"638,618,000","1,313,522,000","1,883,025,000","1,115,189,000","309,777,000","218,979,000","270,548,000","213,434,000","204,456,000","83,977,000","26,368,000","64,844,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"1,048,538,000","1,281,007,000","1,244,569,000","537,523,000","485,775,000","451,897,000","364,890,000","524,117,000","217,842,000","64,945,000","58,628,000","311,025,000"
EBITDA,"3,237,705,000","6,580,010,000","10,317,408,000","9,217,073,000","5,665,411,000","4,488,773,000","2,821,759,000","1,315,189,000","323,259,000","600,127,000","294,474,000","162,179,000"
EBIT,"2,274,644,000","5,604,762,000","9,493,043,000","8,659,768,000","5,185,873,000","3,785,703,000","2,135,321,000","715,784,000","-346,878,000","-92,572,000","-532,852,000","-399,516,000"
EBT,"1,547,200,000","5,593,573,000","9,478,567,000","8,636,325,000","5,178,882,000","3,767,037,000","2,097,246,000","524,817,000","-498,804,000","-244,827,000","-987,980,000","-622,285,000"
Tax,"865,448,000","1,742,460,000","2,984,117,000","2,501,335,000","1,623,100,000","604,660,000","1,023,576,000","280,530,000","33,409,000","53,625,000","-135,780,000","-220,452,000"
PAT,"681,752,000","3,851,113,000","6,494,450,000","6,134,990,000","3,555,782,000","3,162,377,000","1,073,670,000","244,287,000","-532,213,000","-298,452,000","-852,200,000","-401,833,000"
EPS,4.77,26.97,45.48,42.96,24.9,22.15,7.52,1.71,-3.73,-2.09,-5.97,-2.81
