Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Payout,20.95,45.05,59.21,30.26,28.11,22.58,39.90,17.54,0.00,0.00,0.00,0.00
Plow Back,79.05,54.95,40.79,69.74,71.89,77.42,60.10,82.46,100.00,100.00,100.00,100.00
Return on Equity,4.12,21.85,38.04,46.96,44.78,61.77,44.90,17.58,-46.48,-17.80,-43.13,-14.21
Return on Assets,2.14,12.00,11.04,11.92,21.94,22.71,8.72,1.61,-5.61,-2.82,-9.51,-4.04
Book Value per Share,115.95,123.44,119.56,91.49,55.61,35.85,16.75,9.73,8.02,11.75,13.84,19.80
Earning Per Share,4.77,26.97,45.48,42.96,24.90,22.15,7.52,1.71,-3.73,-2.09,-5.97,-2.81
Net Working Capital to Total Asseets,0.37,0.38,0.20,0.16,0.27,0.13,-0.08,-0.21,-0.38,-0.27,-0.24,-0.17
Current Ratio,1.80,1.88,1.29,1.22,1.53,1.21,0.89,0.77,0.56,0.67,0.62,0.70
Acid Test,1.02,1.25,1.09,1.04,1.02,0.56,0.49,0.45,0.20,0.25,0.19,0.16
Times Interest Earned,3.13,500.92,655.78,369.40,741.79,202.81,56.08,3.75,-2.28,-0.61,-1.17,-1.79
Total Debt Ratio,0.48,0.45,0.71,0.75,0.51,0.63,0.81,0.91,0.88,0.84,0.78,0.72
Debt To Equity,0.92,0.82,2.44,2.94,1.04,1.72,4.15,9.89,7.28,5.30,3.54,2.52
Return on Capital Employed,0.13,0.31,0.54,0.64,0.64,0.73,0.87,0.51,-0.28,-0.04,-0.16,-0.09
Average Collection Period,5.76,4.31,0.37,0.10,0.79,0.43,0.00,0.00,0.00,0.00,0.00,0.00
Days sales Inventory,82.11,36.74,37.58,46.19,44.32,62.58,39.91,56.05,65.04,59.35,55.58,79.83
Total Assets Turnover,1.73,2.96,1.56,1.22,2.47,2.71,3.18,2.00,1.75,2.08,1.77,1.42
Gross Profit Margin,7.43,7.68,11.42,14.52,15.09,12.64,7.30,4.78,-0.27,0.91,-1.51,1.25
Net Profit Margin,1.24,4.05,7.10,9.77,8.87,8.37,2.74,0.81,-3.21,-1.35,-5.38,-2.84
