Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
Net Premium Revenue,"753,350,000","532,062,000","576,321,000","544,701,000","500,364,000","458,726,000","438,332,000","435,966,000","420,310,000","394,643,000","359,040,000","397,960,000","335,974,000"
Net Claims,"417,753,000","312,495,000","373,716,000","281,560,000","221,739,000","221,537,000","215,023,000","229,906,000","231,180,000","183,787,000","175,704,000","202,219,000","217,176,000"
Direct Expenses,"294,417,000","251,325,000","245,655,000","231,859,000","199,941,000","175,195,000","150,791,000","137,586,000","127,305,000","114,238,000","102,495,000","111,384,000","90,848,000"
Net Commission,"-60,118,000","-78,369,000","-59,246,000","-61,783,000","-45,118,000","-23,591,000","-2,166,000","5,451,000","1,632,000","9,147,000","7,307,000","16,670,000","21,322,000"
Under Writing Results,"101,298,000","46,611,000","16,196,000","78,846,000","117,940,000","86,838,000","73,168,000","63,023,000","60,193,000","87,471,000","73,534,000","67,687,000","6,628,000"
Investment Income,"94,810,000","196,665,000","215,224,000","238,626,000","199,615,000","256,869,000","240,301,000","204,350,000","117,389,000","149,355,000","184,886,000","-390,531,000","443,297,000"
Administrative & Other Expenses,"124,374,000","90,963,000","76,527,000","73,471,000","66,318,000","59,154,000","54,173,000","66,903,000","57,494,000","49,922,000","52,856,000","59,134,000","51,139,000"
Other Income,"25,493,000","5,603,000","7,842,000","41,109,000","7,312,000","8,256,000","11,061,000","9,279,000","28,956,000","5,284,000","5,732,000","4,989,000","8,153,000"
Change In Value of Investement,0,0,0,0,0,0,0,0,0,0,0,0,0
Statutory Funds Transfer,0,0,0,0,0,0,0,0,0,0,0,0,0
EBT,"97,227,000","157,916,000","162,735,000","285,110,000","258,549,000","292,809,000","270,357,000","209,749,000","149,044,000","192,188,000","211,296,000","-379,447,000","407,517,000"
Tax,"27,140,000","52,606,000","52,779,000","93,402,000","31,682,000","32,801,000","26,376,000","14,761,000","22,748,000","23,706,000","6,553,000","16,981,000","-12,861,000"
PAT,"70,087,000","105,310,000","109,956,000","191,708,000","226,867,000","260,008,000","243,981,000","194,988,000","126,296,000","168,482,000","204,743,000","-396,428,000","420,378,000"
EPS,0.57,0.85,0.89,1.55,1.83,2.1,2.46,1.97,1.4,2.1,2.56,-5.57,5.91
