Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Fixed Assets,"3,638,786,000","3,127,741,000","3,096,033,000","2,823,965,000","2,187,347,000","1,995,543,000","1,964,836,000","1,714,507,000","1,779,457,000","1,788,255,000","918,593,000","948,535,000"
Investments,0,0,"72,000","72,000","72,000","423,000","2,266,000","4,434,000","2,391,000",0,0,0
Cash in Hand and Bank,"138,607,000","49,683,000","4,838,879,000","2,872,070,000","3,664,707,000","6,181,541,000","1,419,489,000","173,347,000","124,526,000","63,416,000","63,263,000","70,206,000"
Stores and Spares,"11,481,000","18,740,000","20,718,000","23,335,000","19,555,000","26,940,000","45,212,000","21,549,000","19,194,000","19,794,000","26,340,000","33,309,000"
Stock in Trade,"3,826,491,000","8,019,351,000","4,914,595,000","3,259,661,000","2,769,839,000","1,814,191,000","2,656,382,000","2,161,904,000","2,410,682,000","1,677,525,000","2,949,130,000","2,398,605,000"
Trade Debts,"369,410,000","959,682,000","714,935,000","249,536,000","503,964,000","1,287,210,000","731,067,000","276,904,000","1,823,092,000","482,570,000","906,272,000","1,135,332,000"
Current Assets,"5,770,771,000","11,105,189,000","11,330,872,000","7,188,418,000","7,436,013,000","6,181,541,000","5,543,356,000","3,321,870,000","4,894,546,000","2,752,862,000","4,793,612,000","4,029,418,000"
Quick Assets,"1,932,799,000","3,067,098,000","6,395,559,000","3,905,422,000","4,646,619,000","4,340,410,000","2,841,762,000","1,138,417,000","2,464,670,000","1,055,543,000","1,818,142,000","1,597,504,000"
Total Assets,"9,456,760,000","14,290,676,000","14,469,534,000","10,062,735,000","9,664,326,000","8,221,736,000","7,536,424,000","5,060,978,000","6,693,898,000","4,552,944,000","5,743,371,000","5,007,046,000"
Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0,0,0
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0,"32,000,000","32,000,000"
Interest Bearing Short Term Liability,"4,115,238,000","6,766,074,000",0,0,0,0,0,"645,948,000","1,238,331,000","296,310,000","494,204,000","1,355,557,000"
* Non Interest Bearing Short Term Liability,"3,315,900,000","3,343,029,000","8,393,894,000","5,013,905,000","5,134,308,000","4,054,270,000","3,995,942,000","1,736,429,000","2,763,178,000","1,607,657,000","3,391,605,000","1,661,500,000"
Trades Payables,"3,315,900,000","3,343,029,000","8,393,894,000","5,013,905,000","5,134,308,000","4,054,270,000","3,995,942,000","1,703,736,000","2,721,889,000","1,597,894,000","3,383,884,000","1,616,566,000"
Total Current Liabilities,"7,444,443,000","10,431,950,000","8,885,622,000","5,013,905,000","5,134,308,000","4,054,270,000","3,995,942,000","2,382,377,000","4,001,509,000","1,903,967,000","3,885,809,000","3,017,057,000"
Total Liabilities,"7,747,672,000","10,730,264,000","9,177,435,000","5,295,097,000","5,376,029,000","4,235,661,000","4,151,755,000","2,496,024,000","4,138,134,000","2,024,444,000","3,967,596,000","3,061,501,000"
Paid Up Capital,"124,006,000","124,006,000","124,006,000","124,006,000","124,006,000","124,006,000","124,006,000","124,006,000","124,006,000","124,006,000","124,006,000","124,006,000"
Reserves,"-390,159,000","1,626,362,000","5,168,093,000","2,984,494,000","2,964,733,000","2,645,919,000","2,011,087,000","1,437,958,000","1,405,508,000","1,355,480,000","1,379,973,000","1,544,049,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,"1,975,241,000","1,810,044,000",0,"1,659,138,000","1,199,558,000","1,216,150,000","1,249,576,000","1,002,990,000","1,026,250,000","1,049,014,000","271,796,000","277,490,000"
Shareholder Equity,"1,709,088,000","3,560,412,000","5,292,099,000","4,767,638,000","4,288,297,000","3,986,075,000","3,384,669,000","2,564,954,000","2,555,764,000","2,528,500,000","1,775,775,000","1,945,545,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"12,400,600","12,400,600","12,400,600","12,400,560","12,400,560","12,400,560","12,400,560","12,400,560","12,400,560","12,400,600","12,400,560","12,400,560"
