Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Sales,"13,191,060,000","19,130,839,000","26,615,071,000","22,477,498,000","18,086,850,000","12,636,288,000","9,208,420,000","7,528,140,000","8,766,997,000","9,281,822,000","11,127,551,000","12,151,021,000"
COGS,"13,361,471,000","18,017,525,000","23,580,631,000","20,011,397,000","15,324,774,000","10,662,904,000","7,876,925,000","6,720,619,000","7,858,919,000","8,544,530,000","10,738,070,000","10,871,886,000"
Gross Profit,"-170,411,000","1,113,314,000","3,034,440,000","2,466,101,000","2,762,076,000","1,973,384,000","1,331,495,000","807,521,000","908,078,000","737,292,000","389,481,000","1,279,135,000"
Administrative Expenses,"355,666,000","378,831,000","420,586,000","385,651,000","393,836,000","359,074,000","254,986,000","206,738,000","192,013,000","168,303,000","161,196,000","206,769,000"
Selling & Distributive Expenses,"351,114,000","379,128,000","440,146,000","427,304,000","397,964,000","303,227,000","306,117,000","295,694,000","328,212,000","279,319,000","288,911,000","427,669,000"
Financial Charges,"1,034,779,000","1,021,797,000","679,002,000","80,224,000","304,703,000","-118,171,000","-80,445,000","324,999,000","318,541,000","301,874,000","145,706,000","678,526,000"
Other Income,"82,889,000","147,640,000","300,789,000","254,505,000","192,661,000","261,044,000","164,274,000","71,085,000","113,982,000","56,510,000","76,937,000","169,610,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"14,917,000","1,372,000","125,947,000","130,717,000","131,192,000","137,709,000","80,113,000","6,293,000","9,858,000","3,821,000","1,024,000","19,953,000"
EBITDA,"-578,420,000","739,051,000","2,569,966,000","1,962,632,000","2,183,737,000","1,567,425,000","973,897,000","493,674,000","605,202,000","441,325,000","115,220,000","918,612,000"
EBIT,"-809,219,000","501,623,000","2,348,550,000","1,776,934,000","2,031,745,000","1,434,418,000","854,553,000","369,881,000","491,977,000","342,359,000","15,287,000","794,354,000"
EBT,"-1,843,998,000","-520,174,000","1,669,548,000","1,696,710,000","1,727,042,000","1,552,589,000","934,998,000","44,882,000","173,436,000","40,485,000","-130,419,000","115,828,000"
Tax,"210,978,000","353,123,000","520,173,000","576,809,000","613,667,000","479,365,000","311,059,000","17,799,000","147,726,000","70,625,000","17,650,000","45,905,000"
PAT,"-2,054,976,000","-873,297,000","1,149,375,000","1,119,901,000","1,113,375,000","1,073,224,000","623,939,000","27,083,000","25,710,000","-30,140,000","-148,069,000","69,923,000"
EPS,-165.71,-70.42,92.69,90.31,89.78,86.54,50.31,2.18,2.07,-2.43,-11.94,5.64
