Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"9,047,692,893","7,503,100,506","5,971,228,748","5,070,755,394","4,403,995,318","3,696,092,459","3,007,924,648","2,465,620,979","2,944,907,488","2,636,538,261","2,334,752,005","1,933,343,989"
COGS,"4,886,099,530","4,002,668,618","3,125,337,924","2,692,735,362","2,311,679,320","2,040,858,289","1,777,264,097","1,440,689,018","2,030,736,442","1,732,983,015","1,488,595,499","1,246,405,592"
Gross Profit,"4,161,593,363","3,500,431,888","2,845,890,824","2,378,020,032","2,092,315,998","1,655,234,170","1,230,660,551","1,024,931,961","914,171,046","903,555,246","846,156,506","686,938,397"
Administrative Expenses,"369,802,343","349,634,787","270,080,061","245,280,377","244,669,330","219,629,011","206,435,939","195,854,466","195,732,726","161,147,992","160,668,042","142,506,596"
Selling & Distributive Expenses,"2,386,788,950","2,026,733,691","1,599,737,319","1,279,004,735","1,125,961,164","968,752,907","751,181,459","610,040,225","568,588,690","540,517,943","483,375,528","371,770,470"
Financial Charges,"23,920,563","8,387,492","4,959,755","6,071,247","8,754,468","12,370,593","20,424,178","48,182,492","70,370,861","89,424,804","79,341,145","67,133,122"
Other Income,"85,222,574","33,044,391","29,277,764","19,413,957","29,836,721","9,986,506","15,308,665","18,330,727","92,752,280","7,707,501","9,191,001","8,924,882"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"125,218,186","92,453,764","88,092,795","77,202,559","76,063,247","50,043,971","35,625,732","31,024,578","28,177,760","14,591,650","30,115,333","36,481,399"
EBITDA,"1,483,478,256","1,167,771,178","1,012,529,919","893,293,202","773,438,565","523,594,423","347,766,433","288,585,661","297,360,381","271,858,420","255,080,390","209,909,707"
EBIT,"1,365,006,458","1,064,654,037","917,258,413","795,946,318","675,458,978","426,794,787","252,726,086","206,343,419","214,424,150","195,005,162","181,188,604","145,104,814"
EBT,"1,341,085,895","1,056,266,545","912,298,658","789,875,071","666,704,510","414,424,194","232,301,908","158,160,927","144,053,289","105,580,358","101,847,459","77,971,692"
Tax,"370,073,070","330,375,342","285,834,489","254,899,404","222,683,104","142,515,891","76,766,703","54,759,366","51,672,027","35,236,394","36,388,172","14,848,297"
PAT,"971,012,825","725,891,203","626,464,169","534,975,667","444,021,406","271,908,303","155,535,205","103,401,561","92,381,262","70,343,964","65,459,287","63,123,395"
EPS,30.86,25.37,24.53,23.46,21.81,14.96,8.56,5.69,5.08,4.26,3.96,3.82
