Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"501,103,000","854,804,000","946,616,000","1,002,394,000","1,973,972,000","1,518,120,000","2,182,211,000","2,052,162,000","1,455,071,000","1,285,301,000","1,323,255,000","1,024,185,000"
COGS,"368,540,000","727,554,000","848,368,000","928,932,000","1,795,452,000","1,486,901,000","2,129,008,000","2,031,700,000","1,368,619,000","976,326,000","1,026,796,000","811,567,000"
Gross Profit,"132,563,000","127,250,000","98,248,000","73,462,000","178,520,000","31,219,000","53,203,000","20,462,000","86,452,000","308,975,000","296,459,000","212,618,000"
Administrative Expenses,"71,880,000","84,010,000","66,595,000","62,970,000","70,241,000","46,041,000","49,261,000","47,570,000","54,486,000","42,045,000","38,510,000","33,471,000"
Selling & Distributive Expenses,"13,929,000","13,069,000","10,949,000","6,161,000","72,244,000","20,104,000","20,709,000","22,421,000","16,159,000","4,062,000","5,247,000","3,366,000"
Financial Charges,"48,577,000","41,722,000","23,984,000","32,053,000","37,117,000","34,330,000","58,431,000","76,490,000","74,805,000","38,830,000","17,489,000","10,868,000"
Other Income,"41,170,000","30,817,000","33,525,000","46,822,000","11,784,000","16,539,000","902,000","4,577,000","24,717,000","1,666,000","1,000,000","1,198,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"6,439,000","4,567,000","7,903,000","14,713,000","69,204,000","2,187,000","27,065,000","80,326,000","4,185,000","14,551,000","14,283,000","11,917,000"
EBITDA,"258,854,000","240,966,000","240,003,000","239,266,000","189,741,000","199,514,000","417,836,000","261,604,000","431,755,000","327,245,000","297,964,000","218,291,000"
EBIT,"81,485,000","56,421,000","46,326,000","36,440,000","-21,385,000","-20,574,000","-42,930,000","-125,278,000","36,339,000","249,983,000","239,419,000","165,062,000"
EBT,"32,908,000","14,699,000","22,342,000","4,387,000","-58,502,000","-54,904,000","-101,361,000","-201,768,000","-38,466,000","211,153,000","221,930,000","154,194,000"
Tax,"30,703,000","-53,175,000","-3,221,000","-15,633,000","-45,811,000","-18,556,000","-66,286,000","-69,268,000","-19,966,000","82,085,000","78,804,000","57,344,000"
PAT,"2,205,000","67,874,000","25,563,000","20,020,000","-12,691,000","-36,348,000","-35,075,000","-132,500,000","-18,500,000","129,068,000","143,126,000","96,850,000"
EPS,0.04,1.22,0.46,0.36,-0.23,-0.66,-0.63,-2.39,-0.33,2.33,4.23,2.86
