Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Fixed Assets,"12,146,305,000","13,666,909,000","15,400,857,000","17,261,992,000","36,586,896,000","38,818,196,000","41,223,196,000","43,462,670,000","46,037,896,000","48,890,480,000","49,614,595,000","37,897,970,000","33,940,577,000"
Investments,"56,548,645,000","48,355,239,000","20,679,288,000","11,174,093,000","5,876,381,000","4,917,976,000","4,674,189,000","4,674,189,000","4,674,189,000","4,034,361,000","2,610,118,000","656,459,000",0
Cash in Hand and Bank,"511,446,000","7,312,080,000","82,683,678,000","1,222,934,000","3,280,071,000","483,767,000","2,676,177,000","17,068,953,000","497,031,000","1,615,203,000","809,311,000","1,033,791,000","662,226,000"
Stores and Spares,"1,722,145,000","1,850,864,000","1,954,808,000","1,959,917,000","2,459,522,000","2,110,612,000","1,599,161,000","1,574,038,000","1,084,981,000","358,797,000","1,559,876,000","2,540,887,000","1,564,183,000"
Stock in Trade,"6,318,866,000","4,575,810,000","5,687,922,000","2,786,346,000","2,563,327,000","3,469,528,000","2,388,435,000","4,247,498,000","1,774,241,000","3,773,699,000",0,0,0
Trade Debts,"75,030,992,000","66,628,533,000","82,683,678,000","73,662,484,000","77,746,623,000","72,683,318,000","79,879,236,000","24,799,191,000","151,161,169,000","85,806,069,000","66,712,461,000","46,629,457,000","24,871,327,000"
Current Assets,"95,778,614,000","91,631,356,000","100,461,613,000","86,364,985,000","91,477,290,000","82,190,915,000","89,438,751,000","51,053,827,000","157,039,941,000","92,620,465,000","69,821,276,000","50,989,944,000","28,124,200,000"
Quick Assets,"87,737,603,000","85,204,682,000","92,818,883,000","81,618,722,000","86,454,441,000","76,610,775,000","85,451,155,000","45,232,291,000","154,180,719,000","88,487,969,000","68,261,400,000","48,449,057,000","26,560,017,000"
Total Assets,"164,521,293,000","153,727,792,000","136,617,459,000","114,983,007,000","134,005,611,000","125,949,075,000","135,431,825,000","99,313,489,000","207,816,660,000","146,239,679,000","122,695,514,000","90,185,671,000","62,696,749,000"
Interest Bearing Long Term Liability,"34,300,270,000","21,926,752,000","12,662,033,000","5,432,133,000","17,301,209,000","18,418,942,000","20,033,860,000","23,551,136,000","25,834,390,000","27,231,358,000","23,444,521,000","11,340,913,000","7,292,098,000"
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0,"41,208,000",0,0
Interest Bearing Short Term Liability,"30,498,999,000","42,427,882,000","23,761,579,000","22,435,117,000","20,319,989,000","15,079,188,000","20,401,302,000","6,891,854,000","21,854,192,000","13,694,752,000","8,399,526,000","4,561,307,000","14,305,840,000"
* Non Interest Bearing Short Term Liability,"56,790,167,000","56,840,716,000","79,979,141,000","67,630,214,000","68,805,752,000","60,816,044,000","63,951,901,000","36,237,033,000","129,350,337,000","75,773,912,000","60,913,293,000","44,736,100,000","12,613,548,000"
Trades Payables,"55,980,892,000","56,272,876,000","79,821,494,000","67,372,823,000","68,291,054,000","60,053,365,000","62,794,145,000","34,814,899,000","127,711,782,000","74,177,088,000","59,595,332,000","43,970,160,000","11,750,517,000"
Total Current Liabilities,"87,541,343,000","99,537,719,000","104,128,287,000","90,065,331,000","89,125,741,000","75,895,232,000","84,353,203,000","43,128,887,000","151,204,529,000","89,468,664,000","69,312,819,000","49,297,407,000","26,919,388,000"
Total Liabilities,"121,841,613,000","121,464,471,000","116,790,320,000","95,497,464,000","106,426,950,000","94,314,174,000","104,387,063,000","66,680,023,000","177,049,571,000","116,719,342,000","92,814,237,000","60,653,321,000","34,226,078,000"
Paid Up Capital,"12,971,544,000","12,971,544,000","11,571,544,000","11,571,544,000","11,571,544,000","11,571,544,000","11,571,544,000","11,571,544,000","11,571,544,000","11,571,544,000","11,571,544,000","11,571,544,000","11,571,544,000"
Reserves,"29,708,136,000","19,291,777,000","8,255,595,000","7,913,999,000","16,007,117,000","20,063,357,000","19,473,218,000","21,061,922,000","19,195,545,000","17,948,793,000","18,309,733,000","17,960,806,000","16,899,127,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"42,679,680,000","32,263,321,000","19,827,139,000","19,485,543,000","27,578,661,000","31,634,901,000","31,044,762,000","32,633,466,000","30,767,089,000","29,520,337,000","29,881,277,000","29,532,350,000","28,470,671,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"1,297,154,400","1,297,154,400","1,157,154,400","1,157,154,387","1,157,154,387","1,157,154,387","1,157,154,387","1,157,154,387","1,157,154,387","1,157,154,387","1,157,154,387","1,157,154,400","1,157,154,400"
