Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"27,523,565,000","36,028,641,000","76,675,715,000","78,589,767,000","86,415,209,000","131,483,801,000","161,806,794,000","165,861,776,000","174,712,187,000","123,309,604,000","99,694,264,000","82,783,924,000","62,434,557,000"
COGS,"9,630,271,000","24,295,188,000","66,872,606,000","69,272,692,000","71,627,425,000","117,093,140,000","150,070,180,000","149,543,719,000","159,061,500,000","114,092,576,000","92,006,319,000","76,687,113,000","57,684,623,000"
Gross Profit,"17,893,294,000","11,733,453,000","9,803,109,000","9,317,075,000","14,787,784,000","14,390,661,000","11,736,614,000","16,318,057,000","15,650,687,000","9,217,028,000","7,687,945,000","6,096,811,000","4,749,934,000"
Administrative Expenses,"756,542,000","872,136,000","900,198,000","615,204,000","925,308,000","920,516,000","661,097,000","415,200,000","413,326,000","436,708,000","391,491,000","359,599,000","288,770,000"
Selling & Distributive Expenses,0,0,0,0,0,0,0,0,0,0,0,0,0
Financial Charges,"9,395,265,000","4,961,109,000","2,247,940,000","1,783,632,000","3,109,205,000","4,538,184,000","4,605,194,000","6,547,562,000","7,082,790,000","3,382,172,000","1,793,591,000","2,094,500,000","1,965,971,000"
Other Income,"3,162,199,000","2,508,008,000","2,229,190,000","2,901,022,000","1,444,497,000","1,532,077,000","82,895,000","34,105,000","35,107,000","26,684,000","53,259,000","138,279,000","105,390,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"154,734,000","132,712,000","109,941,000","76,754,000","473,277,000","450,813,000",0,0,0,0,0,0,0
EBITDA,"22,105,018,000","15,185,585,000","12,968,336,000","14,201,899,000","17,690,470,000","17,301,099,000","13,868,051,000","18,635,607,000","17,962,013,000","10,777,169,000","9,071,022,000","7,584,076,000","6,235,537,000"
EBIT,"20,144,217,000","13,236,613,000","11,022,160,000","11,526,139,000","14,833,696,000","14,551,409,000","11,158,412,000","15,936,962,000","15,272,468,000","8,807,004,000","7,349,713,000","5,875,491,000","4,566,554,000"
EBT,"10,748,952,000","8,275,504,000","8,774,220,000","9,742,507,000","11,724,491,000","10,013,225,000","6,553,218,000","9,389,400,000","8,189,678,000","5,424,832,000","5,556,122,000","3,780,991,000","2,600,583,000"
Tax,"582,213,000","238,523,000","209,208,000","142,434,000","148,686,000","160,089,000","4,039,000","1,520,000",0,0,0,0,0
PAT,"10,166,739,000","8,036,981,000","8,565,012,000","9,600,073,000","11,575,805,000","9,853,136,000","6,549,179,000","9,387,880,000","8,189,678,000","5,424,832,000","5,556,122,000","3,780,991,000","2,600,583,000"
EPS,7.84,6.7,7.4,8.29,10,8.51,5.66,8.11,7.08,4.69,4.8,3.27,2.25
