Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,0.00,0.00,99.98,90.40,109.96,111.57,114.85,98.61,84.78,117.32,104.13,102.53,122.36
Plow Back,100.00,100.00,0.02,9.60,-9.96,-11.57,-14.85,1.39,15.22,-17.32,-4.13,-2.52,-22.36
Return on Equity,23.82,24.91,43.20,49.27,41.97,31.15,21.10,28.77,26.62,18.38,18.59,12.80,9.13
Return on Assets,6.18,5.23,6.27,8.35,8.64,7.82,4.84,9.45,3.94,3.71,4.53,4.19,4.15
Book Value per Share,32.90,24.87,17.13,16.84,23.83,27.34,26.83,28.20,26.59,25.51,25.82,25.52,24.60
Earning Per Share,7.84,6.70,7.40,8.29,10.00,8.51,5.66,8.11,7.08,4.69,4.80,3.27,2.25
Net Working Capital to Total Asseets,0.05,-0.05,-0.03,-0.03,0.02,0.05,0.04,0.08,0.03,0.02,0.00,0.02,0.02
Current Ratio,1.09,0.92,0.96,0.96,1.03,1.08,1.06,1.18,1.04,1.04,1.01,1.03,1.04
Acid Test,1.00,0.86,0.89,0.91,0.97,1.01,1.01,1.05,1.02,0.99,0.98,0.98,0.99
Times Interest Earned,2.14,2.67,4.90,6.46,4.77,3.21,2.42,2.43,2.16,2.60,4.10,2.81,2.32
Total Debt Ratio,0.74,0.79,0.85,0.83,0.79,0.75,0.77,0.67,0.85,0.80,0.76,0.67,0.55
Debt To Equity,2.85,3.76,5.89,4.90,3.86,2.98,3.36,2.04,5.75,3.95,3.11,2.05,1.20
Return on Capital Employed,0.26,0.24,0.34,0.46,0.33,0.29,0.22,0.28,0.27,0.16,0.14,0.14,0.13
Average Collection Period,995.01,675.00,393.60,342.12,328.39,201.77,180.19,54.57,315.80,253.99,244.25,205.59,145.40
Days sales Inventory,304.76,96.55,41.72,25.01,25.60,17.39,9.70,14.21,6.56,13.22,6.19,12.09,9.90
Total Assets Turnover,0.17,0.23,0.56,0.68,0.64,1.04,1.19,1.67,0.84,0.84,0.81,0.92,1.00
Gross Profit Margin,65.01,32.57,12.79,11.86,17.11,10.95,7.25,9.84,8.96,7.47,7.71,7.37,7.61
Net Profit Margin,36.94,22.31,11.17,12.21,13.40,7.49,4.05,5.66,4.69,4.40,5.57,4.57,4.17
