Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Sales,"3,979,099,138","4,609,478,886","4,643,648,317","3,942,824,460","3,721,047,096","2,870,350,210","2,291,450,649","1,742,473,618","1,436,505,007","1,284,272,631","1,116,856,291"
COGS,"3,688,464,040","3,031,025,825","2,710,034,802","2,400,125,896","1,875,818,568","1,488,594,616","1,295,622,120","1,096,060,018","773,760,901","689,448,618","459,622,610"
Gross Profit,"290,635,098","1,578,453,061","1,933,613,515","1,542,698,564","1,845,228,528","1,381,755,594","995,828,529","646,413,600","662,744,106","594,824,013","657,233,681"
Administrative Expenses,"498,793,978","530,215,069","557,985,145","435,579,401","413,045,327","301,216,657","240,323,037","191,242,011","189,641,390","155,622,190","150,364,051"
Selling & Distributive Expenses,"314,061,819","339,611,170","320,116,149","404,273,284","463,792,017","340,807,089","237,671,437","198,328,899","161,642,712","114,951,107","129,205,654"
Financial Charges,"143,243,790","33,143,612","20,950,770","40,020,307","23,531,506","7,952,008","7,493,945","32,542,441","38,768,670","28,116,813","37,314,508"
Other Income,"210,738,932","136,671,857","84,713,877","123,264,396","116,982,137","98,805,818","66,433,595","43,392,713","32,041,451","24,156,831","30,667,162"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,0,0,"23,872,392","12,852,677","29,172,732","23,761,981","11,535,474","5,353,859","7,005,008","6,471,318","7,471,222"
EBITDA,"-64,193,416","977,030,917","1,201,776,042","888,181,009","1,111,939,386","855,920,624","611,752,054","338,398,203","388,735,442","388,737,413","434,130,065"
EBIT,"-311,481,767","845,298,679","1,116,353,706","813,257,598","1,056,200,589","814,775,685","572,732,176","294,881,544","336,496,447","341,936,229","400,859,916"
EBT,"-454,725,557","812,155,067","1,095,402,936","773,237,291","1,032,669,083","806,823,677","565,238,231","262,339,103","297,727,777","313,819,416","363,545,408"
Tax,"81,157,536","82,661,579","80,019,958","236,301,365","285,418,132","215,088,701","177,441,038","66,463,317","108,925,441","108,183,460","122,612,433"
PAT,"-535,883,093","729,493,488","1,015,382,978","536,935,926","747,250,951","591,734,976","387,797,193","195,875,786","188,802,336","205,635,956","240,932,975"
EPS,-0.57,0.77,1.07,0.57,0.79,6.26,7.76,3.92,3.78,4.11,4.82
