Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Payout,0.00,0.00,9.31,0.00,66.39,83.40,77.36,51.05,26.48,38.90,109.99
Plow Back,100.00,100.00,90.69,100.00,33.61,16.60,22.64,48.95,73.52,61.10,-9.99
Return on Equity,-16.97,19.75,33.20,26.29,44.72,42.38,26.63,17.51,18.46,24.66,33.20
Return on Assets,-9.41,13.28,28.22,16.41,26.79,30.27,21.88,11.82,11.84,13.83,20.10
Book Value per Share,3.34,3.91,3.24,2.16,1.77,14.78,29.13,22.37,20.45,16.68,14.51
Earning Per Share,-0.57,0.77,1.07,0.57,0.79,6.26,7.76,3.92,3.78,4.11,4.82
Net Working Capital to Total Asseets,0.34,0.46,0.60,0.29,0.28,0.41,0.55,0.40,0.33,0.26,0.31
Current Ratio,2.25,4.68,5.07,1.80,1.73,2.45,4.11,2.45,2.01,1.64,1.90
Acid Test,2.24,4.65,5.06,1.80,1.73,2.44,4.10,2.45,2.01,1.64,1.89
Times Interest Earned,-2.17,25.50,53.28,20.32,44.88,102.46,76.43,9.06,8.68,12.16,10.74
Total Debt Ratio,0.45,0.33,0.15,0.38,0.40,0.29,0.18,0.32,0.36,0.44,0.39
Debt To Equity,0.80,0.49,0.18,0.60,0.67,0.40,0.22,0.48,0.56,0.78,0.65
Return on Capital Employed,-0.08,0.18,0.36,0.39,0.62,0.58,0.39,0.25,0.31,0.39,0.51
Average Collection Period,162.98,137.63,137.20,137.23,101.67,98.72,108.68,99.25,119.00,122.19,133.56
Days sales Inventory,1.93,2.19,0.31,0.34,0.87,1.46,0.25,0.19,0.12,0.66,0.66
Total Assets Turnover,0.70,0.84,1.29,1.20,1.33,1.47,1.29,1.05,0.90,0.86,0.93
Gross Profit Margin,7.30,34.24,41.64,39.13,49.59,48.14,43.46,37.10,46.14,46.32,58.85
Net Profit Margin,-13.47,15.83,21.87,13.62,20.08,20.61,16.92,11.24,13.14,16.01,21.57
