Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Fixed Assets,"39,477,948,266","31,975,941,772","29,189,002,690","28,524,801,911","24,737,959,691","24,151,728,470","24,990,992,888","27,233,565,225","20,438,885,097","8,828,907,710","7,190,413,467","7,817,013,285"
Investments,0,0,0,0,"13,762,491,415","12,594,268,827","11,108,031,239","9,182,026,116","11,542,753,873","13,769,491,023","14,683,681,879","13,572,873,559"
Cash in Hand and Bank,"18,079,674","36,844,310","46,497,145","98,214,371","103,129,306","163,844,103","85,681,651","204,836,749","52,409,353","155,387,775","72,753,720","169,514,922"
Stores and Spares,"4,594,647,824","3,771,686,339","2,974,626,745","2,694,830,589","2,130,071,158","1,958,919,904","2,152,346,589","1,458,348,008","1,307,470,270","832,525,351","722,603,343","696,901,126"
Stock in Trade,"9,703,186,774","10,817,586,684","9,158,928,763","7,392,524,194","5,197,078,034","6,461,921,798","6,047,562,589","8,511,617,752","4,378,138,270","2,676,081,437","2,355,115,641","2,909,687,606"
Trade Debts,"860,483,242","517,033,963","404,140,725","228,319,408","206,035,854","178,139,309","417,395,620","280,700,067","217,278,906","162,236,487","138,789,546","162,983,366"
Current Assets,"19,977,297,772","21,454,164,745","17,735,390,375","23,671,172,826","12,478,831,844","12,781,864,654","11,809,353,005","12,743,717,121","7,301,493,456","7,476,830,253","5,469,824,284","5,071,029,197"
Quick Assets,"5,679,463,174","6,864,891,722","5,601,834,867","13,583,818,043","5,151,682,652","4,361,022,952","3,609,443,827","2,773,751,361","1,615,884,916","3,968,223,465","2,392,105,300","1,464,440,465"
Total Assets,"59,587,801,348","53,569,873,616","47,008,485,700","52,280,715,671","51,058,327,472","49,603,947,782","47,977,357,421","49,235,233,136","39,315,991,766","30,110,435,826","27,016,931,023","26,478,657,340"
Interest Bearing Long Term Liability,"10,000,000,000","1,500,000,000",0,"4,420,833,332","5,616,666,666","9,925,000,000","11,897,014,159","12,249,999,998","9,262,499,998","2,541,666,666","4,325,000,000","6,161,208,334"
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0,"401,887,210","312,579,574"
Interest Bearing Short Term Liability,"7,040,979,503","5,107,041,388","3,030,607,242","6,982,288,654","4,374,306,862","7,835,896,510","5,932,895,021","7,821,620,577","2,319,267,416","703,649,354","3,405,646,625","3,279,478,154"
* Non Interest Bearing Short Term Liability,"1,640,639,060","3,583,848,000","2,319,042,190","1,563,533,904","1,860,401,368","1,945,016,406","1,758,349,339","1,677,185,789","1,576,611,586","3,156,166,285","1,370,533,449","3,018,676,294"
Trades Payables,"1,123,336,895","3,405,954,788","2,289,588,519","1,497,042,405","1,841,136,456","1,833,717,569","1,603,393,707","1,510,341,011","1,449,639,466","3,001,543,155","1,190,623,805","2,765,133,372"
Total Current Liabilities,"9,416,292,046","9,506,067,251","5,371,898,722","8,897,165,803","6,599,887,571","9,780,912,916","7,691,244,360","9,498,806,366","5,656,437,487","6,287,338,366","5,237,462,519","6,392,584,819"
Total Liabilities,"21,722,637,639","14,096,027,388","8,051,931,564","15,034,763,062","14,820,667,518","22,258,001,969","21,453,646,080","23,180,587,754","17,383,235,337","11,334,374,353","11,778,826,638","14,607,814,271"
Paid Up Capital,"3,105,069,950","3,105,069,950","3,105,069,950","3,105,069,950","3,105,069,950","3,105,069,950","3,105,069,950","3,105,069,950","3,105,069,950","3,105,069,950","3,105,069,950","3,105,069,950"
Reserves,"34,760,093,759","36,368,776,278","35,851,484,186","34,140,882,659","33,132,590,004","24,240,875,863","23,418,641,391","22,949,575,432","18,827,686,479","15,670,991,523","12,133,034,435","8,765,773,119"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"37,865,163,709","39,473,846,228","38,956,554,136","37,245,952,609","36,237,659,954","27,345,945,813","26,523,711,341","26,054,645,382","21,932,756,429","18,776,061,473","15,238,104,385","11,870,843,069"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"310,506,995","310,506,995","310,506,995","310,506,995","310,506,995","310,506,995","310,506,995","310,506,995","310,506,995","310,506,995","310,506,995","310,506,995"
