Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Sales,"47,078,366,164","66,237,950,336","53,886,574,437","39,910,714,612","34,709,815,423","37,273,570,267","47,972,161,921","38,839,262,069","35,852,566,227","37,300,680,078","27,123,868,602","22,059,606,789"
COGS,"45,127,105,766","62,390,924,367","49,390,634,390","37,485,488,926","33,729,899,919","36,435,923,026","46,642,839,014","36,114,076,614","33,230,400,604","34,177,382,738","24,374,579,289","19,748,550,789"
Gross Profit,"1,951,260,398","3,847,025,969","4,495,940,047","2,425,225,686","979,915,504","837,647,241","1,329,322,907","2,725,185,455","2,622,165,623","3,123,297,340","2,749,289,313","2,311,056,000"
Administrative Expenses,"837,348,980","767,457,734","717,047,912","701,464,610","640,634,116","618,178,994","607,307,529","629,690,689","591,731,463","577,500,576","501,916,251","423,594,936"
Selling & Distributive Expenses,"309,969,821","343,674,679","334,174,091","279,787,806","275,426,854","258,678,637","237,319,436","191,244,782","158,541,465","152,781,541","158,860,859","126,674,952"
Financial Charges,"1,658,074,910","612,097,258","386,786,162","693,390,377","897,125,086","1,601,282,900","1,983,697,110","951,427,015","780,322,044","828,974,533","1,262,092,608","1,387,287,978"
Other Income,"30,658,697","67,563,225","41,440,917","7,157,002,361","2,755,245,402","3,000,515,693","2,600,668,303","3,475,384,248","3,444,284,731","3,424,196,578","3,180,931,257","1,577,631,140"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"27,340,749","146,889,839","176,627,782","83,166,723",0,0,"1,786,537","53,600,005","83,530,305","113,699,275","113,546,299","24,977,054"
EBITDA,"3,982,208,282","5,458,901,546","5,756,966,157","10,838,031,734","5,189,187,692","5,442,325,696","5,805,634,328","6,535,916,373","5,945,712,143","6,420,627,687","5,920,506,898","4,042,921,603"
EBIT,"807,259,545","2,656,566,942","3,309,531,179","8,517,808,908","2,819,099,936","2,961,305,303","3,083,577,708","5,326,034,227","5,232,647,121","5,703,512,526","5,155,897,161","3,313,440,198"
EBT,"-850,815,365","2,044,469,684","2,922,745,017","7,824,418,531","1,921,974,850","1,360,022,403","1,099,880,598","4,374,607,212","4,452,325,077","4,874,537,993","3,893,804,553","1,926,152,220"
Tax,"444,666,576","1,045,977,175","816,055,169","-655,211,021","386,697,969","557,234,317","225,638,302","-1,159,559,352","338,414,235","722,718,801","533,691,344","300,773,643"
PAT,"-1,295,481,941","998,492,509","2,106,689,848","8,479,629,552","1,535,276,881","802,788,086","874,242,296","5,534,166,564","4,113,910,842","4,151,819,192","3,360,113,209","1,625,378,577"
EPS,-4.17,3.22,6.78,27.31,4.94,2.59,2.82,17.82,13.25,13.37,10.82,5.23
