Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Fixed Assets,"19,840,217,000","20,329,199,000","20,576,333,000","19,613,523,000","17,040,334,000","14,236,363,000","11,652,057,000","10,550,038,000","10,121,710,000","9,614,392,000","8,895,091,000","9,225,110,000","9,353,769,000"
Investments,"3,186,776,000","3,913,076,000","3,913,076,000","2,954,276,000","1,462,976,000","1,222,976,000","502,976,000","502,976,000","502,976,000","502,976,000","712,500,000","712,500,000","712,500,000"
Cash in Hand and Bank,"246,383,000","237,374,000","218,843,000","141,748,000","146,287,000","119,612,000","852,095,000","730,349,000","866,465,000","4,856,496,000","4,661,822,000","4,468,251,000","1,971,081,000"
Stores and Spares,"988,580,000","984,992,000","881,034,000","942,636,000","811,963,000","653,582,000","559,256,000","558,736,000","542,117,000","519,020,000","450,596,000","496,401,000","538,540,000"
Stock in Trade,"9,327,845,000","9,841,165,000","8,737,564,000","5,746,647,000","5,296,746,000","4,921,766,000","4,582,632,000","4,573,275,000","5,381,340,000","4,596,021,000","3,786,345,000","3,244,525,000","2,951,956,000"
Trade Debts,"2,288,996,000","2,388,029,000","2,605,818,000","2,547,340,000","1,640,447,000","1,431,370,000","858,347,000","865,690,000","570,251,000","618,647,000","792,867,000","919,463,000","806,612,000"
Current Assets,"16,858,214,000","18,575,241,000","17,266,192,000","13,159,697,000","11,678,336,000","10,826,739,000","10,436,804,000","9,614,167,000","9,964,890,000","12,846,915,000","11,878,257,000","11,125,168,000","8,035,427,000"
Quick Assets,"6,541,789,000","7,749,084,000","7,647,594,000","6,470,414,000","5,569,627,000","5,251,391,000","5,294,916,000","4,482,156,000","4,041,433,000","7,731,874,000","7,641,316,000","7,384,242,000","4,544,931,000"
Total Assets,"42,123,386,000","44,222,667,000","43,148,129,000","36,155,861,000","30,588,030,000","26,669,783,000","22,937,418,000","20,944,705,000","20,862,967,000","23,465,314,000","22,030,672,000","21,422,657,000","18,470,685,000"
Interest Bearing Long Term Liability,"6,382,931,000","6,763,257,000","8,237,107,000","4,909,946,000","3,652,586,000","1,493,943,000","2,314,805,000","1,887,026,000","290,270,000",0,0,0,0
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,"4,706,204,000","8,747,267,000","8,319,901,000","2,762,164,000","2,358,216,000","2,839,147,000","1,309,589,000","2,654,549,000","2,332,057,000",0,0,0,0
* Non Interest Bearing Short Term Liability,"8,458,720,000","7,525,292,000","6,409,405,000","10,222,603,000","7,809,399,000","7,774,566,000","6,264,665,000","4,695,102,000","6,692,001,000","6,113,943,000","5,482,037,000","5,799,898,000","4,446,810,000"
Trades Payables,"8,231,439,000","7,185,136,000","6,159,767,000","10,120,448,000","7,731,736,000","7,717,908,000","6,264,665,000","4,695,102,000","6,692,001,000","6,113,943,000","5,482,037,000","5,799,898,000","4,446,810,000"
Total Current Liabilities,"13,253,246,000","16,366,077,000","14,818,685,000","12,984,767,000","10,167,615,000","10,613,713,000","7,574,254,000","7,349,651,000","9,024,058,000","6,113,943,000","5,482,037,000","5,799,898,000","4,446,810,000"
Total Liabilities,"21,360,331,000","25,015,624,000","25,066,695,000","19,228,013,000","15,341,857,000","13,376,245,000","11,060,619,000","10,457,180,000","10,704,837,000","7,396,674,000","6,575,227,000","7,008,015,000","5,059,764,000"
Paid Up Capital,"923,591,000","923,591,000","923,591,000","923,591,000","923,591,000","923,591,000","923,591,000","923,591,000","923,591,000","1,388,023,000","1,388,023,000","1,388,023,000","1,388,023,000"
Reserves,"19,308,215,000","17,685,349,000","16,488,348,000","15,260,309,000","13,492,937,000","11,793,489,000","10,313,836,000","8,865,398,000","8,493,883,000","12,967,322,000","13,160,070,000","12,094,773,000","11,060,103,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,"531,249,000","598,103,000","669,495,000","743,948,000","829,645,000","576,458,000","639,372,000","698,536,000","740,656,000","1,713,295,000","907,352,000","931,846,000","962,795,000"
Shareholder Equity,"20,763,055,000","19,207,043,000","18,081,434,000","16,927,848,000","15,246,173,000","13,293,538,000","11,876,799,000","10,487,525,000","10,158,130,000","16,068,640,000","15,455,445,000","14,414,642,000","13,410,921,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"92,359,100","92,359,100","92,359,100","92,359,050","92,359,050","92,359,050","92,359,050","92,359,050","92,359,050","138,802,300","138,802,300","138,802,300","138,802,300"
