Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"53,598,537,000","58,328,849,000","49,107,580,000","41,363,695,000","36,954,437,000","37,515,328,000","38,233,477,000","18,315,678,000","34,681,563,000","40,114,908,000","35,129,980,000","28,429,897,000","27,798,915,000"
COGS,"43,136,319,000","48,877,125,000","40,607,969,000","33,598,220,000","30,475,911,000","31,725,574,000","33,581,636,000","16,258,497,000","30,748,177,000","33,728,384,000","28,443,690,000","22,754,005,000","22,303,138,000"
Gross Profit,"10,462,218,000","9,451,724,000","8,499,611,000","7,765,475,000","6,478,526,000","5,789,754,000","4,651,841,000","2,057,181,000","3,933,386,000","6,386,524,000","6,686,290,000","5,675,892,000","5,495,777,000"
Administrative Expenses,"1,497,669,000","1,345,994,000","1,207,062,000","1,114,785,000","881,677,000","963,658,000","895,653,000","361,134,000","1,346,185,000","1,692,077,000","1,299,005,000","1,178,064,000","1,126,159,000"
Selling & Distributive Expenses,"3,389,472,000","3,170,316,000","2,894,708,000","2,607,114,000","2,118,142,000","1,781,989,000","1,530,254,000","523,391,000","1,087,169,000","1,851,279,000","1,674,719,000","1,470,174,000","1,317,258,000"
Financial Charges,"1,594,776,000","1,455,747,000","641,692,000","398,079,000","383,298,000","402,787,000","387,042,000","187,062,000","294,160,000","137,244,000","163,880,000","167,541,000","219,308,000"
Other Income,"955,328,000","-26,931,000","197,985,000","892,701,000","687,697,000","293,547,000","323,130,000","125,618,000","298,381,000","459,494,000","486,256,000","459,983,000","213,425,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"699,908,000","272,230,000","303,732,000","143,828,000","284,840,000","231,373,000","181,058,000","85,124,000","132,632,000","253,267,000","303,426,000","247,590,000","233,699,000"
EBITDA,"8,511,887,000","7,290,002,000","6,712,959,000","7,016,104,000","5,780,802,000","4,763,559,000","3,706,746,000","1,770,841,000","2,743,733,000","4,115,667,000","4,839,207,000","4,110,735,000","3,838,130,000"
EBIT,"5,830,497,000","4,636,253,000","4,292,094,000","4,792,449,000","3,881,564,000","3,106,281,000","2,368,006,000","1,213,150,000","1,665,781,000","3,049,395,000","3,895,396,000","3,240,047,000","3,032,086,000"
EBT,"4,235,721,000","3,180,506,000","3,650,402,000","4,394,370,000","3,498,266,000","2,703,494,000","1,980,964,000","1,026,088,000","1,371,621,000","2,912,151,000","3,731,516,000","3,072,506,000","2,812,778,000"
Tax,"1,206,718,000","875,594,000","590,698,000","1,098,279,000","655,080,000","577,786,000","278,748,000","338,321,000","478,952,000","976,438,000","1,302,690,000","1,027,768,000","950,040,000"
PAT,"3,029,003,000","2,304,912,000","3,059,704,000","3,296,091,000","2,843,186,000","2,125,708,000","1,702,216,000","687,767,000","892,669,000","1,935,713,000","2,428,826,000","2,044,738,000","1,862,738,000"
EPS,32.8,24.96,33.13,35.69,30.78,23.02,18.43,7.45,9.67,13.95,17.5,14.73,13.42
