Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
Fixed Assets,"5,918,889,000","6,370,154,000","5,522,169,000","4,365,690,000","4,063,868,000","3,777,785,000","2,856,728,000","2,515,809,000","2,557,716,000","2,425,271,000","2,353,591,000","2,455,612,000","2,420,855,000","2,407,428,000"
Investments,"195,019,000","133,125,000","128,400,000","117,600,000","104,400,000","87,000,000","82,800,000","73,800,000","71,100,000","178,650,000","169,650,000","166,486,000","136,057,000","147,682,000"
Cash in Hand and Bank,"134,501,000","109,892,000","94,072,000","108,012,000","126,405,000","119,390,000","145,024,000","180,671,000","130,406,000","113,745,000","15,132,000","26,037,000","40,859,000","29,130,000"
Stores and Spares,"418,741,000","407,749,000","401,463,000","477,341,000","519,748,000","468,376,000","527,608,000","446,420,000","390,733,000","410,787,000","437,333,000","341,790,000","315,257,000","290,006,000"
Stock in Trade,"685,118,000","788,704,000","266,083,000","391,744,000","476,639,000","171,440,000","283,871,000","273,876,000","171,629,000","198,831,000","161,585,000","105,732,000","144,335,000","102,285,000"
Trade Debts,"799,171,000","664,516,000","524,262,000","551,326,000","500,801,000","461,589,000","609,505,000","608,526,000","545,363,000","461,057,000","473,583,000","573,001,000","297,437,000","444,614,000"
Current Assets,"2,968,161,000","2,914,723,000","2,031,494,000","2,064,790,000","2,040,041,000","1,437,172,000","1,704,334,000","1,618,656,000","1,346,152,000","1,330,397,000","1,208,278,000","1,168,958,000","918,383,000","961,702,000"
Quick Assets,"1,864,302,000","1,718,270,000","1,363,948,000","1,195,705,000","1,043,654,000","797,356,000","892,855,000","898,360,000","783,790,000","720,779,000","609,360,000","721,436,000","458,791,000","569,411,000"
Total Assets,"9,140,556,000","9,476,353,000","7,739,612,000","6,596,215,000","6,248,936,000","5,351,302,000","4,701,324,000","4,269,658,000","4,019,156,000","3,956,015,000","3,754,430,000","3,805,687,000","3,490,911,000","3,533,456,000"
Interest Bearing Long Term Liability,"1,782,048,000","1,680,295,000","801,291,000","682,622,000","1,081,024,000","751,349,000","573,947,000","76,390,000","288,057,000","600,694,000","783,332,000","874,305,000","1,150,491,000","802,509,000"
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,460,000"
Interest Bearing Short Term Liability,"1,226,836,000","1,685,712,000","1,756,933,000","1,396,436,000","1,277,067,000","1,195,467,000","1,020,460,000","866,435,000","807,514,000","838,420,000","547,883,000","406,336,000","345,391,000","886,420,000"
* Non Interest Bearing Short Term Liability,"1,279,924,000","1,774,032,000","1,249,209,000","1,039,085,000","848,672,000","849,667,000","470,190,000","855,091,000","651,344,000","398,819,000","380,417,000","517,698,000","221,291,000","190,038,000"
Trades Payables,"1,201,550,000","1,648,478,000","1,200,669,000","1,006,391,000","821,005,000","801,591,000","436,909,000","831,447,000","613,433,000","342,362,000","321,693,000","445,311,000","221,291,000","190,038,000"
Total Current Liabilities,"2,507,780,000","3,460,784,000","3,006,938,000","2,435,521,000","2,125,739,000","2,045,134,000","1,490,650,000","1,721,526,000","1,458,858,000","1,237,239,000","928,300,000","934,290,000","626,873,000","1,076,458,000"
Total Liabilities,"5,086,752,000","5,472,668,000","4,030,037,000","3,379,913,000","3,469,518,000","2,978,265,000","2,399,903,000","2,132,613,000","2,104,734,000","2,147,260,000","2,028,438,000","2,166,123,000","2,071,889,000","2,125,607,000"
Paid Up Capital,"847,000,000","847,000,000","770,000,000","770,000,000","650,000,000","500,000,000","500,000,000","360,000,000","360,000,000","360,000,000","360,000,000","360,000,000","360,000,000","360,000,000"
Reserves,"2,234,070,000","2,183,951,000","1,966,841,000","1,651,454,000","1,334,570,000","1,078,189,000","1,040,602,000","1,016,226,000","793,603,000","699,696,000","616,933,000","530,505,000","415,650,000","404,477,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,"972,734,000","972,734,000","972,734,000","794,848,000","794,848,000","794,848,000","760,819,000","760,819,000","760,819,000","749,059,000","749,059,000","749,059,000","643,372,000","643,372,000"
Shareholder Equity,"4,053,804,000","4,003,685,000","3,709,575,000","3,216,302,000","2,779,418,000","2,373,037,000","2,301,421,000","2,137,045,000","1,914,422,000","1,808,755,000","1,725,992,000","1,639,564,000","1,419,022,000","1,407,849,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"84,700,000","84,700,000","77,000,000","77,000,000","65,000,000","50,000,000","50,000,000","36,000,000","36,000,000","36,000,000","36,000,000","36,000,000","36,000,000","36,000,000"
