Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
Sales,"8,856,601,000","6,644,377,000","5,742,792,000","4,990,137,000","4,557,440,000","4,045,537,000","4,103,853,000","4,278,107,000","4,003,771,000","3,144,319,000","3,081,288,000","3,568,352,000","2,685,176,000","2,533,603,000"
COGS,"7,674,958,000","5,265,491,000","4,779,809,000","4,170,427,000","3,766,514,000","3,622,599,000","3,290,826,000","3,412,772,000","3,201,672,000","2,514,001,000","2,469,963,000","2,747,957,000","2,137,311,000","1,911,635,000"
Gross Profit,"1,181,643,000","1,378,886,000","962,983,000","819,710,000","790,926,000","422,938,000","813,027,000","865,335,000","802,099,000","630,318,000","611,325,000","820,395,000","547,865,000","621,968,000"
Administrative Expenses,"208,306,000","199,304,000","173,152,000","157,338,000","172,910,000","159,516,000","163,506,000","138,039,000","127,007,000","108,280,000","106,351,000","100,292,000","72,261,000","60,134,000"
Selling & Distributive Expenses,"501,041,000","412,025,000","361,906,000","260,530,000","256,003,000","245,744,000","231,679,000","272,886,000","238,752,000","208,303,000","179,504,000","204,213,000","139,213,000","118,521,000"
Financial Charges,"480,180,000","255,668,000","154,284,000","177,152,000","165,249,000","108,886,000","133,222,000","121,899,000","205,452,000","215,287,000","204,179,000","239,586,000","212,824,000","207,791,000"
Other Income,"146,273,000","70,114,000","146,462,000","62,870,000","39,246,000","18,078,000","19,300,000","24,000,000","16,487,000","32,118,000","23,691,000","13,223,000","16,308,000","6,879,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"60,662,000","76,915,000","59,237,000","67,409,000","11,915,000","787,000","22,770,000","23,196,000","19,555,000","9,306,000","12,899,000","20,620,000","10,246,000","12,547,000"
EBITDA,"1,130,654,000","1,252,608,000","870,219,000","731,423,000","702,526,000","229,183,000","601,409,000","639,532,000","627,954,000","516,412,000","525,942,000","706,160,000","524,619,000","637,454,000"
EBIT,"557,907,000","760,756,000","515,150,000","397,303,000","389,344,000","34,969,000","414,372,000","455,214,000","433,272,000","336,547,000","336,262,000","516,243,000","342,063,000","442,586,000"
EBT,"77,727,000","505,088,000","360,866,000","220,151,000","224,095,000","-73,917,000","281,150,000","333,315,000","227,820,000","121,260,000","132,083,000","276,657,000","129,239,000","234,795,000"
Tax,"16,927,000","100,037,000","-54,621,000","-13,196,000","56,722,000","-158,404,000","80,774,000","38,692,000","67,959,000","2,497,000","-8,723,000","107,481,000","63,631,000","97,482,000"
PAT,"60,800,000","405,051,000","415,487,000","233,347,000","167,373,000","84,487,000","200,376,000","294,623,000","159,861,000","118,763,000","140,806,000","169,176,000","65,608,000","137,313,000"
EPS,0.72,4.78,5.4,3.37,2.76,1.69,4.01,8.18,4.44,3.3,3.91,4.7,1.82,3.81
