Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
Payout,139.31,0.00,20.39,42.90,58.25,59.18,24.95,18.33,33.78,30.31,12.78,31.92,82.31,39.33
Plow Back,-39.31,100.00,79.61,57.10,41.75,40.82,75.05,81.67,66.22,69.69,87.22,68.08,17.69,60.67
Return on Equity,1.50,10.12,11.20,7.25,6.02,3.56,8.71,13.79,8.35,6.57,8.16,10.32,4.62,9.75
Return on Assets,0.67,4.27,5.37,3.54,2.68,1.58,4.26,6.90,3.98,3.00,3.75,4.45,1.88,3.89
Book Value per Share,47.86,47.27,48.18,41.77,42.76,47.46,46.03,59.36,53.18,50.24,47.94,45.54,39.42,39.11
Earning Per Share,0.72,4.78,5.40,3.37,2.76,1.69,4.01,8.18,4.44,3.30,3.91,4.70,1.82,3.81
Net Working Capital to Total Asseets,0.05,-0.06,-0.13,-0.06,-0.01,-0.11,0.05,-0.02,-0.03,0.02,0.07,0.06,0.08,-0.03
Current Ratio,1.18,0.84,0.68,0.85,0.96,0.70,1.14,0.94,0.92,1.08,1.30,1.25,1.47,0.89
Acid Test,0.74,0.50,0.45,0.49,0.49,0.39,0.60,0.52,0.54,0.58,0.66,0.77,0.73,0.53
Times Interest Earned,1.16,2.98,3.34,2.24,2.36,0.32,3.11,3.73,2.11,1.56,1.65,2.15,1.61,2.13
Total Debt Ratio,0.56,0.58,0.52,0.51,0.56,0.56,0.51,0.50,0.52,0.54,0.54,0.57,0.59,0.60
Debt To Equity,1.25,1.37,1.09,1.05,1.25,1.26,1.04,1.00,1.10,1.19,1.18,1.32,1.46,1.51
Return on Capital Employed,0.08,0.13,0.11,0.10,0.09,0.01,0.13,0.18,0.17,0.12,0.12,0.18,0.12,0.18
Average Collection Period,32.94,36.50,33.32,40.33,40.11,41.65,54.21,51.92,49.72,53.52,56.10,58.61,40.43,64.05
Days sales Inventory,52.50,82.94,50.98,76.06,96.56,64.47,90.00,77.04,64.11,88.51,88.50,59.44,78.49,74.90
Total Assets Turnover,0.97,0.70,0.74,0.76,0.73,0.76,0.87,1.00,1.00,0.79,0.82,0.94,0.77,0.72
Gross Profit Margin,13.34,20.75,16.77,16.43,17.36,10.45,19.81,20.23,20.03,20.05,19.84,22.99,20.40,24.55
Net Profit Margin,0.69,6.10,7.24,4.68,3.67,2.09,4.88,6.89,3.99,3.78,4.57,4.74,2.44,5.42
