Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"27,076,262,000","24,926,286,000","22,090,427,000","19,757,064,000","18,103,777,000","20,285,043,000","18,616,732,000","17,612,016,000","15,087,138,000","18,253,523,000","10,911,595,000","8,470,151,891","7,200,533,401"
COGS,"24,845,634,000","22,224,455,000","19,755,785,000","18,033,370,000","16,974,823,000","18,680,119,000","16,563,738,000","14,349,004,000","12,858,987,000","15,355,860,000","8,372,140,000","7,336,043,204","6,301,606,049"
Gross Profit,"2,230,628,000","2,701,831,000","2,334,642,000","1,723,694,000","1,128,954,000","1,604,924,000","2,052,994,000","3,263,012,000","2,228,151,000","2,897,663,000","2,539,455,000","1,134,108,687","898,927,352"
Administrative Expenses,"297,704,000","305,661,000","249,080,000","233,551,000","224,008,000","219,055,000","219,953,000","192,887,000","145,322,000","115,527,000","104,140,000","91,949,973","78,732,131"
Selling & Distributive Expenses,"353,616,000","324,690,000","324,886,000","323,853,000","361,677,000","484,198,000","409,421,000","379,288,000","320,859,000","255,533,000","217,634,000","191,875,422","180,265,756"
Financial Charges,"383,313,000","433,213,000","266,055,000","177,441,000","251,854,000","424,566,000","401,510,000","277,200,000","244,747,000","336,760,000","495,702,000","582,171,271","389,893,418"
Other Income,"195,982,000","643,734,000","286,630,000","48,817,000","7,263,000","63,969,000","116,653,000","160,815,000","51,890,000","199,579,000","418,098,000","124,433,970","6,869,845"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"146,988,000","234,338,000","219,655,000","74,732,000","29,785,000","117,137,000","79,016,000","264,982,000","152,728,000","114,152,000","143,440,000","118,853,189","96,158,072"
EBITDA,"2,254,989,000","3,098,476,000","2,430,848,000","1,745,201,000","1,128,453,000","1,448,872,000","1,935,044,000","2,978,333,000","1,999,025,000","2,886,363,000","2,781,801,000","1,165,228,206","874,453,149"
EBIT,"1,628,302,000","2,480,876,000","1,827,651,000","1,140,375,000","520,747,000","848,503,000","1,461,257,000","2,586,670,000","1,661,132,000","2,612,030,000","2,492,339,000","855,864,073","550,641,238"
EBT,"1,244,989,000","2,047,663,000","1,561,596,000","962,934,000","268,893,000","423,937,000","1,059,747,000","2,309,470,000","1,416,385,000","2,275,270,000","1,996,637,000","273,692,802","160,747,820"
Tax,"287,124,000","323,409,000","183,015,000","277,099,000","177,022,000","147,591,000","-128,056,000","-24,136,000","164,338,000","144,010,000","138,172,000","82,393,017","123,275,748"
PAT,"957,865,000","1,724,254,000","1,378,581,000","685,835,000","91,871,000","276,346,000","1,187,803,000","2,333,606,000","1,252,047,000","2,131,260,000","1,858,465,000","191,299,785","37,472,072"
EPS,53,95.4,76.28,37.95,5.08,15.29,65.72,129.12,69.27,117.92,102.83,10.58,2.07
