Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Investments,"17,350,938,000","15,681,832,000","17,502,187,000","16,956,387,000","12,094,010,000","10,308,203,000","11,152,340,000","8,536,478,000","5,833,574,000","3,795,700,000"
Fixed Assets,"204,875,000","176,009,000","125,552,000","83,381,000","72,497,000","41,811,000","43,695,000","59,770,000","60,217,000","58,553,000"
Other Non Current Assets,"665,225,000","1,025,429,000","170,383,000","154,990,000","154,286,000","136,340,000","107,477,000","101,156,000","90,096,000","83,051,000"
Cash in Hand and Bank,"110,462,000","768,762,000","897,460,000","1,010,880,000","433,202,000","596,598,000","186,460,000","452,268,000","125,057,000","64,025,000"
Other Current Assets,"1,812,599,000","998,345,000","1,214,262,000","1,027,093,000","852,161,000","779,634,000","607,530,000","508,496,000","561,509,000","337,353,000"
Total Assets,"20,144,099,000","18,650,377,000","19,909,844,000","19,232,731,000","13,606,156,000","11,862,586,000","12,097,502,000","9,658,168,000","6,670,453,000","4,338,682,000"
Under Writing Provisions,0,0,0,0,0,0,0,0,0,0
Creditors and Accruals,"594,470,000","447,899,000","643,533,000","735,439,000","695,373,000","581,204,000","622,978,000","604,570,000","645,044,000","430,599,000"
Other Liabilites,"17,308,916,000","16,848,624,000","18,417,864,000","29,709,000","27,000","27,000","27,000","27,000","27,000","27,000"
Total Liabilities,"17,903,386,000","17,296,523,000","19,061,397,000","18,373,940,000","12,716,255,000","11,037,084,000","11,232,452,000","604,597,000","5,935,512,000","3,669,489,000"
Paid Up Capital,"1,705,672,000","705,672,000","705,672,000","605,000,000","500,000,000","500,000,000","500,000,000","500,000,000","500,000,000","500,000,000"
Reserves,"527,298,000","696,422,000","142,775,000","253,791,000","389,901,000","325,502,000","365,050,000","8,553,571,000",0,0
Preferred Equity,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"2,240,713,000","1,353,854,000","848,447,000","858,791,000","889,901,000","825,502,000","865,050,000","9,053,571,000","734,941,000","669,193,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10
Number of Shares,"170,567,200","70,567,200","70,567,200","60,500,000","5,000,000","50,000,000","50,000,000","50,000,000","50,000,000","50,000,000"
Surplus On Revaluation of Assets,"7,743,000","-48,240,000",0,0,0,0,0,0,"234,941,000","169,193,000"
