Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Net Premium Revenue,"4,656,663,000","4,656,321,000",0,0,0,0,0,0,0,0
Net Claims,"4,770,078,000","5,122,635,000",0,0,0,0,0,0,0,0
Direct Expenses,0,0,0,0,0,0,0,0,0,0
Net Commission,0,0,0,0,0,0,0,0,0,0
Under Writing Results,0,0,0,0,0,0,0,0,0,0
Investment Income,"1,551,163,000","1,077,634,000","69,668,000","106,863,000","105,621,000","89,389,000","86,739,000","70,489,000","55,286,000","42,448,000"
Administrative & Other Expenses,"1,800,980,000","757,134,000","14,901,000","13,800,000","14,890,000","12,667,000","14,268,000","9,447,000","6,917,000","11,008,000"
Other Income,"127,986,000","96,425,000","7,028,000","44,000","3,914,000","5,893,000","4,426,000","10,387,000","191,000","2,463,000"
Change In Value of Investement,"-3,815,000","-84,687,000",0,0,0,0,0,0,0,0
Statutory Funds Transfer,0,0,"35,285,000","42,432,000","18,000,000",0,"35,000,000","125,000,000","135,000,000","99,500,000"
EBT,"-245,797,000","-134,076,000","97,080,000","135,539,000","112,645,000","82,615,000","111,897,000","196,429,000","183,560,000","133,403,000"
Tax,"-69,079,000","-39,373,000","29,174,000","40,649,000","36,046,000","27,263,000","38,045,000","70,072,000","67,312,000","46,691,000"
PAT,"-176,718,000","-94,703,000","67,906,000","94,890,000","76,599,000","55,352,000","73,852,000","126,357,000","116,248,000","86,712,000"
EPS,-1.29,-0.78,0.96,1.57,1.53,1.11,1.48,2.53,2.32,1.73
