Year,2020,2019,2018
Payout,97.11,50.37,0.00
Plow Back,2.90,49.63,100.00
Return on Equity,10.40,29.05,42.78
Return on Assets,3.96,12.74,11.86
Book Value per Share,19.81,20.50,47.78
Earning Per Share,2.06,6.67,5.10
Net Working Capital to Total Asseets,0.05,0.11,-0.08
Current Ratio,1.14,1.27,0.86
Acid Test,0.59,0.84,0.56
Times Interest Earned,2.86,6.44,9.28
Total Debt Ratio,0.62,0.56,0.72
Debt To Equity,1.63,1.28,2.61
Return on Capital Employed,0.12,0.27,0.34
Average Collection Period,72.47,80.32,85.49
Days sales Inventory,126.72,102.54,97.93
Total Assets Turnover,0.80,0.92,0.95
Gross Profit Margin,21.66,31.90,29.37
Net Profit Margin,4.95,13.86,12.48
