Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Fixed Assets,"16,501,642,000","13,804,509,000","7,224,839,000","6,257,927,000","4,918,986,000","5,193,477,000","6,033,264,000","2,742,140,000","3,472,906,000","4,225,710,000","3,324,333,000","3,934,473,000","4,033,762,000"
Investments,"41,194,878,000","23,402,464,000","55,031,103,000","41,487,709,000","38,702,609,000","11,711,650,000","4,332,387,000","6,698,121,000","2,690,553,000","4,993,464,000",0,0,"54,171,000"
Cash in Hand and Bank,"1,171,064,000","3,281,782,000","2,200,772,000","3,221,120,000","2,737,569,000","24,865,388,000","6,857,084,000","4,195,302,000","10,771,300,000","8,812,199,000","15,755,980,000","9,731,166,000","4,328,585,000"
Stores and Spares,"478,455,000","544,005,000","301,254,000","203,829,000","153,561,000","178,599,000","141,659,000","153,669,000","178,188,000","189,755,000","111,567,000","128,483,000","232,142,000"
Stock in Trade,"15,932,791,000","13,560,393,000","11,150,736,000","9,317,883,000","7,785,245,000","6,150,448,000","4,469,460,000","7,883,309,000","7,529,571,000","5,690,052,000","5,198,367,000","4,088,858,000","2,637,629,000"
Trade Debts,"1,141,711,000","2,547,915,000","1,453,670,000","758,872,000","1,131,702,000","447,750,000","1,737,358,000","1,382,761,000","1,459,976,000","1,356,068,000","1,613,247,000","1,736,631,000","1,332,832,000"
Current Assets,"63,617,222,000","50,857,994,000","7,454,312,800","57,441,499,000","47,380,549,000","40,225,150,000","20,038,312,000","22,187,601,000","24,088,975,000","22,587,737,000","23,791,253,000","16,715,319,000","9,664,784,000"
Quick Assets,"47,205,976,000","36,753,596,000","-3,997,677,200","47,919,787,000","39,441,743,000","33,896,103,000","15,427,193,000","14,150,623,000","16,381,216,000","16,707,930,000","18,481,319,000","12,497,978,000","6,795,013,000"
Total Assets,"80,278,564,000","64,783,062,000","81,927,064,000","63,879,723,000","57,536,994,000","50,399,449,000","26,110,635,000","25,105,392,000","27,575,718,000","26,834,618,000","27,138,278,000","20,685,523,000","13,748,109,000"
Interest Bearing Long Term Liability,"479,326,000","80,540,000",0,0,0,0,0,0,0,0,0,0,0
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,"113,425,000",0,0,0,0,0,0,0,0,0,0,0,0
* Non Interest Bearing Short Term Liability,"13,593,480,000","15,950,203,000","15,731,241,000","9,682,879,000","10,035,145,000","9,180,705,000","4,252,853,000","6,013,986,000","7,458,147,000","12,260,958,000","13,982,287,000","9,870,190,000","3,779,631,000"
Trades Payables,"13,593,480,000","15,950,203,000","15,731,241,000","9,682,879,000","10,035,145,000","9,180,705,000","4,252,853,000","6,013,852,000","6,512,461,000","5,740,869,000","5,905,062,000","3,942,988,000","2,837,084,000"
Total Current Liabilities,"38,626,048,000","24,178,833,000","45,160,011,000","32,678,828,000","29,907,385,000","26,363,929,000","5,976,034,000","7,412,684,000","10,395,919,000","12,260,958,000","14,224,866,000","9,884,850,000","3,779,631,000"
Total Liabilities,"39,109,173,000","24,737,753,000","45,182,722,000","32,682,761,000","29,907,385,000","26,363,929,000","6,194,983,000","7,412,684,000","10,561,860,000","12,714,970,000","14,550,663,000","10,388,550,000","4,311,769,000"
Paid Up Capital,"786,000,000","786,000,000","786,000,000","786,000,000","786,000,000","786,000,000","786,000,000","786,000,000","786,000,000","786,000,000","786,000,000","786,000,000","786,000,000"
Reserves,"40,383,391,000","39,259,309,000","35,958,342,000","30,410,962,000","26,843,609,000","23,249,520,000","19,129,652,000","16,906,708,000","16,227,858,000","13,333,648,000","11,801,615,000","9,510,973,000","8,650,340,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"41,169,391,000","40,045,309,000","36,744,342,000","31,196,962,000","27,629,609,000","24,035,520,000","19,915,652,000","17,692,708,000","17,013,858,000","14,119,648,000","12,587,615,000","10,296,973,000","9,436,340,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"78,600,000","78,600,000","78,600,000","78,600,000","78,600,000","78,600,000","78,600,000","78,600,000","78,600,000","786,000,000","78,600,000","78,600,000","78,600,000"
