Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"86,167,016,000","157,996,212,000","140,207,524,000","112,271,656,000","108,758,668,000","96,516,322,000","57,063,622,000","63,829,075,000","76,962,642,000","61,702,677,000","60,093,139,000","37,864,604,000","41,423,843,000"
COGS,"78,716,157,000","138,804,538,000","115,830,771,000","92,449,955,000","91,027,369,000","82,272,092,000","51,270,040,000","57,972,038,000","70,400,788,000","57,613,542,000","55,382,306,000","35,540,418,000","37,575,356,000"
Gross Profit,"7,450,859,000","19,191,674,000","24,376,753,000","19,821,701,000","17,731,299,000","14,244,230,000","5,793,582,000","5,857,037,000","6,561,854,000","4,089,135,000","4,710,833,000","2,324,186,000","3,848,487,000"
Administrative Expenses,"1,385,099,000","1,410,033,000","1,523,800,000","1,053,340,000","930,800,000","798,696,000","634,628,000","643,978,000","627,673,000","462,517,000","381,575,000","352,249,000","297,284,000"
Selling & Distributive Expenses,"1,468,862,000","1,403,611,000","1,283,889,000","1,227,647,000","1,060,891,000","996,017,000","793,509,000","814,228,000","820,339,000","690,130,000","468,496,000","469,985,000","487,373,000"
Financial Charges,"85,737,000","67,407,000","572,406,000","397,998,000","77,271,000","51,883,000","38,254,000","30,704,000","58,805,000","77,115,000","3,576,000","26,540,000","2,760,000"
Other Income,"3,204,872,000","4,306,662,000","3,900,685,000","3,593,425,000","3,164,440,000","2,906,797,000","1,113,316,000","1,037,840,000","1,773,572,000","1,507,878,000","1,801,459,000","727,080,000","786,834,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"428,674,000","1,641,356,000","1,898,177,000","1,595,374,000","1,429,331,000","1,171,862,000","424,010,000","436,192,000","516,342,000","355,796,000","416,106,000","156,479,000","306,193,000"
EBITDA,"10,212,278,000","21,164,392,000","25,495,306,000","21,141,706,000","19,040,153,000","15,728,538,000","5,950,206,000","6,258,384,000","13,040,343,000","5,050,878,000","6,109,835,000","2,860,287,000","4,021,019,000"
EBIT,"7,373,096,000","19,043,336,000","23,571,572,000","19,538,765,000","17,474,717,000","14,184,452,000","5,054,751,000","5,000,479,000","6,371,072,000","4,088,570,000","5,246,115,000","2,072,553,000","3,544,471,000"
EBT,"7,287,359,000","18,975,929,000","22,999,166,000","19,140,767,000","17,397,446,000","14,132,569,000","5,016,497,000","4,969,775,000","6,312,267,000","4,011,455,000","5,242,539,000","2,046,013,000","3,541,711,000"
Tax,"2,205,332,000","5,260,954,000","7,227,306,000","6,139,502,000","5,942,506,000","5,022,318,000","1,143,045,000","1,612,230,000","2,009,552,000","1,268,071,000","1,799,136,000","660,911,000","1,250,866,000"
PAT,"5,082,027,000","13,714,975,000","15,771,860,000","13,001,265,000","11,454,940,000","9,110,251,000","3,873,452,000","3,357,545,000","4,302,715,000","2,743,384,000","3,443,403,000","1,385,102,000","2,290,845,000"
EPS,64.66,174.49,200.66,165.41,145.74,115.91,49.28,42.72,54.74,34.9,43.81,17.62,29.15
