Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Fixed Assets,"7,081,385,000","7,360,485,000","5,769,659,000","5,088,085,000","4,852,292,000","3,622,157,000","3,502,052,000","3,464,666,000","2,803,505,000","2,678,771,000","9,904,901,000","5,986,717,000","4,172,307,000"
Investments,"3,295,242,000","3,277,276,000","3,277,276,000","2,742,705,000","2,742,705,000","2,742,705,000","2,592,705,000","2,583,537,000","2,583,537,000","2,583,537,000","125,852,000",0,0
Cash in Hand and Bank,"299,469,000","250,700,000","261,865,000","7,279,000","15,822,000","24,673,000","72,261,000","6,568,000","20,908,000","12,806,000","21,568,000","1,235,455,000","28,106,000"
Stores and Spares,"213,371,000","215,528,000","152,299,000","107,381,000","132,502,000","138,375,000","135,137,000","122,999,000","137,075,000","113,657,000","130,547,000","130,694,000","99,674,000"
Stock in Trade,"8,405,807,000","10,857,730,000","9,004,552,000","8,164,856,000","4,058,092,000","3,653,153,000","6,671,260,000","5,415,270,000","7,322,917,000","4,753,020,000","6,114,406,000","2,228,967,000","4,591,568,000"
Trade Debts,"3,558,719,000","2,988,083,000","2,318,876,000","1,981,679,000","1,624,603,000","2,314,178,000","2,268,337,000","2,080,779,000","1,673,226,000","1,924,517,000","1,579,112,000","1,083,990,000","1,401,333,000"
Current Assets,"12,757,660,000","14,682,540,000","13,346,486,000","10,618,504,000","6,322,377,000","6,752,030,000","10,133,460,000","8,500,041,000","9,665,359,000","8,622,598,000","8,709,238,000","5,167,778,000","6,439,308,000"
Quick Assets,"4,138,482,000","3,609,282,000","4,189,635,000","2,346,267,000","2,131,783,000","2,960,502,000","3,327,063,000","2,961,772,000","2,205,367,000","3,755,921,000","2,464,285,000","2,808,117,000","1,748,066,000"
Total Assets,"23,139,516,000","25,327,171,000","22,465,050,000","18,516,278,000","13,976,681,000","13,137,803,000","16,246,569,000","14,565,853,000","15,066,233,000","13,910,782,000","18,758,168,000","11,178,879,000","10,626,211,000"
Interest Bearing Long Term Liability,"1,577,275,000","1,702,174,000","1,968,534,000","1,178,347,000","1,038,054,000","242,992,000","300,000,000","450,000,000","416,667,000","237,500,000","5,113,227,000","2,015,460,000","1,141,665,000"
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,"9,805,320,000","9,716,043,000","8,490,476,000","6,009,114,000","3,401,454,000","4,814,407,000","6,427,234,000","7,158,136,000","7,884,853,000","7,076,420,000","7,715,766,000","3,941,427,000","4,389,655,000"
* Non Interest Bearing Short Term Liability,"1,921,964,000","2,907,485,000","2,394,267,000","3,058,330,000","1,899,360,000","1,434,503,000","3,247,177,000","707,622,000","1,414,432,000","1,157,446,000","992,946,000","896,640,000","1,031,705,000"
Trades Payables,"1,846,134,000","2,764,019,000","2,315,595,000","2,995,759,000","1,858,904,000","1,375,318,000","3,160,417,000","579,030,000","1,291,953,000","1,000,063,000","769,067,000","810,379,000","916,943,000"
Total Current Liabilities,"12,222,545,000","13,222,097,000","11,233,040,000","9,163,781,000","5,338,027,000","6,336,599,000","9,674,411,000","7,865,758,000","9,299,285,000","8,233,866,000","8,708,712,000","4,838,067,000","5,421,360,000"
Total Liabilities,"14,193,987,000","15,378,227,000","13,570,667,000","10,657,457,000","6,670,177,000","6,794,550,000","10,242,421,000","8,583,394,000","9,888,558,000","8,639,293,000","14,067,702,000","7,140,019,000","6,837,272,000"
Paid Up Capital,"1,318,819,000","1,198,926,000","1,198,926,000","1,198,926,000","1,198,926,000","1,198,926,000","1,198,926,000","1,198,926,000","1,198,926,000","1,198,926,000","999,105,000","999,105,000","832,587,000"
Reserves,"5,254,406,000","6,299,125,000","5,737,246,000","4,642,511,000","4,003,569,000","3,583,242,000","3,223,586,000","3,178,579,000","2,975,594,000","3,064,888,000","2,324,496,000","1,661,200,000","1,565,060,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,"2,372,304,000","2,450,893,000","1,958,211,000","2,017,384,000","2,104,009,000","1,561,085,000","1,581,636,000","1,604,954,000","1,003,155,000","1,007,675,000","1,366,865,000","1,378,555,000","1,391,292,000"
Shareholder Equity,"8,945,529,000","9,948,944,000","8,894,383,000","7,858,821,000","7,306,504,000","6,343,253,000","6,004,148,000","5,982,459,000","5,177,675,000","5,271,489,000","4,690,466,000","4,038,860,000","3,788,939,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"131,881,900","119,892,600","119,892,600","119,892,619","119,892,619","119,892,619","119,892,619","119,892,619","119,892,619","119,892,619","99,910,516","99,910,500","83,258,700"
