Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"18,964,215,000","25,750,467,000","25,001,283,000","16,706,963,000","14,820,526,000","17,673,799,000","16,341,306,000","17,729,744,000","16,802,257,000","15,850,755,000","13,471,783,000","12,319,422,000","12,067,796,000"
COGS,"17,592,908,000","23,148,791,000","21,696,355,000","13,866,593,000","12,360,461,000","15,795,133,000","14,239,770,000","15,665,121,000","14,893,081,000","14,038,750,000","11,249,674,000","11,152,273,000","10,280,363,000"
Gross Profit,"1,371,307,000","2,601,676,000","3,304,928,000","2,840,370,000","2,460,065,000","1,878,666,000","2,101,536,000","2,064,623,000","1,909,176,000","1,812,005,000","2,222,109,000","1,167,149,000","1,787,433,000"
Administrative Expenses,"298,707,000","295,796,000","298,399,000","296,562,000","248,902,000","188,783,000","159,101,000","151,559,000","140,544,000","197,579,000","134,890,000","108,695,000","87,462,000"
Selling & Distributive Expenses,"813,043,000","916,840,000","1,126,456,000","873,269,000","823,973,000","589,651,000","604,781,000","592,780,000","439,510,000","418,998,000","384,019,000","318,172,000","321,652,000"
Financial Charges,"1,238,325,000","924,292,000","441,696,000","224,124,000","334,483,000","487,514,000","723,931,000","699,131,000","969,225,000","606,855,000","257,090,000","535,081,000","450,227,000"
Other Income,"580,326,000","1,732,512,000","883,187,000","1,126,735,000","167,280,000","401,761,000","166,234,000","149,165,000","71,471,000","872,265,000","140,453,000","320,035,000","186,821,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"31,366,000","104,131,000","172,475,000","179,739,000","115,971,000","81,639,000","128,259,000","71,412,000","40,858,000","191,725,000","227,292,000","56,427,000","210,610,000"
EBITDA,"1,344,403,000","3,485,278,000","2,977,664,000","2,996,684,000","1,708,086,000","1,666,244,000","1,610,184,000","1,607,945,000","1,551,911,000","2,072,068,000","1,850,134,000","1,233,977,000","1,579,927,000"
EBIT,"808,517,000","3,017,421,000","2,590,785,000","2,617,535,000","1,438,499,000","1,420,354,000","1,375,629,000","1,398,037,000","1,359,735,000","1,875,968,000","1,616,361,000","1,003,890,000","1,354,530,000"
EBT,"-429,808,000","2,093,129,000","2,149,089,000","2,393,411,000","1,104,016,000","932,840,000","651,698,000","698,906,000","390,510,000","1,269,113,000","1,359,271,000","468,809,000","904,303,000"
Tax,"264,397,000","518,416,000","567,350,000","551,000,000","318,000,000","202,300,000","148,858,000","140,763,000","64,700,000","239,000,000","333,000,000","94,000,000","199,000,000"
PAT,"-694,205,000","1,574,713,000","1,581,739,000","1,842,411,000","786,016,000","730,540,000","502,840,000","558,143,000","325,810,000","1,030,113,000","1,026,271,000","374,809,000","705,303,000"
EPS,-5.26,13.13,13.19,15.37,6.56,6.09,4.19,4.66,2.72,8.59,10.27,3.75,7.06
