Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"33,218,272,910","30,090,888,452","23,906,218,023","19,604,861,263","17,007,971,017","12,241,529,938","10,776,967,615","10,177,476,104","9,275,521,716","7,737,935,974","6,501,898,916","5,219,656,018","3,602,280,911"
COGS,"26,340,648,564","23,736,870,313","18,544,995,038","15,883,600,917","13,898,515,479","9,765,721,666","8,640,706,279","8,202,594,875","7,445,003,760","6,276,293,321","5,374,174,613","4,103,329,962","2,859,348,444"
Gross Profit,"6,877,624,346","6,354,018,139","5,361,222,985","3,721,260,346","3,109,455,538","2,475,808,272","2,136,261,336","1,974,881,229","1,830,517,956","1,461,642,653","1,127,724,303","1,116,326,056","742,932,467"
Administrative Expenses,"593,693,129","540,522,332","380,994,950","259,776,786","191,999,710","142,082,691","115,743,833","102,363,346","75,490,880","69,215,300","52,225,998","47,401,062","43,889,071"
Selling & Distributive Expenses,"4,469,256,842","3,590,049,723","2,896,266,866","1,663,043,697","1,367,414,895","1,053,432,207","954,653,048","853,089,419","540,009,928","484,585,714","370,620,637","344,601,973","276,608,945"
Financial Charges,"1,155,785,614","905,629,820","617,813,622","671,242,277","798,382,202","730,350,564","619,105,437","576,547,636","624,917,476","526,742,510","474,857,375","488,180,439","278,069,075"
Other Income,"845,376,523","258,305,766","625,692,298","663,511,028","672,535,224","298,901,449","177,548,788","161,407,989","102,562,026","177,179,076","98,735,653","23,770,835","26,581,626"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"181,562,202","172,581,775","253,826,191","147,486,289","131,731,992","77,856,734","44,565,097","64,213,973","63,543,895","30,177,065","23,992,911","106,725,915","118,406,469"
EBITDA,"3,782,695,750","3,407,283,990","3,443,341,342","3,093,136,792","2,801,273,130","1,895,796,027","1,480,177,176","1,377,557,459","1,496,143,181","1,248,615,238","941,719,587","791,861,876","535,512,859"
EBIT,"2,478,488,696","2,309,170,075","2,455,827,276","2,314,464,602","2,090,844,165","1,501,338,089","1,198,848,146","1,116,622,480","1,254,035,279","1,054,843,650","779,620,410","648,144,201","404,224,371"
EBT,"1,322,703,082","1,403,540,255","1,838,013,654","1,643,222,325","1,292,461,963","770,987,525","579,742,709","540,074,844","629,117,803","528,101,140","304,763,035","159,963,762","126,155,296"
Tax,"390,737,914","436,942,413","425,822,163","477,207,880","290,595,071","131,421,060","77,478,031","181,956,718","261,804,705","222,363,022","93,548,141","9,331,964","19,875,016"
PAT,"931,965,168","966,597,842","1,412,191,491","1,166,014,445","1,001,866,892","639,566,465","502,264,678","358,118,126","367,313,098","305,738,118","211,214,894","150,631,798","106,280,280"
EPS,14.49,15.15,22.13,18.27,15.7,12.66,9.94,7.09,7.27,6.05,5.88,6.26,4.42
