Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Fixed Assets,"20,687,731,000","19,862,302,000","18,262,610,000","13,639,451,000","12,620,022,000","12,332,043,000","9,771,509,000","9,905,282,000","8,898,047,000","8,787,923,000",0
Investments,0,0,0,0,0,0,0,0,0,0,0
Cash in Hand and Bank,"106,196,000","402,912,000","99,822,000","53,228,000","37,615,000","37,731,000","36,560,000","13,694,000","3,957,000","262,077,000","371,000"
Stores and Spares,"668,960,000","610,974,000","438,997,000","507,696,000","442,597,000","349,577,000","319,322,000","370,320,000","372,982,000","139,563,000",0
Stock in Trade,"15,132,206,000","14,647,959,000","14,132,742,000","9,537,846,000","5,314,131,000","4,437,944,000","3,667,240,000","2,616,040,000","5,273,767,000","3,817,918,000",0
Trade Debts,"1,015,744,000","868,035,000","644,790,000","764,043,000","520,801,000","362,464,000","1,185,880,000","550,880,000","287,705,000","259,781,000",0
Current Assets,"22,172,184,000","19,896,904,000","17,327,314,000","12,727,641,000","8,364,006,000","6,742,081,000","7,103,076,000","4,850,461,000","6,922,219,000","5,495,046,000","371,000"
Quick Assets,"6,371,018,000","4,637,971,000","2,755,575,000","2,682,099,000","2,607,278,000","1,954,560,000","3,116,514,000","1,864,101,000","1,275,470,000","1,537,565,000","371,000"
Total Assets,"42,861,212,000","39,762,042,000","35,592,589,000","26,371,095,000","20,984,128,000","19,074,775,000","16,878,506,000","14,763,910,000","15,833,780,000","14,298,548,000","371,000"
Interest Bearing Long Term Liability,"5,080,280,000","6,367,141,000","6,768,281,000","3,621,272,000","4,044,973,000","5,740,767,000","3,000,990,000","3,371,860,000","3,846,883,000","4,335,519,000",0
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,"100,000",0,0
Interest Bearing Short Term Liability,"13,024,793,000","11,101,162,000","9,663,989,000","6,236,309,000","4,222,771,000","4,919,340,000","5,626,184,000","4,904,663,000","7,086,597,000","5,321,082,000",0
* Non Interest Bearing Short Term Liability,"9,145,049,000","5,917,002,000","5,614,622,000","6,479,268,000","4,738,514,000","2,492,797,000","2,101,414,000","1,178,543,000","679,090,000","287,574,000","12,855,000"
Trades Payables,"8,921,279,000","5,612,295,000","5,458,133,000","6,410,128,000","4,694,800,000","2,280,259,000","1,955,866,000","1,021,318,000","468,130,000","129,911,000","12,855,000"
Total Current Liabilities,"23,555,671,000","18,286,013,000","15,291,068,000","12,715,577,000","8,961,285,000","7,412,137,000","7,727,598,000","6,083,206,000","7,765,687,000","5,608,656,000","12,855,000"
Total Liabilities,"30,135,397,000","26,883,772,000","23,767,581,000","17,816,848,000","13,841,502,000","13,544,833,000","11,108,766,000","9,674,217,000","11,680,437,000","10,040,734,000","12,855,000"
Paid Up Capital,"4,350,000,000","4,350,000,000","4,350,000,000","4,350,000,000","4,350,000,000","4,350,000,000","4,350,000,000","4,350,000,000","4,350,000,000","4,350,000,000","300,000"
Reserves,"7,121,607,000","7,240,140,000","6,532,704,000","3,250,374,000","1,818,328,000","628,114,000","856,325,000","166,807,000","-196,657,000","-92,186,000","-12,784,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,"1,254,208,000","1,288,130,000","942,304,000","953,873,000","974,298,000","551,828,000","563,415,000","572,886,000",0,0,0
Shareholder Equity,"12,725,815,000","12,878,270,000","11,825,008,000","8,554,247,000","7,142,626,000","5,529,942,000","5,769,740,000","5,089,693,000","4,153,343,000","4,257,814,000","-12,484,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"435,000,000","435,000,000","435,000,000","435,000,000","435,000,000","435,000,000","435,000,000","435,000,000","435,000,000","435,000,000","30,000"
