Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Sales,"48,081,937,000","55,061,879,000","47,620,719,000","33,732,622,000","20,499,054,000","17,938,077,000","21,280,155,000","17,602,670,000","13,248,983,000","3,690,824,000",0
COGS,"43,869,080,000","48,612,827,000","40,047,664,000","27,826,505,000","17,585,833,000","16,452,775,000","19,043,439,000","15,999,250,000","12,043,061,000","3,341,648,000",0
Gross Profit,"4,212,857,000","6,449,052,000","7,573,055,000","5,906,117,000","2,913,221,000","1,485,302,000","2,236,716,000","1,603,420,000","1,205,922,000","349,176,000",0
Administrative Expenses,"262,811,000","284,404,000","285,397,000","214,876,000","161,479,000","168,022,000","135,116,000","110,703,000","73,355,000","80,621,000","12,394,000"
Selling & Distributive Expenses,"894,334,000","701,827,000","434,292,000","333,794,000","206,862,000","167,707,000","142,512,000","82,644,000","74,898,000","27,785,000",0
Financial Charges,"2,314,807,000","1,289,315,000","539,116,000","455,500,000","731,525,000","1,028,277,000","981,530,000","992,695,000","1,027,062,000","383,314,000","320,000"
Other Income,"35,523,000","39,413,000","150,657,000","131,778,000","105,816,000","136,368,000","82,785,000","68,959,000","99,057,000","121,070,000",0
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"334,257,000","533,801,000","661,595,000","424,951,000","264,675,000","22,119,000","186,177,000","43,546,000","248,154,000","40,558,000","30,000"
EBITDA,"4,169,156,000","6,046,882,000","7,200,667,000","5,832,984,000","3,097,123,000","1,806,297,000","2,368,994,000","1,867,421,000","1,266,698,000","482,909,000","-12,424,000"
EBIT,"2,756,978,000","4,968,433,000","6,342,428,000","5,064,274,000","2,386,021,000","1,263,822,000","1,855,696,000","1,435,486,000","908,572,000","321,282,000","-12,424,000"
EBT,"442,171,000","3,679,118,000","5,803,312,000","4,608,774,000","1,654,496,000","235,545,000","874,166,000","442,791,000","-118,490,000","-62,032,000","-12,744,000"
Tax,"-52,680,000","1,014,745,000","1,438,354,000","1,564,752,000","475,532,000","33,765,000","184,431,000","79,327,000","-16,019,000","17,370,000",0
PAT,"494,851,000","2,664,373,000","4,364,958,000","3,044,022,000","1,178,964,000","201,780,000","689,735,000","363,464,000","-104,471,000","-79,402,000","-12,744,000"
EPS,1.14,6.12,10.03,7,2.71,0.46,1.59,0.84,-0.24,-0.22,-424.81
